,0
Number of infant deaths,351.7103622877769
Children (0-14) living with HIV,340.6583811318936
Children orphaned by HIV/AIDS,277.4443617087028
Number of people who are undernourished,274.85422306663713
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,263.5429052097707
Number of neonatal deaths,256.2913754854465
"Population ages 80 and older, male (% of male population)",252.06967346333843
Adults (ages 15+) newly infected with HIV,250.36113215164224
"Population ages 75-79, male (% of male population)",241.57513891913158
Number of under-five deaths,237.67716330387424
"Population ages 00-04, female (% of female population)",236.39787552554358
"Population ages 00-04, male (% of male population)",234.27206853101333
"Population ages 65 and above, male (% of total)",233.8308090656251
Adults (ages 15+) and children (0-14 years) living with HIV,232.39607023697445
Adults (ages 15+) living with HIV,219.69254723372248
Population ages 65 and above (% of total),213.57492038336247
AIDS estimated deaths (UNAIDS estimates),206.9147703544979
"Population ages 00-14, female (% of total)",202.76049158899357
Population ages 00-14 (% of total),197.58357683139332
Population ages 0-14 (% of total),197.58357683139332
"Population ages 05-09, female (% of female population)",192.69772140003835
"Age dependency ratio, young",191.392366003576
"Population ages 00-14, male (% of total)",188.42514740729808
"Age dependency ratio, old",186.59094655655093
"Population ages 65 and above, female (% of total)",185.39260573819254
"Population ages 05-09, male (% of male population)",171.2198209046649
"Population ages 70-74, male (% of male population)",168.61962703710367
"Population ages 80 and older, female (% of female population)",164.46292295461402
"Population ages 70-74, female (% of female population)",154.2287659794336
"Population ages 75-79, female (% of female population)",146.305700445376
"Population ages 10-14, female (% of female population)",142.60041828191845
Children (ages 0-14) newly infected with HIV,138.91262467907154
Urban population growth (annual %),133.6144682777501
"Population ages 65-69, male (% of male population)",127.03199596756853
"Population ages10-14, male (% of male population)",125.96968429482213
Rural population,122.50338154628989
Population growth (annual %),120.93106482408544
"Population ages 60-64, male (% of male population)",116.4022823499352
"Population ages 65-69, female (% of female population)",113.28024932495623
"Population ages 15-19, female (% of female population)",112.68371477396984
Malaria cases reported,111.15192659196971
Reported cases of malaria,111.15192659196971
"Population ages 20-24, female (% of female population)",105.8806756053827
"Population ages 60-64, female (% of female population)",104.66583851884324
"Population ages 15-19, male (% of male population)",104.5497544623533
"Population ages 55-59, male (% of male population)",103.82038577244717
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",99.0486648082532
"Population ages 20-24, male (% of male population)",98.46735272873467
"Population ages 50-54, female (% of female population)",98.07932638256716
"Population ages 55-59, female (% of female population)",97.93388931207565
Number of maternal deaths,96.23103206202175
"Population ages 50-54, male (% of male population)",96.13407512108101
"Inflation, consumer prices (annual %)",91.00048308534952
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),90.19729922235848
"PPP conversion factor, private consumption (LCU per international $)",88.96130031741744
Vitamin A supplementation coverage rate (% of children ages 6-59 months),87.18853745583206
"Population ages 45-49, female (% of female population)",87.019493440184
"Population ages 45-49, male (% of male population)",86.27548136787738
Net official development assistance received (current US$),81.81548903746636
Net official development assistance and official aid received (current US$),81.81548903746636
"Population ages 25-29, female (% of female population)",76.6960670719798
"Age population, age 0, female, interpolated",69.83793302354232
Age dependency ratio (% of working-age population),68.24639393011104
"Age population, age 0, male, interpolated",68.21123092694233
"Age population, age 01, female, interpolated",68.19114898661495
"Population ages 40-44, male (% of male population)",67.83604919773514
CO2 emissions (kg per PPP $ of GDP),67.05241920782275
Female population 00-04,66.8543723557527
"Age population, age 02, female, interpolated",66.74932439567392
"Age population, age 01, male, interpolated",66.715560241622
Male population 00-04,65.3694192393535
"Age population, age 02, male, interpolated",65.31937330825794
"Age population, age 03, female, interpolated",65.15643381047379
"Population ages 40-44, female (% of female population)",64.14427003820444
"Age population, age 03, male, interpolated",63.744660058076605
"Age population, age 04, female, interpolated",63.482890811816844
"Population ages 15-64, female (% of total)",63.45504332417927
"Age population, age 04, male, interpolated",62.017642557615595
"Age population, age 05, female, interpolated",61.732419701504035
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",60.683983318386936
Newborns protected against tetanus (%),60.603022128483474
"Age population, age 05, male, interpolated",60.170380571281385
"Age population, age 06, female, interpolated",60.006605990009476
"Total debt service (% of exports of goods, services and primary income)",59.98912025616798
Status under enhanced HIPC initiative,59.84843707309674
Female population 05-09,58.462830025792954
"Population ages 0-14, female",58.311915059971994
"Age population, age 07, female, interpolated",58.30429773260316
"Age population, age 06, male, interpolated",58.303694546103735
