,0
"Mortality rate, under-5 (per 1,000)",758.8447812248818
"Mortality rate, under-5 (per 1,000 live births)",758.8447812248818
"Mortality rate, infant (per 1,000 live births)",645.9930047874217
"Mortality rate, neonatal (per 1,000 live births)",290.66442132092436
"Prevalence of HIV, total (% of population ages 15-49)",272.01023431184774
Prevalence of anemia among children (% of children under 5),271.94314920007986
"Prevalence of HIV, female (% ages 15-24)",268.5628978670347
"Prevalence of HIV, male (% ages 15-24)",265.7816027904659
Women's share of population ages 15+ living with HIV (%),264.85623403195495
Incidence of HIV (% of uninfected population ages 15-49),264.6144408805219
"GNI per capita, PPP (current international $)",246.88650227401075
GDP per capita (Current US$),243.08634978388883
"GNI per capita, Atlas method (current US$)",239.44133461259676
Antiretroviral therapy coverage (% of people living with HIV),229.2703077717717
"Access to anti-retroviral drugs, male (%)",227.91761799216428
"Access to anti-retroviral drugs, female (%)",226.0910413054922
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",157.20624286147122
Prevalence of anemia among women of reproductive age (% of women ages 15-49),116.73634166590764
Prevalence of anemia among non-pregnant women (% of women ages 15-49),106.3439993953565
Prevalence of anemia among pregnant women (%),94.26832633902224
AIDS estimated deaths (UNAIDS estimates),90.34153166031896
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,70.13155569850016
GDP per person employed (constant 2011 PPP $),69.48405724286916
Births attended by skilled health staff (% of total),67.91716267974519
Vitamin A supplementation coverage rate (% of children ages 6-59 months),65.38850508960442
Adults (ages 15+) newly infected with HIV,65.15912629725645
Lifetime risk of maternal death (%),56.60533237807922
Children (ages 0-14) newly infected with HIV,51.345428447592745
"Mortality rate, adult, female (per 1,000 female adults)",50.277444695397755
Years,46.56067937717453
"Employment in industry, male (% of male employment)",44.793384420148485
"Employment in industry, female (% of female employment)",44.64348313900847
"Employment in services, female (% of female employment)",44.60846349264654
"Employment in services, male (% of male employment)",44.58573482436219
"Unemployment, male (% of male labor force) (national estimate)",44.1750985114406
"Unemployment, female (% of female labor force) (national estimate)",44.00539459667097
"Employment in agriculture, female (% of female employment)",43.79690524640177
"Employment in agriculture, male (% of male employment)",43.66695776228995
Status under enhanced HIPC initiative,43.25146825083738
Adults (ages 15+) and children (0-14 years) living with HIV,40.6354835571901
Adults (ages 15+) living with HIV,40.15887920794778
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",39.424522575833464
"Employment to population ratio, 15+, male (%) (national estimate)",38.88179025713807
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",38.82808153566122
Ratio of female to male labor force participation rate (%) (national estimate),38.73026939303688
"Employment to population ratio, 15+, total (%) (national estimate)",38.650918170725994
"Employment to population ratio, 15+, female (%) (national estimate)",38.397825994798
"Immunization, HepB3 (% of one-year-old children)",36.977712450197714
"Mortality rate, adult, male (per 1,000 male adults)",36.8424065455126
Forest area (sq. km),31.96305887342148
Mobile cellular subscriptions (per 100 people),30.034367971667226
"Wage and salaried workers, female (% of female employment)",29.946656163206747
"Wage and salaried workers, male (% of male employment)",29.666178122015506
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",29.384836163393263
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",29.3565490105676
"School enrollment, secondary, female (% gross)",29.329968159949868
"Expected years of schooling, female",29.12894533270198
"Expected years of schooling, male",29.00784900571715
"School enrollment, secondary (% gross)",28.973324883121677
Ratio of female to male youth unemployment rate (%) (national estimate),28.934664817482105
"Employers, male (% of male employment)",28.880504804485263
"Employers, female (% of female employment)",28.8098695921458
"School enrollment, secondary, male (% gross)",28.62443440394026
"Government expenditure per student, secondary (% of GDP per capita)",28.46958422129567
"Contributing family workers, male (% of male employment)",28.461295925222203
"Contributing family workers, female (% of female employment)",28.25784744858205
"Own-account workers, male (% of males employed)",28.11790246986842
"Own-account workers, female (% of females employed)",28.072614332482075
"Vulnerable employment, male (% of male employment)",27.808066550203296
"Vulnerable employment, female (% of female employment)",27.573852893899303
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),27.023018202320717
Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),27.023018202320717
