,0
"Mortality rate, under-5 (per 1,000)",830.7128546843912
"Mortality rate, under-5 (per 1,000 live births)",830.7128546843912
"Mortality rate, infant (per 1,000 live births)",814.9332986424438
"Mortality rate, neonatal (per 1,000 live births)",455.68389516954664
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",223.96390018878762
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",207.33479044862997
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",166.31605467051486
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",159.12071019503531
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",122.42842511244459
Prevalence of anemia among children (% of children under 5),118.83349632843877
Internet users (per 100 people),117.04491441514165
Rural population (% of total population),116.83961087833501
Urban population (% of total),116.83961087833296
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),112.35025157302135
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",111.32355270497885
"Unemployment, female (% of female labor force)",108.96029863985403
"Unemployment, female (% of female labor force) (modeled ILO estimate)",108.96029863985403
"Unemployment, total (% of total labor force)",103.8551169962378
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",95.25250501327749
"Immunization, Pol3 (% of one-year-old children)",90.05779611518756
"Unemployment, male (% of male labor force)",88.11933859171222
"Unemployment, male (% of male labor force) (modeled ILO estimate)",88.11933859171222
"Immunization, BCG (% of one-year-old children)",87.00377786105206
"Immunization, DPT (% of children ages 12-23 months)",76.60860700169997
Country_code,71.56494477508161
"Population ages 80 and older, male (% of male population)",70.85074531116254
Mobile cellular subscriptions (per 100 people),70.2175220996416
"Immunization, measles (% of children ages 12-23 months)",64.80327511998364
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",63.466315692569296
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",63.292175310713915
"Labor force, female (% of total labor force)",61.322606416288636
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",61.14456168813142
"Population ages 80 and older, female (% of female population)",57.78235953411173
