,0
"Age dependency ratio, young",1038.9676932385141
"Population ages 00-14, female (% of total)",919.6232784032561
Population ages 00-14 (% of total),919.0658095735185
Population ages 0-14 (% of total),919.0658095735185
"Population ages 05-09, female (% of female population)",844.5146529512954
"Population ages 00-14, male (% of total)",838.4511050557591
Prevalence of anemia among children (% of children under 5),760.6580689047886
"Population ages 15-64, female (% of total)",744.8534679609336
"Population ages 05-09, male (% of male population)",732.5212193483408
Age dependency ratio (% of working-age population),717.5504051993635
Population ages 15-64 (% of total),628.0108218422688
"Population ages 15-64, male (% of total)",519.6298906345448
"Mortality rate, under-5 (per 1,000)",372.6623531357216
"Mortality rate, under-5 (per 1,000 live births)",372.6623531357216
"Population ages 00-04, female (% of female population)",303.8942869121175
Number of under-five deaths,291.7794019414584
"Population ages 00-04, male (% of male population)",289.1883448860988
Forest area (sq. km),266.0132948374225
Malaria cases reported,253.41560696575723
Reported cases of malaria,253.41560696575723
"Population ages 10-14, female (% of female population)",226.88742524815012
"Mortality rate, infant (per 1,000 live births)",221.06815984858596
"Population ages10-14, male (% of male population)",209.92843646368297
Number of infant deaths,207.10744113545385
Number of maternal deaths,160.51426811584423
Number of neonatal deaths,151.19827274871258
Rural population growth (annual %),136.07750967908225
"Immunization, BCG (% of one-year-old children)",135.18820044300745
"Population ages 40-44, female (% of female population)",134.52417689101367
Rural population (% of total population),131.83576943001512
Urban population (% of total),131.83576942999062
"Immunization, measles (% of children ages 12-23 months)",130.76329369582558
"Population ages 65 and above, male (% of total)",126.83206646315745
"Population ages 75-79, female (% of female population)",125.49591024127339
Population ages 65 and above (% of total),125.07374170791094
"Population ages 45-49, male (% of male population)",122.82281239582186
"Mortality rate, neonatal (per 1,000 live births)",121.76087572050865
"Population ages 65 and above, female (% of total)",121.31791785338572
"Population ages 75-79, male (% of male population)",119.3203210526283
Status under enhanced HIPC initiative,119.28881741494119
"Population ages 45-49, female (% of female population)",112.86285848706427
"Population ages 70-74, female (% of female population)",110.54258469438372
"Population ages 80 and older, female (% of female population)",108.46626147366418
"Population ages 70-74, male (% of male population)",103.55113055016886
"Population ages 65-69, male (% of male population)",102.82453996341148
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,102.44523764919403
People using safely managed sanitation services (% of population),100.62310208970577
"Population ages 80 and older, male (% of male population)",98.42236181954692
"Population ages 50-54, male (% of male population)",94.72631255959725
"Immunization, DPT (% of children ages 12-23 months)",93.32805165536315
"Immunization, Pol3 (% of one-year-old children)",92.73175480551664
Adults (ages 15+) newly infected with HIV,89.91651500976407
"Population ages 35-39, female (% of female population)",83.72982398505503
"Population ages 40-44, male (% of male population)",82.6490519184714
"Population ages 50-54, female (% of female population)",82.47149054985711
"Population ages 65-69, female (% of female population)",80.94687509333048
"Population ages 30-34, female (% of female population)",70.62019174596409
Adults (ages 15+) and children (0-14 years) living with HIV,69.338037474457
Adults (ages 15+) living with HIV,67.11132205721368
"Age dependency ratio, old",67.04028922278398
Children orphaned by HIV/AIDS,64.75830448296998
"Population ages 60-64, male (% of male population)",60.34991744189863
"Population ages 25-29, female (% of female population)",59.739843728402136
"Population ages 55-59, male (% of male population)",58.497486311124256
Rural population,57.24855947071524
Children (0-14) living with HIV,56.15631079913677
Vitamin A supplementation coverage rate (% of children ages 6-59 months),52.262596251246585
"Population ages 55-59, female (% of female population)",51.883061946032676
"Population ages 60-64, female (% of female population)",50.99744764041682
"People using safely managed sanitation services, urban  (% of urban population)",49.76956997089778
"Primary education, teachers (% female)",49.65860376513757
Prevalence of undernourishment (% of population),49.27527833879798
"Prevalence of overweight, female (% of female adults)",46.16164925620873
"Prevalence of obesity, female (% of female population ages 18+)",46.13634100952105
"Prevalence of obesity, male (% of male population ages 18+)",46.103737592065514
"Prevalence of overweight, male (% of male adults)",46.08934643485746
"Population ages 25-29, male (% of male population)",43.079478589741676
"Age population, age 07, female, interpolated",41.722567167994406
"Age population, age 06, female, interpolated",41.680990360290785
Female population 05-09,41.1829093219308
"Age population, age 08, female, interpolated",41.00568033351508
"Age population, age 05, female, interpolated",40.991525634123626
"Age population, age 06, male, interpolated",39.93536109386929
"Age population, age 07, male, interpolated",39.886810460901366
Fixed telephone subscriptions (per 100 people),39.86757936769957
"Nurses and midwives (per 1,000 people)",39.78565537653451
"Age population, age 04, female, interpolated",39.7652575705429
