,0
"Population, female (% of total)",826.4824837958884
"Population, male (% of total)",826.4824837911913
Prevalence of anemia among children (% of children under 5),532.8366099674047
"Mortality rate, under-5 (per 1,000 live births)",442.4656134716682
"Mortality rate, under-5 (per 1,000)",442.4656134716682
Prevalence of anemia among pregnant women (%),429.6056673897175
"Mortality rate, infant (per 1,000 live births)",404.86909386324686
"Population ages 15-64, male (% of total)",338.3439143613859
"GNI per capita, PPP (current international $)",326.5398893813559
Prevalence of anemia among non-pregnant women (% of women ages 15-49),298.4385046237738
Prevalence of anemia among women of reproductive age (% of women ages 15-49),297.72545544735726
GDP per capita (Current US$),282.53704410775634
"GNI per capita, Atlas method (current US$)",263.2412377731371
Urban population growth (annual %),241.37015133738106
Population growth (annual %),227.18168340389673
"Population ages 05-09, female (% of female population)",203.82197418545752
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",203.22452785730815
"Mortality rate, neonatal (per 1,000 live births)",201.51170372958697
"Net ODA provided, total (% of GNI)",198.5002633766568
Net ODA provided to the least developed countries (% of donor GNI),198.4957208491561
Internet users (per 100 people),183.2747258301464
GDP per person employed (constant 2011 PPP $),180.09118095332448
"Population ages 00-04, female (% of female population)",166.02470947588174
"Age dependency ratio, young",161.74143102437216
"Population ages 00-14, female (% of total)",159.73952615266086
"Population ages 75-79, female (% of female population)",155.07302255954792
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",151.6261470470493
"Population ages 70-74, female (% of female population)",138.88556326970982
Poverty headcount ratio at national poverty lines (% of population),115.8714868390002
Poverty headcount ratio at national poverty line (% of population),115.8714868390002
"Population ages 80 and older, male (% of male population)",115.7111965454696
Population ages 0-14 (% of total),108.7820727793409
Population ages 00-14 (% of total),108.7820727793409
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",97.6616816263374
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",95.2340837886093
Proportion of seats held by women in national parliaments (%),92.70528425752103
"Immunization, HepB3 (% of one-year-old children)",92.03882786402883
"People using safely managed sanitation services, rural (% of rural population)",90.5414105084521
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",88.12275927694412
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",88.02543533144204
Rural population (% of total population),85.24748667266347
Urban population (% of total),85.24748667266199
"Population ages 05-09, male (% of male population)",84.32310544714593
GDP (current US$),80.42476992396092
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",78.89696601965119
"GNI, Atlas method (current US$)",78.64634786412076
"Immunization, BCG (% of one-year-old children)",63.905146902501976
"Population ages 00-04, male (% of male population)",63.814211663202094
Population ages 15-64 (% of total),60.32965281033368
Age dependency ratio (% of working-age population),60.06138147594268
"Labor force, female (% of total labor force)",59.122695644690886
"Population ages 45-49, male (% of male population)",57.722332456219945
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),57.16292869894522
"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",55.77058500728055
"Population ages 00-14, male (% of total)",54.42620536798262
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",54.02212870222921
"Population ages 20-24, male (% of male population)",52.92216184320478
"Population ages 65 and above, female (% of total)",51.29026805369972
"Maternal mortality ratio (national estimate, per 100,000 live births)",49.8552129799553
Health expenditure per capita (current US$),47.04051529155643
Net ODA provided to the least developed countries (current US$),46.279392345532145
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",45.808527856837436
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",45.78476939944511
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),44.909474260168224
"Net ODA provided, total (current US$)",43.8583607590615
"Net ODA provided, total (constant 2015 US$)",43.4739883643078
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",43.15218123270773
"Age population, age 04, female, interpolated",42.47447188591435
"Age population, age 04, male, interpolated",42.424269522439474
"Age population, age 05, female, interpolated",42.21817926400395
"Age population, age 05, male, interpolated",42.07185964782157
"Age population, age 03, male, interpolated",41.76318400213106
"Age population, age 03, female, interpolated",41.71309015571349
"Age population, age 06, female, interpolated",41.088851971532634
"Age population, age 06, male, interpolated",40.87633049084106
Births attended by skilled health staff (% of total),40.72981372220773
"Age population, age 02, male, interpolated",39.914855946139994
"Age population, age 02, female, interpolated",39.77182795242598
Male population 00-04,39.35948139339994
Lifetime risk of maternal death (1 in: rate varies by country),39.3140895505626
Female population 00-04,39.2520886513238
"Age population, age 07, female, interpolated",39.2503869577682
"Age population, age 07, male, interpolated",38.99705335842299
Female population 05-09,38.943554013297835
Male population 05-09,38.714412822892506
Male population 80+,38.25817036816364
"Unemployment, female (% of female labor force)",38.12795552238801
"Unemployment, female (% of female labor force) (modeled ILO estimate)",38.12795552238801
Total bilateral sector allocable ODA commitments (current US$),37.94795966351156
"Age population, age 01, male, interpolated",37.22301052659798
"Age population, age 01, female, interpolated",37.10194116388351
AIDS estimated deaths (UNAIDS estimates),36.860443335097784
"Age population, age 08, female, interpolated",36.82331191567717
"Age population, age 08, male, interpolated",36.55389998219916
"Health expenditure, total (current US$)",35.88896738495947
"Population ages 40-44, male (% of male population)",35.82106114605168
"Population ages 0-14, female",34.72080129278048
"Population ages 00-14, total",34.7014521477452
"Population ages 0-14, male",34.68476494458095
"Health expenditure per capita, PPP (constant 2011 international $)",34.340741910434275
"Health expenditure per capita, PPP",34.340741910434275
"Age population, age 09, female, interpolated",33.90624599124886
"Population ages 10-14, female (% of female population)",33.689697803147546
"Age population, age 09, male, interpolated",33.653698816963505
"Age population, age 0, male, interpolated",33.58491367783632
"Age population, age 0, female, interpolated",33.42634581358465
Male population 60-64,32.808995808993615
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",31.81612149230481
Male population 65-69,31.636046338815394
"Population ages 65 and above, male",31.54845643135931
"Unemployment, total (% of total labor force)",31.1074618212047
"Bilateral, sector-allocable ODA to basic social services (current US$)",31.00199029752565
"Age population, age 10, female, interpolated",30.74629735359669
"Age population, age 10, male, interpolated",30.537726833992014
"Population ages 15-19, male (% of male population)",30.10725990199769
Urban population,29.927921137338558
Male population 55-59,29.330694958811492
Fixed telephone subscriptions (per 100 people),29.059527525801116
Agricultural support estimate (% of GDP),28.88045504739888
"Population, male",28.8347300075337
"Population ages 65-69, female (% of female population)",28.55226901803331
"Primary education, teachers (% female)",28.45397221342051
"Age population, age 11, female, interpolated",27.666585511635365
"Age population, age 11, male, interpolated",27.524936304377924
Male population 75-79,27.245177001692078
"Labor force, total",26.938459870954244
"Unemployment, male (% of male labor force)",26.83263264868434
"Unemployment, male (% of male labor force) (modeled ILO estimate)",26.83263264868434
Male population 50-54,26.705244421968686
Male population 35-39,26.509598012310207
"Secondary education, teachers (% female)",26.461522426289235
Male population 70-74,26.38066406323148
Male population 30-34,26.19634843273101
"Population ages 15-64, male",26.069940116428192
"PPP conversion factor, GDP (LCU per international $)",26.02438973736562
"PPP conversion factor, private consumption (LCU per international $)",25.907884726072886
Female population 10-14,25.40288400180368
Male population 10-14,25.389878993286704
"Population, total",25.246391720481974
Male population 45-49,25.076805979989892
"Age population, age 12, female, interpolated",24.90389424191274
"Age population, age 12, male, interpolated",24.85531985804134
