,0
"Mortality rate, neonatal (per 1,000 live births)",848.4089684171187
Rural population (% of total population),669.42078340952
Urban population (% of total),669.4207834093645
"Mortality rate, infant (per 1,000 live births)",550.336062822565
"Mortality rate, under-5 (per 1,000 live births)",518.6889395119399
"Mortality rate, under-5 (per 1,000)",518.6889395119399
Fixed telephone subscriptions (per 100 people),517.3216501020282
GDP per person employed (constant 2011 PPP $),331.002199061531
GDP per capita (Current US$),311.2728754716553
"GNI per capita, Atlas method (current US$)",274.5855016195513
"GNI per capita, PPP (current international $)",268.75039792487917
"Population ages 45-49, male (% of male population)",225.45961339944512
"Population ages 50-54, male (% of male population)",214.13839481839145
Prevalence of anemia among children (% of children under 5),208.50670341355442
Vitamin A supplementation coverage rate (% of children ages 6-59 months),193.09511644766783
"Population ages10-14, male (% of male population)",189.98242083159946
"Population ages 00-14, male (% of total)",181.3227619881991
"Population ages 40-44, male (% of male population)",178.38988895644263
"Population ages 15-19, male (% of male population)",170.18136583643275
"Population ages 05-09, male (% of male population)",169.07286663173448
Lifetime risk of maternal death (1 in: rate varies by country),164.66289734248386
"Population ages 15-64, male (% of total)",158.6667973260788
"Population ages 55-59, male (% of male population)",156.53425247645328
"Population ages 00-04, male (% of male population)",156.29482063921358
Population ages 0-14 (% of total),156.1115809153929
Population ages 00-14 (% of total),156.1115809153929
Prevalence of anemia among women of reproductive age (% of women ages 15-49),151.69896659782256
Prevalence of anemia among non-pregnant women (% of women ages 15-49),148.29221701270572
"Population ages 40-44, female (% of female population)",144.62388650354674
"Population ages 10-14, female (% of female population)",141.2210106777397
"Population ages 45-49, female (% of female population)",137.83682470374205
Population ages 15-64 (% of total),137.7552696346671
"Population ages 00-14, female (% of total)",134.59393437270077
Net ODA received per capita (current US$),133.73539772483915
"Immunization, DPT (% of children ages 12-23 months)",131.38557356480072
"Population ages 15-19, female (% of female population)",130.40408746089435
"Immunization, BCG (% of one-year-old children)",127.03950347165448
"Immunization, measles (% of children ages 12-23 months)",126.48576640820474
"Population ages 05-09, female (% of female population)",124.72867870837591
"Immunization, Pol3 (% of one-year-old children)",123.95772112609359
"Population ages 00-04, female (% of female population)",123.6406395249684
Mobile cellular subscriptions (per 100 people),123.36308856316991
"Population ages 50-54, female (% of female population)",123.20587012453751
"Population ages 60-64, male (% of male population)",122.72367620463315
Net ODA received (% of GNI),121.59682039727534
"Population ages 15-64, female (% of total)",118.59540311694514
"Population ages 80 and older, male (% of male population)",117.78409240364215
"Improved water source, rural (% of rural population with access)",110.94836686060991
"Age dependency ratio, young",110.4477538213146
"Improved sanitation facilities, rural (% of rural population with access)",105.60380861743893
"Population ages 55-59, female (% of female population)",103.15598099588237
"Population ages 80 and older, female (% of female population)",101.24602699654444
Age dependency ratio (% of working-age population),96.5068629772954
Rural population growth (annual %),94.7616699941322
"Population ages 65 and above, male (% of total)",91.65562228161608
Newborns protected against tetanus (%),91.27783519565239
"Population ages 60-64, female (% of female population)",89.3015691529805
"Population ages 75-79, male (% of male population)",86.75184994924946
"Population ages 65-69, male (% of male population)",84.41409451160251
"Population ages 35-39, female (% of female population)",82.20110035286072
"People using safely managed sanitation services, urban  (% of urban population)",78.63423687749535
Population ages 65 and above (% of total),77.99906380601264
Prevalence of anemia among pregnant women (%),77.62645396478138
"Population ages 35-39, male (% of male population)",77.40413342104605
People using safely managed sanitation services (% of population),77.12238602463682
"Population ages 70-74, male (% of male population)",74.36445548997732
"People practicing open defecation, rural (% of rural population)",73.63425652515028
"Health expenditure per capita, PPP (constant 2011 international $)",72.92723248228792
"Health expenditure per capita, PPP",72.92723248228792
"Population ages 65 and above, female (% of total)",68.53368342613132
"Population ages 75-79, female (% of female population)",66.298330439822
