,0
"Mortality rate, under-5 (per 1,000 live births)",367.44429987880164
"Mortality rate, under-5 (per 1,000)",367.44429987880164
Mobile cellular subscriptions (per 100 people),223.89278328497738
Incidence of HIV (% of uninfected population ages 15-49),178.62467705431334
"Mortality rate, infant (per 1,000 live births)",163.66703226418412
Antiretroviral therapy coverage (% of people living with HIV),142.22290109168563
"Access to anti-retroviral drugs, female (%)",141.92582291493326
"Population ages 30-34, female (% of female population)",134.95142852271033
"Access to anti-retroviral drugs, male (%)",123.46239403904733
"GNI per capita, PPP (current international $)",112.40577516543536
"Population ages 35-39, male (% of male population)",102.73764002743161
"GNI per capita, Atlas method (current US$)",102.22722828432045
Population growth (annual %),96.80211443814653
"Population ages 15-19, male (% of male population)",85.76065856843752
"Population ages 35-39, female (% of female population)",80.6282021698239
"Population ages10-14, male (% of male population)",80.17714116544269
"Population ages 30-34, male (% of male population)",80.07897661057267
GDP per capita (Current US$),73.61030179225028
Years,71.28868926681513
"Population ages 10-14, female (% of female population)",68.36592584831313
"Population ages 40-44, male (% of male population)",64.81177211062534
"Population ages 15-19, female (% of female population)",64.27634189535243
"Prevalence of HIV, female (% ages 15-24)",62.343552299040574
Internet users (per 100 people),60.03628355764737
"Secondary education, teachers (% female)",58.84207854717533
"Secondary education, pupils (% female)",55.740761114411946
"School enrollment, secondary (gross), gender parity index (GPI)",55.594055037777125
"School enrollment, primary and secondary (gross), gender parity index (GPI)",55.58825309263779
"PPP conversion factor, GDP (LCU per international $)",53.79013173304914
"School enrollment, secondary, male (% gross)",52.28175601163023
"School enrollment, secondary (% gross)",52.09463354719641
"School enrollment, secondary, female (% gross)",51.861559776648484
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),50.75132118060824
Age dependency ratio (% of working-age population),49.98390612668727
"Population ages 15-64, female (% of total)",49.48517995535063
"Incidence of tuberculosis (per 100,000 people)",48.57867236890934
"School enrollment, secondary, male (% net)",48.37537761214706
"School enrollment, secondary (% net)",48.322341367380474
"School enrollment, secondary, female (% net)",48.26968725710231
Population ages 15-64 (% of total),47.36306269255787
"Population ages 05-09, male (% of male population)",45.69598995334752
"Population ages 15-64, male (% of total)",45.53172228249095
"Net intake rate in grade 1, male (% of official school-age population)",43.886774753659054
"Net intake rate in grade 1, female (% of official school-age population)",43.83896491984261
Urban population (% of total),43.19020007728213
Rural population (% of total population),43.190200077281126
"Age dependency ratio, young",41.96589227106693
"Population ages 05-09, female (% of female population)",40.50928541545399
"Population ages 00-14, male (% of total)",38.11841655494325
"Prevalence of HIV, male (% ages 15-24)",35.9392373359246
Population ages 0-14 (% of total),35.69473162626577
Population ages 00-14 (% of total),35.69473162626577
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",34.349205822675316
"Population ages 00-14, female (% of total)",33.00054937639552
"Population ages 45-49, male (% of male population)",31.4608093913496
"Primary education, teachers (% female)",29.84757480470837
Fixed telephone subscriptions (per 100 people),28.76950385188676
"Population ages 25-29, female (% of female population)",28.73883957138454
"Population ages 40-44, female (% of female population)",27.95775407133469
"Progression to secondary school, male (%)",27.951295464897207
"Progression to secondary school, female (%)",27.861029795549392
"Persistence to last grade of primary, total (% of cohort)",26.927884806372408
"Immunization, Hib3 (% of children ages 12-23 months)",26.737165846128065
