,0
"Mortality rate, under-5 (per 1,000 live births)",785.3794212035492
"Mortality rate, under-5 (per 1,000)",785.3794212035492
"Mortality rate, infant (per 1,000 live births)",607.8309688919951
"Mortality rate, neonatal (per 1,000 live births)",585.9789827493597
Population ages 0-14 (% of total),405.68501464629554
Population ages 00-14 (% of total),405.68501464629554
"Population ages 00-14, male (% of total)",375.83302457951334
"Population ages 15-64, female (% of total)",373.6668890324075
Population ages 15-64 (% of total),366.76649476538273
"Population ages 05-09, female (% of female population)",365.32449119689386
"Population ages 05-09, male (% of male population)",346.40790644328615
"Population ages 00-14, female (% of total)",343.6621781815464
"Population ages 00-04, male (% of male population)",336.21376814768485
"Age dependency ratio, young",331.7014594557175
"Immunization, measles (% of children ages 12-23 months)",326.63611287823056
Age dependency ratio (% of working-age population),314.1753167172287
"Population ages 15-64, male (% of total)",297.8227315576313
"Immunization, DPT (% of children ages 12-23 months)",281.0505339949159
"Immunization, Pol3 (% of one-year-old children)",272.7270832001797
"Immunization, BCG (% of one-year-old children)",258.9293262629723
"Population ages 00-04, female (% of female population)",253.0756448516545
"Population ages 35-39, female (% of female population)",220.92437582005695
"Population ages 40-44, female (% of female population)",196.42906486902766
"Population ages 75-79, male (% of male population)",188.5650756635034
"GNI per capita, PPP (current international $)",179.7699392079035
"Population ages 40-44, male (% of male population)",174.1961412260958
"Population ages 30-34, female (% of female population)",168.70890335379497
"GNI per capita, Atlas method (current US$)",156.95693287698438
"Population ages 35-39, male (% of male population)",153.37023612511788
"Population ages 10-14, female (% of female population)",150.87713418055088
"Population ages10-14, male (% of male population)",148.09071613731334
"Population ages 45-49, female (% of female population)",137.9973268801451
GDP per capita (Current US$),136.4872076961017
GDP per person employed (constant 2011 PPP $),126.74905093975737
"Population ages 70-74, male (% of male population)",117.9472834638837
"Population ages 80 and older, male (% of male population)",113.05226101673874
"Population ages 45-49, male (% of male population)",109.64415660762984
"Population ages 65 and above, male (% of total)",98.92626445414288
"School enrollment, secondary (% gross)",96.90828835220933
Mobile cellular subscriptions (per 100 people),94.5725320917503
Rural population growth (annual %),88.91038620408311
"Population ages 70-74, female (% of female population)",86.13911262340949
Population ages 65 and above (% of total),82.86978432528132
Prevalence of anemia among children (% of children under 5),79.27722634683835
"Population ages 75-79, female (% of female population)",77.53784967975189
Newborns protected against tetanus (%),73.73536452873603
"School enrollment, secondary (gross), gender parity index (GPI)",71.28616177114709
"School enrollment, secondary, male (% gross)",70.0233359001539
"Secondary education, pupils (% female)",68.93597534042091
"Population ages 65 and above, female (% of total)",67.80462406235165
"Population ages 30-34, male (% of male population)",67.25144942701978
"Population ages 50-54, female (% of female population)",66.87503135497799
"School enrollment, secondary, female (% gross)",66.84342222050341
"Population ages 25-29, female (% of female population)",64.34173809062892
Internet users (per 100 people),59.22574629737919
"Population ages 80 and older, female (% of female population)",56.652071271262464
