,0
"Mortality rate, infant (per 1,000 live births)",603.0133304187447
"Mortality rate, under-5 (per 1,000)",602.0528384970822
"Mortality rate, under-5 (per 1,000 live births)",602.0528384970822
"Mortality rate, neonatal (per 1,000 live births)",577.7015657412562
Fixed telephone subscriptions (per 100 people),194.4404249866448
"Immunization, BCG (% of one-year-old children)",166.5711351112178
"Immunization, Hib3 (% of children ages 12-23 months)",130.6374346636997
Number of neonatal deaths,117.66306269154784
"Secondary education, teachers (% female)",117.08106818292498
Number of under-five deaths,110.72943677691372
Number of infant deaths,110.50037911862253
Net ODA received per capita (current US$),109.14187756120737
Prevalence of anemia among children (% of children under 5),104.52790612716467
Urban population (% of total),103.59473804870615
Rural population (% of total population),103.59473804869961
"Immunization, HepB3 (% of one-year-old children)",102.40719190315836
GDP per capita (Current US$),96.70810201861497
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",95.58153218389344
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",95.20633835595785
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",94.84665503116754
"GNI per capita, Atlas method (current US$)",86.52014640216973
"Population ages 00-14, male (% of total)",85.74047403409949
"Population ages10-14, male (% of male population)",82.6363951915203
"Population ages 00-04, male (% of male population)",82.37304420522824
Lifetime risk of maternal death (1 in: rate varies by country),78.85023605338269
External resources for health (% of total expenditure on health),77.5529475167501
"Population ages 05-09, male (% of male population)",75.94021997536295
"Population ages 15-19, male (% of male population)",74.15070407870678
Prevalence of undernourishment (% of population),74.14847506669214
"Age dependency ratio, young",72.6743666830902
Population ages 0-14 (% of total),72.49424834680579
Population ages 00-14 (% of total),72.49424834680579
"Immunization, DPT (% of children ages 12-23 months)",72.3353021265203
Net ODA received (% of GNI),67.86211569546312
"People using safely managed drinking water services, urban (% of urban population)",65.48393140052458
"People using safely managed drinking water services, rural (% of rural population)",65.48393140052458
Number of people who are undernourished,63.92345620732518
"Adjusted net enrollment rate, primary, female (% of primary school age children)",59.936800670586564
"School enrollment, primary, female (% net)",59.91582562301148
"Adjusted net enrollment rate, primary, male (% of primary school age children)",59.81216496917915
"School enrollment, primary, male (% net)",59.79100284143969
Health expenditure per capita (current US$),56.73004086730357
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",55.7170261201853
Prevalence of anemia among non-pregnant women (% of women ages 15-49),55.33013887038646
Prevalence of anemia among women of reproductive age (% of women ages 15-49),55.131854442326336
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",54.39834935717242
"Age population, age 0, male, interpolated",53.414745213522025
"Immunization, Pol3 (% of one-year-old children)",52.617933864813295
"Age population, age 01, male, interpolated",52.01770111083659
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",51.794342240334664
"Age population, age 0, female, interpolated",51.58806421654387
"Age population, age 02, male, interpolated",50.901212392710626
Malaria cases reported,50.65954730809574
Reported cases of malaria,50.65954730809574
Male population 00-04,50.31618816037859
"Age population, age 01, female, interpolated",50.11257932782729
"Age population, age 03, male, interpolated",49.80407269819219
"Age population, age 02, female, interpolated",48.93146177793725
Age dependency ratio (% of working-age population),48.895234469383134
"Age population, age 04, male, interpolated",48.72872043004153
Female population 00-04,48.401841584697955
Mobile cellular subscriptions (per 100 people),48.16649783573426
"Age population, age 03, female, interpolated",47.78629988919709
"Age population, age 05, male, interpolated",47.68732618220667
"School enrollment, secondary, female (% gross)",47.66550222207724
"School enrollment, secondary, male (% gross)",47.24429964616245
"Secondary education, pupils (% female)",47.173269669589956
"Population ages 15-19, female (% of female population)",46.77776403386149
Rural population,46.76205718166929
"Age population, age 06, male, interpolated",46.7475613441447
"Age population, age 04, female, interpolated",46.70913689432002
"School enrollment, secondary (gross), gender parity index (GPI)",46.57691856293316
"Population ages 15-64, male (% of total)",46.11928150171199
"Population ages 0-14, male",46.05625955828197
"Age population, age 07, male, interpolated",45.88855938937838
"Age population, age 05, female, interpolated",45.696042033182835
Male population 05-09,45.35179088266161
"Population ages 00-14, total",45.1741014440689
"Age population, age 08, male, interpolated",45.091199496469294
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",44.927679843247205
"Age population, age 06, female, interpolated",44.79759173449764
"Age population, age 09, male, interpolated",44.35142534114308
"Population ages 0-14, female",44.26690163812829
"Age population, age 07, female, interpolated",43.99278106162023
"Age population, age 10, male, interpolated",43.66736870865424
Population ages 15-64 (% of total),43.521605536701614
Female population 05-09,43.500752443435
"Age population, age 08, female, interpolated",43.25876363649004
"Age population, age 11, male, interpolated",43.03283372699825
"Age population, age 09, female, interpolated",42.588217408244326
"Age population, age 12, male, interpolated",42.4415686502316
"Age population, age 10, female, interpolated",41.975861467081714
"Age population, age 13, male, interpolated",41.88259056361765
Male population 10-14,41.881383389714095
"School enrollment, primary and secondary (gross), gender parity index (GPI)",41.85775494814362
"Age at first marriage, male",41.43913209781208
"Age at first marriage, female",41.43901638481545
"Age population, age 11, female, interpolated",41.408677738436744
"Age population, age 14, male, interpolated",41.30180620395554
Female share of employment in senior and middle management (%),40.99146073318288
"Age population, age 12, female, interpolated",40.86154778497465
"Age population, age 15, male, interpolated",40.60007882293265
"Age population, age 13, female, interpolated",40.31881533890141
Female population 10-14,40.30592127274792
"Immunization, measles (% of children ages 12-23 months)",39.94233536627609
"Age population, age 14, female, interpolated",39.752961708618436
"Age population, age 16, male, interpolated",39.69041300145854
"Unemployment, female (% of female labor force) (modeled ILO estimate)",39.56276392471537
"Unemployment, female (% of female labor force)",39.56276392471537
"Unemployment, total (% of total labor force)",39.40285223592739
"Labor force participation rate for ages 15-24, female (%) (national estimate)",39.10684345357126
"Age population, age 15, female, interpolated",39.10488444192643
"Age population, age 17, male, interpolated",38.52361737870937
"Age population, age 16, female, interpolated",38.317654951993035
"Labor force participation rate for ages 15-24, male (%) (national estimate)",38.039269095168834
Male population 15-19,37.691062504666974
"Age population, age 17, female, interpolated",37.369126064931436
"Expected years of schooling, female",37.28168919040867
"Expected years of schooling, male",37.20802693957694
"Age population, age 18, male, interpolated",37.076844542139376
Net official development assistance received (current US$),36.977889757334935
Net official development assistance and official aid received (current US$),36.96531579506027
"Population ages 10-14, female (% of female population)",36.697557531988345
Female population 15-19,36.67187888936211
Children (ages 0-14) newly infected with HIV,36.61308561216401
"Government expenditure per student, primary (% of GDP per capita)",36.60518371306421
"School enrollment, secondary (% net)",36.560153413768724
"Government expenditure per student, secondary (% of GDP per capita)",36.3979384961153
"Age population, age 18, female, interpolated",36.269162916634954
"School enrollment, secondary (% gross)",36.07763356928102
"Age population, age 19, male, interpolated",35.35533913760379
"Population ages 80 and older, male (% of male population)",35.25964621272941
"Age population, age 19, female, interpolated",35.02501796626453
"Age population, age 20, female, interpolated",33.672834946424764
"Health expenditure per capita, PPP",33.573069711769215
"Health expenditure per capita, PPP (constant 2011 international $)",33.573069711769215
"Age population, age 20, male, interpolated",33.413467378586255
Children (0-14) living with HIV,32.62769324562426
Newborns protected against tetanus (%),32.40972035665938
"Age population, age 21, female, interpolated",32.26850884570207
Children orphaned by HIV/AIDS,32.25712360777081
"School enrollment, primary (% net)",31.883030535487492
"Adjusted net enrollment rate, primary (% of primary school age children)",31.86958713107421
"Unemployment, male (% of male labor force)",31.625746122134938
"Unemployment, male (% of male labor force) (modeled ILO estimate)",31.625746122134938
"Age population, age 21, male, interpolated",31.319216462944382
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",31.063940764807075
"Age population, age 22, female, interpolated",30.85716325036245
"GNI per capita, PPP (current international $)",30.84396139310848
Female population 20-24,30.367248050025367
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",30.120788913109838
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",30.075814679473186
"Employment to population ratio, ages 15-24, female (%) (national estimate)",29.549508387824012
"Age population, age 23, female, interpolated",29.460665398238977
"Age population, age 22, male, interpolated",29.1036751352936
"Employment to population ratio, ages 15-24, male (%) (national estimate)",28.73761223927774
Internet users (per 100 people),28.54520668533782
Male population 20-24,28.542491765152135
"Population ages 15-64, female (% of total)",28.44263646031248
"School enrollment, secondary, female (% net)",28.28302224981124
"Age population, age 24, female, interpolated",28.10667207054714
"School enrollment, secondary, male (% net)",28.043358101300992
"Population ages 00-14, female (% of total)",27.903274138854645
"Educational attainment, completed Bachelor's or equivalent, population 25+ years, female (%)",27.79605930870448
"Educational attainment, completed Bachelor's or equivalent, population 25+ years, male (%)",27.51527775718972
Number of maternal deaths,27.059421341131163
"Age population, age 25, female, interpolated",26.81990454893848
"Age population, age 23, male, interpolated",26.80157806099535
"Population ages 45-49, male (% of male population)",26.6321192215212
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",26.50929620809681
"Primary education, teachers (% female)",25.037493515313642
Prevalence of anemia among pregnant women (%),25.01341545115757
"Population, female",24.971838477338782
"Persistence to grade 5, male (% of cohort)",24.742553489054774
"Persistence to grade 5, female (% of cohort)",24.720907122457636
Goods (excluding arms) admitted free of tariffs from developing countries (% total merchandise imports excluding arms),24.64232790924186
Goods (excluding arms) admitted free of tariffs from least developed countries (% total merchandise imports excluding arms),24.628784253494736
Average tariffs imposed by developed countries on clothing products from least developed countries (%),24.622733523060766
Average tariffs imposed by developed countries on textile products from least developed countries (%),24.622605885891204
Average tariffs imposed by developed countries on textile products from developing countries (%),24.620178636268648
Average tariffs imposed by developed countries on clothing products from developing countries (%),24.61928836292717
Average tariffs imposed by developed countries on agricultural products from least developed countries (%),24.617132041552033
Average tariffs imposed by developed countries on agricultural products from developing countries (%),24.615580643173256
"Population, total",24.517746370811736
"Age population, age 24, male, interpolated",24.505227599457246
Female population 25-29,24.18394172850797
"Population ages 40-44, male (% of male population)",24.162960774314566
"Population ages 55-59, male (% of male population)",23.995930106161946
