,0
Years,133.0404056531234
Internet users (per 100 people),76.41783733701986
Bilateral ODA commitments that is untied (% of bilateral ODA commitments),61.303184738465504
Tuberculosis treatment success rate (% of new cases),46.91270167568796
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),42.2707994937693
Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),42.2707994937693
"Mortality rate, adult, male (per 1,000 male adults)",34.259394548620854
"Mortality rate, adult, female (per 1,000 female adults)",33.0898902642742
"Health expenditure, public (% of total health expenditure)",30.740168575961597
Average tariffs imposed by developed countries on clothing products from developing countries (%),30.659932970370413
Average tariffs imposed by developed countries on textile products from developing countries (%),30.502152696409407
Average tariffs imposed by developed countries on agricultural products from least developed countries (%),30.490074500154883
Out-of-pocket health expenditure (% of private expenditure on health),30.466740800507814
Average tariffs imposed by developed countries on clothing products from least developed countries (%),30.389872985894158
CO2 emissions (kg per PPP $ of GDP),30.35536448511967
Average tariffs imposed by developed countries on textile products from least developed countries (%),30.342838338475453
Average tariffs imposed by developed countries on agricultural products from developing countries (%),30.342467893074087
"Health expenditure, public (% of GDP)",30.284820345157645
"Health expenditure, private (% of GDP)",30.260790414043434
"Health expenditure, total (% of GDP)",30.20510180757192
"Prevalence of obesity, female (% of female population ages 18+)",30.182832486990932
Goods (excluding arms) admitted free of tariffs from least developed countries (% total merchandise imports excluding arms),30.129358966957444
"Prevalence of overweight, female (% of female adults)",30.105860894442014
"Health expenditure, public (% of government expenditure)",30.047205644238414
"Prevalence of obesity, male (% of male population ages 18+)",30.017836813257883
"Prevalence of overweight, male (% of male adults)",30.00998482014662
Out-of-pocket health expenditure (% of total expenditure on health),29.961127673709136
"Health expenditure, private (% of total health expenditure)",29.939831884013525
Goods (excluding arms) admitted free of tariffs from developing countries (% total merchandise imports excluding arms),29.54549538576191
"Persistence to last grade of primary, total (% of cohort)",24.33047853735052
"Persistence to last grade of primary, male (% of cohort)",24.078215248188254
"Persistence to last grade of primary, female (% of cohort)",24.07773134790078
"Government expenditure per student, secondary (% of GDP per capita)",20.61942629589122
Country_code,19.901838394396037
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",19.76984089450274
"Primary education, teachers (% female)",19.24629978989672
"Employment in industry, male (% of male employment)",17.403982210210188
"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",17.322410941777292
GDP per capita (Current US$),17.280431427464414
"Adolescent fertility rate (births per 1,000 women ages 15-19)",17.271222874935773
"Incidence of tuberculosis (per 100,000 people)",17.13295632204443
"Employment in industry, female (% of female employment)",17.07975785453611
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",17.042328761323642
"Tuberculosis death rate (per 100,000 people), including HIV",16.917095458543315
"Tuberculosis death rate (per 100,000 people)",16.917095458543315
Net ODA provided to the least developed countries (% of donor GNI),16.90345945077794
"Net ODA provided, total (% of GNI)",16.902580754917206
Lifetime risk of maternal death (%),16.90088064890034
Improved water source (% of population with access),16.900724973650647
"Improved water source, rural (% of rural population with access)",16.900724973650647
"Improved water source, urban (% of urban population with access)",16.900724973650647
"People using basic drinking water services, urban (% of urban population)",16.900724973650647
"People practicing open defecation, urban (% of urban population)",16.900724973650483
"People practicing open defecation, rural (% of rural population)",16.900724973650483
"People using basic drinking water services, rural (% of rural population)",16.897699137027836
"Improved sanitation facilities, rural (% of rural population with access)",16.89325378316763
"People using basic sanitation services, rural (% of rural population)",16.8904464218624
Improved sanitation facilities (% of population with access),16.88270229554674
"People using basic sanitation services, urban  (% of urban population)",16.88100112687691
"Improved sanitation facilities, urban (% of urban population with access)",16.88097318008395
Number of maternal deaths,16.835859128327296
"Survival to age 65, female (% of cohort)",16.737110059474706
"Survival to age 65, male (% of cohort)",16.58901441230743
Agricultural support estimate (% of GDP),16.582557754931393
CO2 emissions (kt),16.57383496273366
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),16.50895801400497
Proportion of women in ministerial level positions (%),16.381004772133068
CO2 emissions (metric tons per capita),16.297455009607273
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),16.266639163522285
Tuberculosis case detection rate (all forms),15.48198726126582
"Tuberculosis case detection rate (%, all forms)",15.48198726126582
Total bilateral ODA commitments (current US$),14.309878276551325
Bilateral ODA commitments that is untied (current US$),14.202890076966508
"Secondary education, teachers (% female)",14.028694441039944
"Immunization, HepB3 (% of one-year-old children)",13.624430145878572
"Secondary education, pupils (% female)",13.620903315944018
"Primary education, pupils (% female)",12.790476330076427
"School enrollment, secondary, female (% gross)",12.633667211635109
"Persistence to grade 5, male (% of cohort)",12.476720626842733
"Persistence to grade 5, female (% of cohort)",12.468996307229414
"School enrollment, secondary (gross), gender parity index (GPI)",12.363541358761905
"School enrollment, primary and secondary (gross), gender parity index (GPI)",12.362130504459781
Female share of employment in senior and middle management (%),12.323918201502108
"School enrollment, secondary, male (% gross)",12.292311440691256
Mobile cellular subscriptions (per 100 people),11.925825785537675
"School enrollment, secondary (% gross)",11.557835183261828
"School enrollment, primary (gross), gender parity index (GPI)",11.520197745004351
"School enrollment, primary, female (% gross)",11.4633029351784
"School enrollment, primary (% gross)",11.463284164955155
"School enrollment, primary, male (% gross)",11.461990377253136
Ratio of female to male youth unemployment rate (%) (national estimate),11.149159300508272
"Wage and salaried workers, male (% of male employment)",10.896002190016873
"Wage and salaried workers, female (% of female employment)",10.868439992781294
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",10.824691596103495
"Unemployment with basic education, female (% of female labor force with basic education)",10.812848289807885
"Employment in services, female (% of female employment)",10.807203511965941
"Contributing family workers, female (% of female employment)",10.789766261807337
"Own-account workers, male (% of males employed)",10.786610911486289
"Employment in agriculture, female (% of female employment)",10.785276940450878
"Unemployment with basic education, male (% of male labor force with basic education)",10.782775921631586
"Unemployment with advanced education, female (% of female labor force with advanced education)",10.778270959313359
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",10.778174837651825
"Unemployment with advanced education, male (% of male labor force with advanced education)",10.771289813979855
"Contributing family workers, total (% of total employment)",10.76668971383028
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",10.76447030063513
"Employment in agriculture, male (% of male employment)",10.760154601501942
"Employers, female (% of female employment)",10.75090104127337
"Vulnerable employment, total (% of total employment)",10.744758202201746
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",10.742807034639041
"Vulnerable employment, female (% of female employment)",10.73228675352119
"Own-account workers, female (% of females employed)",10.728023039416808
"Employers, male (% of male employment)",10.701342814134597
"Self-employed, female (% of female employment)",10.698070759024326
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",10.692018444152714
"Self-employed, total (% of total employment)",10.688964362154183
"Self-employed, male (% of male employment)",10.66840200022873
Rural population growth (annual %),10.660083472584072
"Labor force with advanced education, female (% of female working-age population with advanced education)",10.612585390547109
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",10.602131258803613
"Labor force with advanced education, male (% of male working-age population with advanced education)",10.590462521503982
"Employment in services, male (% of male employment)",10.548622265960597
"Labor force with basic education, male (% of male working-age population with basic education)",10.524409513932119
Gross capital formation (% of GDP),10.437515515241849
"Labor force with basic education, female (% of female working-age population with basic education)",10.297547298616404
"Vulnerable employment, male (% of male employment)",9.853164798778215
"Contributing family workers, male (% of male employment)",9.850885529596452
Sex ratio at birth (male births per female births),9.72773291176365
Trade (% of GDP),9.675138982730054
Population growth (annual %),9.210617195376502
Urban population (% of total),9.09119581653272
Rural population (% of total population),9.091195816530826
People using safely managed drinking water services (% of population),8.375803855376462
"Death rate, crude (per 1,000 people)",8.330226227818116
People practicing open defecation (% of population),8.191381816397543
People using basic drinking water services (% of population),8.190527541004084
"Fertility rate, total (births per woman)",8.187692910135251
"Birth rate, crude (per 1,000 people)",8.185880734729198
People using basic sanitation services (% of population),8.155625628104588
"Health expenditure per capita, PPP (constant 2011 international $)",8.068049479578736
"Health expenditure per capita, PPP",8.068049479578736
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),7.914260041476222
GDP growth (annual %),7.810237545166068
Forest area (% of land area),7.773574294694973
"Time-related underemployment, female (% of employment)",7.719761088332401
People using safely managed sanitation services (% of population),7.702054972568763
"Inflation, consumer prices (annual %)",7.58789481642311
"Population ages 35-39, male (% of male population)",7.5844509211602675
"Population ages 35-39, female (% of female population)",7.569334108251109
"Population ages 40-44, male (% of male population)",7.563600656592328
"Mortality rate, under-5 (per 1,000)",7.5503492268649355
"Mortality rate, under-5 (per 1,000 live births)",7.5503492268649355
"Age dependency ratio, young",7.5491527816772415
"Population ages 40-44, female (% of female population)",7.546289395047837
"Population ages 00-14, male (% of total)",7.545501431826285
"Population ages 15-64, male (% of total)",7.541210060021631
"Unemployment, female (% of female labor force) (modeled ILO estimate)",7.539795300220202
"Unemployment, female (% of female labor force)",7.539795300220202
Population ages 00-14 (% of total),7.538909872094612
Population ages 0-14 (% of total),7.538909872094612
"Mortality rate, infant (per 1,000 live births)",7.535034229403081
"Population ages 00-14, female (% of total)",7.532945495803987
"Population ages10-14, male (% of male population)",7.524820287146424
"Population ages 75-79, female (% of female population)",7.523804162734011
"Unemployment, total (% of total labor force)",7.523141329714649
"Population ages 10-14, female (% of female population)",7.520655166397882
"Population ages 70-74, female (% of female population)",7.520345206140295
"Population ages 05-09, male (% of male population)",7.518765039041791
"Population, female (% of total)",7.518358400676867
"Population ages 30-34, male (% of male population)",7.517064789492261
"Population ages 05-09, female (% of female population)",7.514584972664002
"Population ages 15-19, male (% of male population)",7.512332463968453
"Unemployment, male (% of male labor force)",7.510886746661776
"Unemployment, male (% of male labor force) (modeled ILO estimate)",7.510886746661776
Population ages 15-64 (% of total),7.51060971410918
"Population ages 15-19, female (% of female population)",7.509543306749321
"Population ages 30-34, female (% of female population)",7.508018220969906
"Mortality rate, neonatal (per 1,000 live births)",7.504983384146232
"Population ages 70-74, male (% of male population)",7.503579156984904
"Population ages 00-04, male (% of male population)",7.502372737193148
"Population ages 00-04, female (% of female population)",7.498010822038141
"Population ages 75-79, male (% of male population)",7.493882220755212
"Population ages 20-24, male (% of male population)",7.493384548044711
"Population ages 65-69, female (% of female population)",7.490903681849586
"Population ages 20-24, female (% of female population)",7.4904616493296485
