,0
"Adjusted net enrollment rate, primary (% of primary school age children)",0.17995444
AIDS estimated deaths (UNAIDS estimates),0.107061505
"Access to anti-retroviral drugs, female (%)",0.07744875
Age dependency ratio (% of working-age population),0.06378132
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.061503418
"Age dependency ratio, old",0.056947608
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.025056947
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.025056947
"Access to anti-retroviral drugs, male (%)",0.018223235
Bilateral ODA commitments that is untied (% of bilateral ODA commitments),0.011389522
"Employers, male (% of male employment)",0.011389522
"Age dependency ratio, young",0.011389522
"Age population, age 0, female, interpolated",0.011389522
"Expected years of schooling, female",0.009111618
"Immunization, HepB3 (% of one-year-old children)",0.009111618
CO2 emissions (kg per PPP $ of GDP),0.009111618
GDP per capita (Current US$),0.006833713
"Expected years of schooling, male",0.006833713
"Age population, age 01, male, interpolated",0.006833713
"Death rate, crude (per 1,000 people)",0.006833713
Net ODA provided to the least developed countries (% of donor GNI),0.006833713
"Inflation, consumer prices (annual %)",0.006833713
"School enrollment, primary (gross), gender parity index (GPI)",0.006833713
"Age population, age 07, male, interpolated",0.006833713
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.006833713
Bilateral ODA commitments that is untied (current US$),0.006833713
"Government expenditure per student, primary (% of GDP per capita)",0.006833713
"GNI per capita, Atlas method (current US$)",0.006833713
"Gross graduation ratio, tertiary, female (%)",0.006833713
"Government expenditure on education, total (% of GDP)",0.004555809
"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",0.004555809
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.004555809
"Contributing family workers, male (% of male employment)",0.004555809
Fixed telephone subscriptions (per 100 people),0.004555809
"Fertility rate, total (births per woman)",0.004555809
Internet users (per 100 people),0.004555809
"Health expenditure, public (% of government expenditure)",0.004555809
"Employment in industry, female (% of female employment)",0.004555809
"Employment in industry, male (% of male employment)",0.004555809
"Immunization, Hib3 (% of children ages 12-23 months)",0.004555809
"PPP conversion factor, GDP (LCU per international $)",0.004555809
Average tariffs imposed by developed countries on agricultural products from least developed countries (%),0.004555809
"Government expenditure per student, secondary (% of GDP per capita)",0.004555809
"Public spending on education, total (% of GDP)",0.004555809
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.004555809
"Age population, age 01, female, interpolated",0.004555809
"Age population, age 13, female, interpolated",0.004555809
"Age population, age 12, male, interpolated",0.004555809
"Age population, age 09, female, interpolated",0.004555809
"Age population, age 09, male, interpolated",0.004555809
"Age population, age 10, female, interpolated",0.004555809
"Age population, age 06, male, interpolated",0.004555809
"Unemployment, male (% of male labor force)",0.0022779044
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.0022779044
"Immunization, Pol3 (% of one-year-old children)",0.0022779044
"Employers, female (% of female employment)",0.0022779044
"Age population, age 10, male, interpolated",0.0022779044
"Population ages 50-54, male (% of male population)",0.0022779044
"Population ages 55-59, male (% of male population)",0.0022779044
"Age population, age 08, male, interpolated",0.0022779044
"Population ages 50-54, female (% of female population)",0.0022779044
"Net ODA provided, total (% of GNI)",0.0022779044
"Population ages 45-49, female (% of female population)",0.0022779044
"School enrollment, tertiary (% gross)",0.0022779044
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.0022779044
"School enrollment, tertiary, male (% gross)",0.0022779044
"Employment to population ratio, 15+, female (%) (national estimate)",0.0022779044
"Immunization, DPT (% of children ages 12-23 months)",0.0022779044
"Children out of school, primary, male",0.0022779044
"Health expenditure, total (% of GDP)",0.0022779044
"Age population, age 02, female, interpolated",0.0022779044
Forest area (sq. km),0.0022779044
"Age population, age 02, male, interpolated",0.0022779044
"Age population, age 03, female, interpolated",0.0022779044
"Population ages 70-74, male (% of male population)",0.0022779044
"Vulnerable employment, female (% of female employment)",0.0022779044
"Age population, age 04, female, interpolated",0.0022779044
"Gross graduation ratio, tertiary, male (%)",0.0022779044
Health expenditure per capita (current US$),0.0022779044
"Prevalence of obesity, male (% of male population ages 18+)",0.0022779044
"Health expenditure, private (% of total health expenditure)",0.0022779044
"Primary education, pupils (% female)",0.0022779044
"Age population, age 05, male, interpolated",0.0022779044
Proportion of women in ministerial level positions (%),0.0022779044
"Employment to population ratio, ages 15-24, male (%) (national estimate)",0.0022779044
"Age population, age 08, female, interpolated",0.0022779044
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.0022779044
"Age population, age 13, male, interpolated",0.0022779044
"Contributing family workers, female (% of female employment)",0.0022779044
"Children out of school, primary, female",0.0022779044
CO2 emissions (metric tons per capita),0.0022779044
"Age population, age 14, male, interpolated",0.0022779044
"Bilateral, sector-allocable ODA to basic social services (current US$)",0.0022779044
"Birth rate, crude (per 1,000 people)",0.0022779044
Births attended by skilled health staff (% of total),0.0022779044
"Mortality rate, neonatal (per 1,000 live births)",0.0022779044
"Unemployment with advanced education, male (% of male labor force with advanced education)",0.0022779044
"Unemployment with basic education, male (% of male labor force with basic education)",0.0022779044
Average tariffs imposed by developed countries on agricultural products from developing countries (%),0.0022779044
Lifetime risk of maternal death (1 in: rate varies by country),0.0022779044
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",0.0022779044
"Population ages 20-24, male (% of male population)",0.0022779044
Agricultural support estimate (% of GDP),0.0022779044
"Unemployment, female (% of female labor force) (modeled ILO estimate)",0.0022779044
