,0
"Access to anti-retroviral drugs, female (%)",0.07482993
AIDS estimated deaths (UNAIDS estimates),0.07436078
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.04879193
"Adjusted net enrollment rate, primary (% of primary school age children)",0.03424818
"Age dependency ratio, old",0.028852921
Age dependency ratio (% of working-age population),0.02275393
"Access to anti-retroviral drugs, male (%)",0.019000703
Mobile cellular subscriptions (per 100 people),0.013605442
"Death rate, crude (per 1,000 people)",0.012432559
"Age population, age 0, female, interpolated",0.011963406
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.0110251
Adults (ages 15+) and children (0-14 years) living with HIV,0.0110251
GDP growth (annual %),0.0110251
Fixed telephone subscriptions (per 100 people),0.00961764
Years,0.008679334
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.008444757
"Age dependency ratio, young",0.008444757
Internet users (per 100 people),0.008444757
Improved sanitation facilities (% of population with access),0.00821018
Gross capital formation (% of GDP),0.0077410275
"Birth rate, crude (per 1,000 people)",0.007037298
GDP per capita (Current US$),0.007037298
Proportion of women in ministerial level positions (%),0.006802721
"PPP conversion factor, GDP (LCU per international $)",0.006802721
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.0065681445
CO2 emissions (kg per PPP $ of GDP),0.0065681445
"Population ages 30-34, female (% of female population)",0.006333568
People using basic drinking water services (% of population),0.006333568
Forest area (% of land area),0.005864415
"Incidence of tuberculosis (per 100,000 people)",0.005864415
"Tuberculosis death rate (per 100,000 people)",0.005629838
CO2 emissions (kt),0.0053952616
Tuberculosis treatment success rate (% of new cases),0.0053952616
"GNI per capita, PPP (current international $)",0.005160685
"Inflation, consumer prices (annual %)",0.005160685
CO2 emissions (metric tons per capita),0.005160685
Rural population (% of total population),0.005160685
"Secondary education, pupils (% female)",0.0049261083
"Survival to age 65, female (% of cohort)",0.0049261083
"Population ages 35-39, male (% of male population)",0.0049261083
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.0049261083
"GNI per capita, Atlas method (current US$)",0.004691532
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.004691532
"Age population, age 01, female, interpolated",0.004691532
GDP per person employed (constant 2011 PPP $),0.004691532
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.004691532
GDP (current US$),0.004691532
"Labor force, female (% of total labor force)",0.004456955
"Health expenditure, private (% of GDP)",0.0042223786
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.0042223786
"Population ages 35-39, female (% of female population)",0.0042223786
Antiretroviral therapy coverage (% of people living with HIV),0.0042223786
"Fertility rate, total (births per woman)",0.003987802
People practicing open defecation (% of population),0.003987802
"Population ages 30-34, male (% of male population)",0.003987802
"Cost of business start-up procedures, female (% of GNI per capita)",0.003987802
"Secondary education, teachers (% female)",0.003987802
"Health expenditure, public (% of government expenditure)",0.003987802
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.0037532253
"Age population, age 0, male, interpolated",0.0037532253
External resources for health (% of total expenditure on health),0.0037532253
Rural population growth (annual %),0.0037532253
Trade (% of GDP),0.0037532253
"Health expenditure, total (% of GDP)",0.003518649
Female population 30-34,0.003518649
"Mortality rate, adult, female (per 1,000 female adults)",0.0032840723
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0032840723
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.0032840723
"Survival to age 65, male (% of cohort)",0.0032840723
"Population ages 25-29, female (% of female population)",0.0032840723
"Population ages 25-29, male (% of male population)",0.0032840723
Adults (ages 15+) living with HIV,0.0032840723
"Employment in industry, male (% of male employment)",0.0030494956
"Age population, age 02, female, interpolated",0.0030494956
"Age population, age 04, female, interpolated",0.0030494956
Female population 35-39,0.0030494956
"Employment in services, female (% of female employment)",0.0030494956
"Mortality rate, adult, male (per 1,000 male adults)",0.0030494956
"Population ages 40-44, female (% of female population)",0.002814919
"Population ages 45-49, female (% of female population)",0.002814919
"Employment in agriculture, female (% of female employment)",0.002814919
"Population ages 20-24, female (% of female population)",0.002814919
"Age population, age 03, female, interpolated",0.0025803426
"Population ages 15-19, female (% of female population)",0.0025803426
"Health expenditure, public (% of GDP)",0.0025803426
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.0025803426
Female population 80+,0.0025803426
"Children out of school, primary, female",0.0025803426
"Population, female (% of total)",0.0025803426
"Employment in industry, female (% of female employment)",0.0025803426
Births attended by skilled health staff (% of total),0.0025803426
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.0025803426
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.0025803426
Lifetime risk of maternal death (1 in: rate varies by country),0.0025803426
"Primary completion rate, female (% of relevant age group)",0.0025803426
"School enrollment, secondary (gross), gender parity index (GPI)",0.002345766
"Employers, female (% of female employment)",0.002345766
"Employers, male (% of male employment)",0.002345766
Forest area (sq. km),0.002345766
"School enrollment, primary (gross), gender parity index (GPI)",0.002345766
Population growth (annual %),0.002345766
Adults (ages 15+) newly infected with HIV,0.002345766
"Unemployment, male (% of male labor force)",0.002345766
Improved water source (% of population with access),0.002345766
Country_code,0.002345766
"Population ages 80 and older, male (% of male population)",0.002345766
"Population ages 75-79, female (% of female population)",0.002345766
Net ODA received (% of GNI),0.002345766
"Population ages 15-64, female (% of total)",0.002345766
"Population ages 15-19, male (% of male population)",0.002345766
"PPP conversion factor, private consumption (LCU per international $)",0.002345766
"Unemployment, female (% of female labor force)",0.002345766
"Unemployment, total (% of total labor force)",0.0021111893
"Population ages 05-09, male (% of male population)",0.0021111893
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.0021111893
"GNI, Atlas method (current US$)",0.0021111893
"Gross graduation ratio, primary, female (%)",0.0021111893
Health expenditure per capita (current US$),0.0021111893
"School enrollment, primary (% gross)",0.0021111893
People using basic sanitation services (% of population),0.0021111893
"Primary education, teachers (% female)",0.0021111893
"Primary education, pupils (% female)",0.0021111893
"Lower secondary completion rate, female (% of relevant age group)",0.0021111893
"Population ages 65 and above, male (% of total)",0.0021111893
"Population ages 20-24, male (% of male population)",0.0021111893
"Population ages 10-14, female (% of female population)",0.0021111893
"Immunization, Pol3 (% of one-year-old children)",0.0021111893
Male population 80+,0.0021111893
"Employment in agriculture, male (% of male employment)",0.0021111893
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.0018766127
"Employment to population ratio, 15+, female (%) (national estimate)",0.0018766127
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.0018766127
"Employment to population ratio, 15+, male (%) (national estimate)",0.0018766127
"Population ages 80 and older, female (% of female population)",0.0018766127
"Population ages 60-64, male (% of male population)",0.0018766127
"Children out of school, primary, male",0.0018766127
"Prevalence of obesity, female (% of female population ages 18+)",0.0018766127
"Mortality rate, infant (per 1,000 live births)",0.0018766127
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.0018766127
Prevalence of anemia among children (% of children under 5),0.0018766127
"Immunization, DPT (% of children ages 12-23 months)",0.0016420361
"Gross graduation ratio, primary, male (%)",0.0016420361
"Primary completion rate, male (% of relevant age group)",0.0016420361
"Immunization, HepB3 (% of one-year-old children)",0.0016420361
"Immunization, Hib3 (% of children ages 12-23 months)",0.0016420361
"Tuberculosis death rate (per 100,000 people), including HIV",0.0016420361
Proportion of seats held by women in national parliaments (%),0.0016420361
"Population ages 00-04, female (% of female population)",0.0016420361
"Population ages 45-49, male (% of male population)",0.0016420361
"Age population, age 06, male, interpolated",0.0016420361
"Lower secondary completion rate, male (% of relevant age group)",0.0016420361
"School enrollment, secondary, female (% gross)",0.0016420361
"Improved sanitation facilities, rural (% of rural population with access)",0.0016420361
"School enrollment, secondary (% gross)",0.0016420361
Female population 70-74,0.0016420361
Female population 45-49,0.0016420361
Out-of-pocket health expenditure (% of total expenditure on health),0.0016420361
Urban population growth (annual %),0.0014074595
Incidence of HIV (% of uninfected population ages 15-49),0.0014074595
Newborns protected against tetanus (%),0.0014074595
Female population 50-54,0.0014074595
"Population ages 60-64, female (% of female population)",0.0014074595
"Cost of business start-up procedures, male (% of GNI per capita)",0.0014074595
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.0014074595
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.0014074595
"Health expenditure, private (% of total health expenditure)",0.0014074595
"Population ages 70-74, female (% of female population)",0.0014074595
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.0014074595
"Unemployment, female (% of female labor force) (modeled ILO estimate)",0.0014074595
"Age population, age 03, male, interpolated",0.0014074595
"Age population, age 12, female, interpolated",0.0014074595
"Age population, age 15, female, interpolated",0.0014074595
"Expected years of schooling, female",0.0014074595
Lifetime risk of maternal death (%),0.0014074595
"Unemployment, male (% of male labor force) (national estimate)",0.0014074595
"Age population, age 02, male, interpolated",0.0014074595
Female population 75-79,0.0014074595
"Age population, age 17, male, interpolated",0.0014074595
"Population ages 40-44, male (% of male population)",0.001172883
"Age population, age 07, female, interpolated",0.001172883
"Prevalence of obesity, male (% of male population ages 18+)",0.001172883
"Age population, age 22, male, interpolated",0.001172883
"Age population, age 19, female, interpolated",0.001172883
"Age population, age 09, male, interpolated",0.001172883
"Wage and salaried workers, female (% of female employment)",0.001172883
"Population ages 55-59, female (% of female population)",0.001172883
"Age population, age 17, female, interpolated",0.001172883
"Population ages 50-54, female (% of female population)",0.001172883
"School enrollment, primary, female (% gross)",0.001172883
"Improved sanitation facilities, urban (% of urban population with access)",0.001172883
"Improved water source, urban (% of urban population with access)",0.001172883
"Population ages 55-59, male (% of male population)",0.001172883
"Age population, age 10, male, interpolated",0.001172883
"Population ages10-14, male (% of male population)",0.001172883
"Employment to population ratio, 15+, total (%) (national estimate)",0.001172883
"Age population, age 05, female, interpolated",0.001172883
"Population, male (% of total)",0.001172883
Female population 40-44,0.001172883
Population ages 0-14 (% of total),0.001172883
Female population 60-64,0.001172883
"Age population, age 10, female, interpolated",0.001172883
"Age population, age 13, male, interpolated",0.001172883
"Government expenditure on education, total (% of GDP)",0.00093830633
"People using basic drinking water services, rural (% of rural population)",0.00093830633
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),0.00093830633
Sex ratio at birth (male births per female births),0.00093830633
"Age population, age 07, male, interpolated",0.00093830633
"Age population, age 23, female, interpolated",0.00093830633
"Population ages 15-64, male (% of total)",0.00093830633
"Contributing family workers, female (% of female employment)",0.00093830633
"Expected years of schooling, male",0.00093830633
"School enrollment, tertiary (gross), gender parity index (GPI)",0.00093830633
"Age population, age 20, male, interpolated",0.00093830633
"Government expenditure per student, secondary (% of GDP per capita)",0.00093830633
"Age population, age 08, female, interpolated",0.00093830633
"Age population, age 21, female, interpolated",0.00093830633
Net official development assistance and official aid received (current US$),0.00093830633
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.00093830633
"Improved water source, rural (% of rural population with access)",0.00093830633
"Population ages 50-54, male (% of male population)",0.00093830633
"Immunization, measles (% of children ages 12-23 months)",0.00093830633
"Age population, age 15, male, interpolated",0.00093830633
"Age population, age 24, male, interpolated",0.00093830633
"Health expenditure, public (% of total health expenditure)",0.00093830633
Female population 65-69,0.00093830633
"Labor force, female",0.00093830633
Ratio of female to male labor force participation rate (%) (national estimate),0.00093830633
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",0.00093830633
"Wage and salaried workers, male (% of male employment)",0.00093830633
"Population ages 00-04, male (% of male population)",0.00093830633
"Age population, age 11, female, interpolated",0.00093830633
"Age population, age 09, female, interpolated",0.00093830633
"Age population, age 05, male, interpolated",0.00093830633
Net ODA received per capita (current US$),0.00070372975
Ratio of female to male youth unemployment rate (%) (national estimate),0.00070372975
"People using basic sanitation services, rural (% of rural population)",0.00070372975
"School enrollment, primary, male (% gross)",0.00070372975
"Malnutrition prevalence, height for age (% of children under 5)",0.00070372975
Male population 65-69,0.00070372975
"Age population, age 21, male, interpolated",0.00070372975
"Own-account workers, female (% of females employed)",0.00070372975
Out-of-pocket health expenditure (% of private expenditure on health),0.00070372975
"Age population, age 22, female, interpolated",0.00070372975
"Population ages 00-14, female (% of total)",0.00070372975
"Hospital beds (per 1,000 people)",0.00070372975
"Labor force participation rate for ages 15-24, female (%) (national estimate)",0.00070372975
"Employment in services, male (% of male employment)",0.00070372975
"Population ages 75-79, male (% of male population)",0.00070372975
"Unemployment, female (% of female labor force) (national estimate)",0.00070372975
"Population ages 70-74, male (% of male population)",0.00070372975
"Population ages 65-69, male (% of male population)",0.00070372975
"Population ages 65-69, female (% of female population)",0.00070372975
"Age population, age 04, male, interpolated",0.00070372975
"Population ages 15-64, male",0.00070372975
"Tuberculosis case detection rate (%, all forms)",0.00070372975
"Population ages 65 and above, female",0.00070372975
Population ages 65 and above (% of total),0.00070372975
"Time required to start a business, female (days)",0.00070372975
"Age population, age 16, female, interpolated",0.00070372975
"Age population, age 06, female, interpolated",0.00070372975
"Prevalence of HIV, male (% ages 15-24)",0.00070372975
"Age population, age 16, male, interpolated",0.00070372975
Female population 25-29,0.00070372975
"Age population, age 18, female, interpolated",0.00070372975
Prevalence of undernourishment (% of population),0.00070372975
"Prevalence of overweight, female (% of female adults)",0.00070372975
"Age population, age 12, male, interpolated",0.00070372975
Urban population (% of total),0.00070372975
People using safely managed sanitation services (% of population),0.00046915316
"People using basic drinking water services, urban (% of urban population)",0.00046915316
"Age population, age 23, male, interpolated",0.00046915316
Population ages 15-64 (% of total),0.00046915316
"Age population, age 14, male, interpolated",0.00046915316
"Primary completion rate, total (% of relevant age group)",0.00046915316
"Population ages 65 and above, female (% of total)",0.00046915316
"Population ages 00-14, male (% of total)",0.00046915316
"Population ages 05-09, female (% of female population)",0.00046915316
"Age population, age 18, male, interpolated",0.00046915316
"Age population, age 20, female, interpolated",0.00046915316
"Age population, age 24, female, interpolated",0.00046915316
"Age population, age 08, male, interpolated",0.00046915316
"Prevalence of overweight, male (% of male adults)",0.00046915316
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.00046915316
"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.00046915316
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.00046915316
"Immunization, BCG (% of one-year-old children)",0.00046915316
"Time-related underemployment, female (% of employment)",0.00046915316
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.00046915316
"Labor force participation rate for ages 15-24, male (%) (national estimate)",0.00046915316
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",0.00046915316
"Labor force with advanced education, female (% of female working-age population with advanced education)",0.00046915316
Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),0.00046915316
"School enrollment, secondary, male (% gross)",0.00046915316
"Age population, age 01, male, interpolated",0.00046915316
Male population 60-64,0.00046915316
"School enrollment, primary (% net)",0.00046915316
Male population 35-39,0.00046915316
"Government expenditure per student, primary (% of GDP per capita)",0.00046915316
"Own-account workers, male (% of males employed)",0.00046915316
Number of maternal deaths,0.00046915316
Number of people who are undernourished,0.00046915316
Women's share of population ages 15+ living with HIV (%),0.00046915316
Net official development assistance received (current US$),0.00046915316
