,0
"Health expenditure, public (% of GDP)",0.029069768
"Inflation, consumer prices (annual %)",0.023255814
"Labor force, female (% of total labor force)",0.023255814
Malaria cases reported,0.023255814
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.023255814
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.017441861
"Population ages 30-34, female (% of female population)",0.017441861
"Survival to age 65, male (% of cohort)",0.017441861
GDP growth (annual %),0.017441861
"Access to anti-retroviral drugs, female (%)",0.017441861
Age dependency ratio (% of working-age population),0.017441861
"Time required to start a business, female (days)",0.017441861
"Cost of business start-up procedures, female (% of GNI per capita)",0.017441861
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.017441861
External resources for health (% of total expenditure on health),0.011627907
Improved sanitation facilities (% of population with access),0.011627907
Tuberculosis treatment success rate (% of new cases),0.011627907
"Population ages 20-24, male (% of male population)",0.011627907
"Population ages 25-29, male (% of male population)",0.011627907
"Death rate, crude (per 1,000 people)",0.011627907
"Health expenditure, public (% of government expenditure)",0.011627907
Prevalence of anemia among pregnant women (%),0.011627907
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.011627907
"School enrollment, primary (% gross)",0.011627907
CO2 emissions (metric tons per capita),0.011627907
CO2 emissions (kt),0.011627907
GDP (current US$),0.011627907
"Improved water source, urban (% of urban population with access)",0.011627907
Female population 55-59,0.011627907
Forest area (% of land area),0.011627907
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.011627907
People using basic drinking water services (% of population),0.011627907
"Unemployment, female (% of female labor force) (national estimate)",0.011627907
Lifetime risk of maternal death (%),0.011627907
"People using basic drinking water services, urban (% of urban population)",0.011627907
"People using basic drinking water services, rural (% of rural population)",0.0058139535
"Population, female (% of total)",0.0058139535
"Expected years of schooling, male",0.0058139535
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.0058139535
"Prevalence of HIV, male (% ages 15-24)",0.0058139535
Male population 55-59,0.0058139535
Male population 80+,0.0058139535
"Prevalence of HIV, female (% ages 15-24)",0.0058139535
"Maternal mortality ratio (national estimate, per 100,000 live births)",0.0058139535
Population growth (annual %),0.0058139535
"Mortality rate, adult, male (per 1,000 male adults)",0.0058139535
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0058139535
Incidence of HIV (% of uninfected population ages 15-49),0.0058139535
"Employment to population ratio, 15+, female (%) (national estimate)",0.0058139535
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.0058139535
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.0058139535
Net ODA received per capita (current US$),0.0058139535
"Prevalence of HIV, total (% of population ages 15-49)",0.0058139535
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.0058139535
"Net intake rate in grade 1, female (% of official school-age population)",0.0058139535
"Employment in agriculture, male (% of male employment)",0.0058139535
"Primary completion rate, female (% of relevant age group)",0.0058139535
Number of maternal deaths,0.0058139535
"Primary education, pupils (% female)",0.0058139535
"Progression to secondary school, male (%)",0.0058139535
Net official development assistance and official aid received (current US$),0.0058139535
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.0058139535
"Population ages 80 and older, female (% of female population)",0.0058139535
"Population ages 70-74, male (% of male population)",0.0058139535
"Improved water source, rural (% of rural population with access)",0.0058139535
"Health expenditure, private (% of GDP)",0.0058139535
"Improved sanitation facilities, rural (% of rural population with access)",0.0058139535
"Population ages 15-19, female (% of female population)",0.0058139535
"Immunization, measles (% of children ages 12-23 months)",0.0058139535
"Labor force participation rate for ages 15-24, male (%) (national estimate)",0.0058139535
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.0058139535
"Labor force with advanced education, female (% of female working-age population with advanced education)",0.0058139535
"Immunization, BCG (% of one-year-old children)",0.0058139535
"Population ages 35-39, female (% of female population)",0.0058139535
"Health expenditure, public (% of total health expenditure)",0.0058139535
"Population ages 00-14, male (% of total)",0.0058139535
"Health expenditure, private (% of total health expenditure)",0.0058139535
Ratio of female to male youth unemployment rate (%) (national estimate),0.0058139535
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",0.0058139535
"Population ages 65-69, male (% of male population)",0.0058139535
"Population ages 45-49, female (% of female population)",0.0058139535
"Population ages 50-54, male (% of male population)",0.0058139535
"Gross graduation ratio, primary, female (%)",0.0058139535
Gross capital formation (% of GDP),0.0058139535
"Government expenditure per student, primary (% of GDP per capita)",0.0058139535
"Population ages 60-64, female (% of female population)",0.0058139535
GDP per person employed (constant 2011 PPP $),0.0058139535
GDP per capita (Current US$),0.0058139535
"Lower secondary completion rate, female (% of relevant age group)",0.0058139535
"People using basic sanitation services, urban  (% of urban population)",0.0058139535
People using basic sanitation services (% of population),0.0058139535
Female population 80+,0.0058139535
AIDS estimated deaths (UNAIDS estimates),0.0058139535
"Expected years of schooling, female",0.0058139535
"School enrollment, secondary (gross), gender parity index (GPI)",0.0058139535
"Survival to age 65, female (% of cohort)",0.0058139535
"School enrollment, tertiary (% gross)",0.0058139535
"School enrollment, tertiary (gross), gender parity index (GPI)",0.0058139535
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.0058139535
"Secondary education, pupils (% female)",0.0058139535
"Unemployment, male (% of male labor force)",0.0058139535
Urban population growth (annual %),0.0058139535
"Birth rate, crude (per 1,000 people)",0.0058139535
"School enrollment, primary, male (% gross)",0.0058139535
"School enrollment, primary, female (% net)",0.0058139535
Children (0-14) living with HIV,0.0058139535
"Age dependency ratio, young",0.0058139535
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.0058139535
"Children out of school, primary, male",0.0058139535
"Start-up procedures to register a business, female (number)",0.0058139535
"School enrollment, primary (% net)",0.0058139535
Trade (% of GDP),0.0058139535
Women's share of population ages 15+ living with HIV (%),0.0058139535
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.0058139535
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.0058139535
"Total debt service (% of exports of goods, services and primary income)",0.0058139535
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.0058139535
