,0
AIDS estimated deaths (UNAIDS estimates),0.18383017
"Access to anti-retroviral drugs, female (%)",0.09688347
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.038166214
"Access to anti-retroviral drugs, male (%)",0.036811203
"Adjusted net enrollment rate, primary (% of primary school age children)",0.031165311
Age dependency ratio (% of working-age population),0.020325202
Adults (ages 15+) and children (0-14 years) living with HIV,0.015582656
"Age dependency ratio, old",0.01535682
"Death rate, crude (per 1,000 people)",0.013098464
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.010388438
"Age population, age 0, female, interpolated",0.009936766
"Cost of business start-up procedures, female (% of GNI per capita)",0.009259259
CO2 emissions (kg per PPP $ of GDP),0.009033424
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.008807588
"Birth rate, crude (per 1,000 people)",0.0079042455
Fixed telephone subscriptions (per 100 people),0.007000903
GDP growth (annual %),0.0067750677
CO2 emissions (kt),0.0067750677
"Inflation, consumer prices (annual %)",0.006549232
"Population ages 25-29, female (% of female population)",0.0060975607
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.0058717253
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.0054200543
Gross capital formation (% of GDP),0.005194219
Antiretroviral therapy coverage (% of people living with HIV),0.005194219
"Survival to age 65, female (% of cohort)",0.004968383
CO2 emissions (metric tons per capita),0.0047425474
Proportion of women in ministerial level positions (%),0.0047425474
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.0047425474
"Age dependency ratio, young",0.0047425474
"Mortality rate, adult, female (per 1,000 female adults)",0.004516712
GDP (current US$),0.004516712
"Fertility rate, total (births per woman)",0.004516712
"Age population, age 0, male, interpolated",0.0042908764
Adults (ages 15+) newly infected with HIV,0.0042908764
"Mortality rate, adult, male (per 1,000 male adults)",0.0042908764
"Population ages 15-19, female (% of female population)",0.0042908764
Mobile cellular subscriptions (per 100 people),0.0040650405
"Mortality rate, infant (per 1,000 live births)",0.0040650405
Years,0.0040650405
GDP per capita (Current US$),0.003839205
Adults (ages 15+) living with HIV,0.003839205
"Population ages 80 and older, male (% of male population)",0.003839205
"Immunization, DPT (% of children ages 12-23 months)",0.003839205
External resources for health (% of total expenditure on health),0.0036133695
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0036133695
"Health expenditure, private (% of total health expenditure)",0.0036133695
"Health expenditure, total (% of GDP)",0.0036133695
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.0036133695
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.0033875338
Forest area (% of land area),0.0033875338
Tuberculosis treatment success rate (% of new cases),0.0033875338
GDP per person employed (constant 2011 PPP $),0.0033875338
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.0033875338
Malaria cases reported,0.0033875338
Net ODA received per capita (current US$),0.0031616983
"Age population, age 01, female, interpolated",0.0031616983
"Tuberculosis case detection rate (%, all forms)",0.0031616983
Trade (% of GDP),0.0031616983
"Health expenditure, public (% of total health expenditure)",0.0031616983
Out-of-pocket health expenditure (% of total expenditure on health),0.0031616983
"Population ages 55-59, female (% of female population)",0.0031616983
Proportion of seats held by women in national parliaments (%),0.0029358626
"Health expenditure, public (% of government expenditure)",0.0029358626
"Health expenditure, private (% of GDP)",0.0029358626
"PPP conversion factor, GDP (LCU per international $)",0.0029358626
People practicing open defecation (% of population),0.0029358626
"Health expenditure per capita, PPP",0.0029358626
"Survival to age 65, male (% of cohort)",0.0029358626
Health expenditure per capita (current US$),0.0029358626
"Population ages 20-24, female (% of female population)",0.0029358626
Population growth (annual %),0.0029358626
Country_code,0.0029358626
Net ODA received (% of GNI),0.0027100272
"Immunization, Hib3 (% of children ages 12-23 months)",0.0027100272
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.0027100272
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0027100272
"Progression to secondary school, female (%)",0.0027100272
"Population ages 05-09, female (% of female population)",0.0027100272
"Population, female (% of total)",0.0027100272
"Immunization, BCG (% of one-year-old children)",0.0027100272
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.0027100272
Children (0-14) living with HIV,0.0027100272
"Children out of school, primary, female",0.0024841914
"Population, male (% of total)",0.0024841914
"Population ages 30-34, female (% of female population)",0.0024841914
Internet users (per 100 people),0.0024841914
"Health expenditure, public (% of GDP)",0.0024841914
"Government expenditure on education, total (% of GDP)",0.0024841914
"Improved sanitation facilities, rural (% of rural population with access)",0.0024841914
Vitamin A supplementation coverage rate (% of children ages 6-59 months),0.0024841914
