,0
AIDS estimated deaths (UNAIDS estimates),0.36725664
"Adjusted net enrollment rate, primary (% of primary school age children)",0.25663716
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.19690265
"Access to anti-retroviral drugs, female (%)",0.095132746
Age dependency ratio (% of working-age population),0.022123894
"Age population, age 0, female, interpolated",0.019911505
"Access to anti-retroviral drugs, male (%)",0.013274336
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.006637168
"Age dependency ratio, young",0.0044247787
"Employment in agriculture, female (% of female employment)",0.0022123894
"Employment in industry, female (% of female employment)",0.0022123894
"Fertility rate, total (births per woman)",0.0022123894
"Age population, age 03, female, interpolated",0.0022123894
"Age population, age 0, male, interpolated",0.0022123894
"Age population, age 09, female, interpolated",0.0022123894
"Age dependency ratio, old",0.0022123894
"Immunization, DPT (% of children ages 12-23 months)",0.0022123894
