,0
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.024734983
"Population ages 20-24, male (% of male population)",0.021201413
"GNI per capita, PPP (current international $)",0.021201413
"Labor force, female (% of total labor force)",0.017667845
"Population ages 20-24, female (% of female population)",0.017667845
"Population ages 75-79, female (% of female population)",0.017667845
"Mortality rate, adult, female (per 1,000 female adults)",0.017667845
"Inflation, consumer prices (annual %)",0.017667845
Forest area (% of land area),0.014134276
"Population ages 05-09, female (% of female population)",0.014134276
"Population ages 00-14, male (% of total)",0.014134276
"Population ages 80 and older, female (% of female population)",0.014134276
"Immunization, BCG (% of one-year-old children)",0.014134276
"Fertility rate, total (births per woman)",0.014134276
"Population ages 65-69, female (% of female population)",0.014134276
"Employment to population ratio, 15+, female (%) (national estimate)",0.014134276
Age dependency ratio (% of working-age population),0.014134276
"GNI per capita, Atlas method (current US$)",0.014134276
Lifetime risk of maternal death (%),0.010600707
Births attended by skilled health staff (% of total),0.010600707
"Survival to age 65, female (% of cohort)",0.010600707
"Adjusted net enrollment rate, primary (% of primary school age children)",0.010600707
Poverty headcount ratio at national poverty line (% of population),0.010600707
"Incidence of tuberculosis (per 100,000 people)",0.010600707
"Birth rate, crude (per 1,000 people)",0.010600707
"Population ages 60-64, female (% of female population)",0.010600707
"Health expenditure, private (% of GDP)",0.010600707
Internet users (per 100 people),0.010600707
"Primary completion rate, total (% of relevant age group)",0.010600707
"School enrollment, tertiary (% gross)",0.010600707
"Population ages 70-74, female (% of female population)",0.010600707
"Population ages 55-59, female (% of female population)",0.010600707
Fixed telephone subscriptions (per 100 people),0.007067138
Income share held by lowest 20%,0.007067138
"Time-related underemployment, male (% of employment)",0.007067138
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.007067138
Improved water source (% of population with access),0.007067138
"Age population, age 19, female, interpolated",0.007067138
"Age population, age 20, female, interpolated",0.007067138
Rural population growth (annual %),0.007067138
Forest area (sq. km),0.007067138
GDP per capita (Current US$),0.007067138
"Immunization, DPT (% of children ages 12-23 months)",0.007067138
"Health expenditure, public (% of total health expenditure)",0.007067138
Health expenditure per capita (current US$),0.007067138
"Cost of business start-up procedures, female (% of GNI per capita)",0.007067138
"School enrollment, secondary (gross), gender parity index (GPI)",0.007067138
Female population 80+,0.007067138
"Age population, age 0, female, interpolated",0.007067138
"Age dependency ratio, young",0.007067138
"Age dependency ratio, old",0.007067138
People using safely managed sanitation services (% of population),0.007067138
Proportion of women in ministerial level positions (%),0.007067138
"Expected years of schooling, female",0.007067138
"Population ages 05-09, male (% of male population)",0.007067138
"Employment to population ratio, 15+, male (%) (national estimate)",0.007067138
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.007067138
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.007067138
"Population ages 15-64, male (% of total)",0.007067138
"Population ages 25-29, female (% of female population)",0.007067138
"School enrollment, secondary (% gross)",0.007067138
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",0.007067138
"Mortality rate, infant (per 1,000 live births)",0.007067138
"GNI, Atlas method (current US$)",0.003533569
"Employment in services, male (% of male employment)",0.003533569
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.003533569
"Employment to population ratio, 15+, total (%) (national estimate)",0.003533569
"Employment to population ratio, ages 15-24, female (%) (national estimate)",0.003533569
"Population ages 65-69, male (% of male population)",0.003533569
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.003533569
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.003533569
Female population 75-79,0.003533569
Prevalence of anemia among children (% of children under 5),0.003533569
"PPP conversion factor, GDP (LCU per international $)",0.003533569
"Expected years of schooling, male",0.003533569
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0.003533569
Female population 25-29,0.003533569
Population growth (annual %),0.003533569
Female population 60-64,0.003533569
"Population ages 80 and older, male (% of male population)",0.003533569
"Population ages 45-49, male (% of male population)",0.003533569
"Government expenditure on education, total (% of GDP)",0.003533569
Lifetime risk of maternal death (1 in: rate varies by country),0.003533569
"Access to anti-retroviral drugs, female (%)",0.003533569
"Population ages 15-19, female (% of female population)",0.003533569
"Population ages 10-14, female (% of female population)",0.003533569
"Population ages 00-04, male (% of male population)",0.003533569
Population ages 0-14 (% of total),0.003533569
"Persistence to last grade of primary, total (% of cohort)",0.003533569
Male population 80+,0.003533569
"Maternal mortality ratio (national estimate, per 100,000 live births)",0.003533569
"Mortality rate, adult, male (per 1,000 male adults)",0.003533569
"Mortality rate, under-5 (per 1,000 live births)",0.003533569
"Net ODA provided, total (constant 2015 US$)",0.003533569
"People using basic drinking water services, urban (% of urban population)",0.003533569
Number of infant deaths,0.003533569
People practicing open defecation (% of population),0.003533569
Number of under-five deaths,0.003533569
Out-of-pocket health expenditure (% of total expenditure on health),0.003533569
"Own-account workers, female (% of females employed)",0.003533569
"Lower secondary completion rate, male (% of relevant age group)",0.003533569
"Population ages 15-64, female (% of total)",0.003533569
"Government expenditure per student, primary (% of GDP per capita)",0.003533569
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.003533569
"Population ages 65 and above, male (% of total)",0.003533569
"Gross graduation ratio, tertiary, female (%)",0.003533569
Population ages 65 and above (% of total),0.003533569
"Health expenditure, public (% of government expenditure)",0.003533569
"Health expenditure, total (% of GDP)",0.003533569
"Population ages 50-54, female (% of female population)",0.003533569
"Employment in agriculture, female (% of female employment)",0.003533569
"Immunization, Hib3 (% of children ages 12-23 months)",0.003533569
"Immunization, Pol3 (% of one-year-old children)",0.003533569
"Population ages 40-44, male (% of male population)",0.003533569
"Improved sanitation facilities, rural (% of rural population with access)",0.003533569
"Population ages 35-39, male (% of male population)",0.003533569
"Improved water source, urban (% of urban population with access)",0.003533569
"Labor force participation rate for ages 15-24, female (%) (national estimate)",0.003533569
