,0
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.080694586
"Access to anti-retroviral drugs, female (%)",0.06639428
Age dependency ratio (% of working-age population),0.04800817
AIDS estimated deaths (UNAIDS estimates),0.036772218
"Access to anti-retroviral drugs, male (%)",0.034729317
CO2 emissions (kt),0.02145046
"Age dependency ratio, old",0.02042901
"Population ages 30-34, male (% of male population)",0.014300306
"Population ages 30-34, female (% of female population)",0.014300306
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.013278856
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.013278856
"Age population, age 0, female, interpolated",0.012257406
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.012257406
Years,0.012257406
"Age population, age 0, male, interpolated",0.011235955
"Adjusted net enrollment rate, primary (% of primary school age children)",0.011235955
CO2 emissions (metric tons per capita),0.010214505
Tuberculosis treatment success rate (% of new cases),0.010214505
GDP growth (annual %),0.010214505
GDP per capita (Current US$),0.010214505
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.009193054
Female population 80+,0.009193054
"Population ages 20-24, male (% of male population)",0.009193054
"Population ages 25-29, female (% of female population)",0.009193054
CO2 emissions (kg per PPP $ of GDP),0.009193054
Population growth (annual %),0.009193054
"Age dependency ratio, young",0.008171604
External resources for health (% of total expenditure on health),0.008171604
"Death rate, crude (per 1,000 people)",0.008171604
"Incidence of tuberculosis (per 100,000 people)",0.008171604
"Improved water source, urban (% of urban population with access)",0.008171604
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.008171604
"Health expenditure, public (% of GDP)",0.007150153
"Population, female (% of total)",0.007150153
Urban population growth (annual %),0.006128703
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.006128703
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.006128703
"Population ages 25-29, male (% of male population)",0.006128703
Rural population growth (annual %),0.006128703
"Population ages 55-59, female (% of female population)",0.006128703
"Labor force, total",0.006128703
"Birth rate, crude (per 1,000 people)",0.006128703
"Mortality rate, infant (per 1,000 live births)",0.006128703
"GNI per capita, Atlas method (current US$)",0.006128703
Mobile cellular subscriptions (per 100 people),0.006128703
"Age population, age 14, female, interpolated",0.006128703
"Health expenditure, public (% of government expenditure)",0.0051072524
"School enrollment, primary (% gross)",0.0051072524
"Health expenditure, public (% of total health expenditure)",0.0051072524
