,0
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.43782836
Age dependency ratio (% of working-age population),0.20081729
"Age dependency ratio, old",0.057209574
"Age population, age 0, female, interpolated",0.05020432
"Age dependency ratio, young",0.028021015
"Age population, age 01, female, interpolated",0.016929364
"Age population, age 0, male, interpolated",0.016345592
"Age population, age 03, female, interpolated",0.011091652
"Age population, age 02, female, interpolated",0.00992411
GDP growth (annual %),0.008172796
"Age population, age 13, female, interpolated",0.007005254
Tuberculosis treatment success rate (% of new cases),0.007005254
"Age population, age 03, male, interpolated",0.0064214827
"Age population, age 11, male, interpolated",0.0064214827
"Population ages 35-39, female (% of female population)",0.0064214827
"Age population, age 02, male, interpolated",0.0058377115
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.0058377115
"Age population, age 04, female, interpolated",0.0052539404
"Age population, age 12, female, interpolated",0.0052539404
"Birth rate, crude (per 1,000 people)",0.004670169
"Age population, age 14, male, interpolated",0.004670169
"Age population, age 13, male, interpolated",0.004670169
"Population ages 25-29, male (% of male population)",0.004670169
"Age population, age 12, male, interpolated",0.004670169
Years,0.004670169
"Age population, age 01, male, interpolated",0.004670169
"Age population, age 11, female, interpolated",0.004086398
"Age population, age 10, male, interpolated",0.003502627
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.003502627
"Age population, age 05, female, interpolated",0.0029188558
"Population ages 35-39, male (% of male population)",0.0029188558
"Age population, age 14, female, interpolated",0.0029188558
Sex ratio at birth (male births per female births),0.0029188558
"Age population, age 15, male, interpolated",0.0029188558
Fixed telephone subscriptions (per 100 people),0.0023350846
"Age population, age 17, female, interpolated",0.0017513135
"Population ages 25-29, female (% of female population)",0.0017513135
"Employment to population ratio, 15+, total (%) (national estimate)",0.0017513135
"Age population, age 09, female, interpolated",0.0017513135
"Age population, age 08, female, interpolated",0.0017513135
"Incidence of tuberculosis (per 100,000 people)",0.0017513135
"Age population, age 16, female, interpolated",0.0017513135
"Population ages 10-14, female (% of female population)",0.0011675423
"Age population, age 06, male, interpolated",0.0011675423
CO2 emissions (kg per PPP $ of GDP),0.0011675423
"Age population, age 04, male, interpolated",0.0011675423
"Age population, age 25, male, interpolated",0.0011675423
"Death rate, crude (per 1,000 people)",0.0011675423
"Age population, age 22, female, interpolated",0.0011675423
"Population ages 30-34, female (% of female population)",0.0011675423
"Age population, age 15, female, interpolated",0.0011675423
"Age population, age 09, male, interpolated",0.0011675423
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0011675423
"Age population, age 10, female, interpolated",0.0011675423
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.0011675423
"Age population, age 18, female, interpolated",0.0011675423
Female population 25-29,0.0011675423
External resources for health (% of total expenditure on health),0.00058377115
"Employment to population ratio, ages 15-24, female (%) (national estimate)",0.00058377115
"Labor force, female (% of total labor force)",0.00058377115
Female population 20-24,0.00058377115
Male population 15-19,0.00058377115
Net ODA received per capita (current US$),0.00058377115
Female population 70-74,0.00058377115
"Fertility rate, total (births per woman)",0.00058377115
GDP per person employed (constant 2011 PPP $),0.00058377115
Male population 70-74,0.00058377115
"Age population, age 05, male, interpolated",0.00058377115
"Health expenditure, private (% of total health expenditure)",0.00058377115
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.00058377115
Female population 00-04,0.00058377115
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.00058377115
"Age population, age 07, female, interpolated",0.00058377115
"Age population, age 16, male, interpolated",0.00058377115
"Age population, age 17, male, interpolated",0.00058377115
"Age population, age 18, male, interpolated",0.00058377115
"Population ages 05-09, female (% of female population)",0.00058377115
"Age population, age 20, male, interpolated",0.00058377115
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.00058377115
"Age population, age 21, female, interpolated",0.00058377115
"Age population, age 23, female, interpolated",0.00058377115
"Age population, age 23, male, interpolated",0.00058377115
"Age population, age 24, female, interpolated",0.00058377115
"Age population, age 25, female, interpolated",0.00058377115
"Labor force participation rate for ages 15-24, female (%) (national estimate)",0.00058377115
"Cost of business start-up procedures, female (% of GNI per capita)",0.00058377115
"Employment to population ratio, 15+, female (%) (national estimate)",0.00058377115
