,0
GDP growth (annual %),0.02609506
"Inflation, consumer prices (annual %)",0.022367194
Net ODA received per capita (current US$),0.020503262
"Birth rate, crude (per 1,000 people)",0.020503262
"Access to anti-retroviral drugs, female (%)",0.017707363
"Death rate, crude (per 1,000 people)",0.017707363
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.016775396
"Cost of business start-up procedures, female (% of GNI per capita)",0.016775396
"Population ages 20-24, female (% of female population)",0.01584343
"Tuberculosis case detection rate (%, all forms)",0.01584343
"Health expenditure, private (% of total health expenditure)",0.01584343
CO2 emissions (kg per PPP $ of GDP),0.0149114635
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.0149114635
Proportion of women in ministerial level positions (%),0.0149114635
AIDS estimated deaths (UNAIDS estimates),0.0149114635
"Health expenditure, public (% of GDP)",0.0149114635
"Access to anti-retroviral drugs, male (%)",0.0149114635
"Age dependency ratio, old",0.01304753
CO2 emissions (kt),0.012115564
"PPP conversion factor, GDP (LCU per international $)",0.012115564
Out-of-pocket health expenditure (% of private expenditure on health),0.012115564
Improved water source (% of population with access),0.011183597
External resources for health (% of total expenditure on health),0.011183597
"Health expenditure, public (% of total health expenditure)",0.010251631
Health expenditure per capita (current US$),0.010251631
Gross capital formation (% of GDP),0.010251631
Net ODA received (% of GNI),0.010251631
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.010251631
"Population ages 10-14, female (% of female population)",0.009319665
"Population ages 00-04, female (% of female population)",0.009319665
"PPP conversion factor, private consumption (LCU per international $)",0.009319665
CO2 emissions (metric tons per capita),0.009319665
Age dependency ratio (% of working-age population),0.009319665
"Survival to age 65, female (% of cohort)",0.009319665
Urban population growth (annual %),0.008387698
Vitamin A supplementation coverage rate (% of children ages 6-59 months),0.008387698
"Health expenditure, public (% of government expenditure)",0.008387698
Mobile cellular subscriptions (per 100 people),0.008387698
Fixed telephone subscriptions (per 100 people),0.008387698
Net official development assistance and official aid received (current US$),0.008387698
"Population ages 50-54, male (% of male population)",0.008387698
"Population ages 25-29, female (% of female population)",0.008387698
Internet users (per 100 people),0.008387698
"Health expenditure, private (% of GDP)",0.0074557317
"Labor force, female (% of total labor force)",0.0074557317
"Population ages 05-09, female (% of female population)",0.0074557317
People practicing open defecation (% of population),0.0074557317
"Tuberculosis death rate (per 100,000 people)",0.0074557317
Proportion of seats held by women in national parliaments (%),0.0074557317
"Population ages 45-49, female (% of female population)",0.0074557317
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.006523765
"Mortality rate, infant (per 1,000 live births)",0.006523765
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.006523765
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.006523765
"Health expenditure, total (% of GDP)",0.006523765
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.006523765
GDP per capita (Current US$),0.006523765
"Population ages 15-19, female (% of female population)",0.006523765
Tuberculosis treatment success rate (% of new cases),0.0055917986
"Population ages 60-64, female (% of female population)",0.0055917986
Malaria cases reported,0.0055917986
"Improved water source, urban (% of urban population with access)",0.0055917986
"Improved water source, rural (% of rural population with access)",0.0055917986
"Population ages 65-69, female (% of female population)",0.0055917986
"Population ages 50-54, female (% of female population)",0.0055917986
"Population ages 55-59, male (% of male population)",0.0055917986
"Improved sanitation facilities, urban (% of urban population with access)",0.0055917986
"Immunization, Hib3 (% of children ages 12-23 months)",0.0055917986
"People using basic sanitation services, urban  (% of urban population)",0.0055917986
"People practicing open defecation, urban (% of urban population)",0.0055917986
Adults (ages 15+) newly infected with HIV,0.0046598325
Improved sanitation facilities (% of population with access),0.0046598325
"Primary completion rate, female (% of relevant age group)",0.0046598325
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.0046598325
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.0046598325
Forest area (% of land area),0.0046598325
"Population ages 20-24, male (% of male population)",0.0046598325
"GNI, Atlas method (current US$)",0.0046598325
"Population ages10-14, male (% of male population)",0.0046598325
Children orphaned by HIV/AIDS,0.0046598325
"Mortality rate, neonatal (per 1,000 live births)",0.0046598325
"Population, female (% of total)",0.0046598325
GDP per person employed (constant 2011 PPP $),0.0037278659
"Population ages 15-19, male (% of male population)",0.0037278659
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.0037278659
"Population ages 35-39, female (% of female population)",0.0037278659
"Population ages 40-44, female (% of female population)",0.0037278659
"Health expenditure per capita, PPP",0.0037278659
"People using basic drinking water services, urban (% of urban population)",0.0037278659
"Immunization, measles (% of children ages 12-23 months)",0.0037278659
"Population ages 55-59, female (% of female population)",0.0037278659
"Prevalence of HIV, total (% of population ages 15-49)",0.0037278659
Newborns protected against tetanus (%),0.0037278659
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.0037278659
Prevalence of anemia among pregnant women (%),0.0037278659
Population growth (annual %),0.0037278659
"Primary education, teachers (% female)",0.0037278659
"Prevalence of HIV, female (% ages 15-24)",0.0037278659
"Lower secondary completion rate, male (% of relevant age group)",0.0037278659
"Primary education, pupils (% female)",0.0027958993
Prevalence of anemia among children (% of children under 5),0.0027958993
Women's share of population ages 15+ living with HIV (%),0.0027958993
"Population ages 30-34, female (% of female population)",0.0027958993
"Mortality rate, adult, female (per 1,000 female adults)",0.0027958993
"Unemployment, female (% of female labor force)",0.0027958993
People using basic sanitation services (% of population),0.0027958993
"Incidence of tuberculosis (per 100,000 people)",0.0027958993
"People using basic drinking water services, rural (% of rural population)",0.0027958993
Incidence of HIV (% of uninfected population ages 15-49),0.0027958993
Sex ratio at birth (male births per female births),0.0027958993
"GNI per capita, Atlas method (current US$)",0.0027958993
"Immunization, BCG (% of one-year-old children)",0.0027958993
"Immunization, DPT (% of children ages 12-23 months)",0.0027958993
"Population ages 45-49, male (% of male population)",0.0027958993
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.0027958993
"Population ages 60-64, male (% of male population)",0.0027958993
"Population ages 75-79, male (% of male population)",0.0027958993
Trade (% of GDP),0.0027958993
Years,0.0027958993
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.0027958993
"Adjusted net enrollment rate, primary (% of primary school age children)",0.0027958993
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.0027958993
"Fertility rate, total (births per woman)",0.0027958993
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0027958993
"GNI per capita, PPP (current international $)",0.0018639329
"Population ages 15-64, male (% of total)",0.0018639329
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.0018639329
"Time required to start a business, female (days)",0.0018639329
Lifetime risk of maternal death (%),0.0018639329
"Lower secondary completion rate, female (% of relevant age group)",0.0018639329
"Survival to age 65, male (% of cohort)",0.0018639329
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.0018639329
"Mortality rate, adult, male (per 1,000 male adults)",0.0018639329
Male population 80+,0.0018639329
Adults (ages 15+) living with HIV,0.0018639329
Children (0-14) living with HIV,0.0018639329
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.0018639329
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.0018639329
"Prevalence of overweight, female (% of female adults)",0.0018639329
"Primary completion rate, male (% of relevant age group)",0.0018639329
