,0
AIDS estimated deaths (UNAIDS estimates),0.26558265
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.15447155
"Access to anti-retroviral drugs, female (%)",0.08401084
Age dependency ratio (% of working-age population),0.03794038
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.024390243
"Adjusted net enrollment rate, primary (% of primary school age children)",0.021680217
"Children out of school, primary, female",0.01897019
CO2 emissions (kt),0.013550135
Adults (ages 15+) and children (0-14 years) living with HIV,0.013550135
External resources for health (% of total expenditure on health),0.013550135
"Age dependency ratio, old",0.010840109
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.010840109
CO2 emissions (kg per PPP $ of GDP),0.010840109
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.010840109
"Age dependency ratio, young",0.008130081
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.008130081
CO2 emissions (metric tons per capita),0.008130081
"Contributing family workers, total (% of total employment)",0.008130081
"Immunization, Hib3 (% of children ages 12-23 months)",0.008130081
"Expected years of schooling, female",0.008130081
"Age population, age 0, female, interpolated",0.008130081
Proportion of women in ministerial level positions (%),0.008130081
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.008130081
"Age population, age 11, female, interpolated",0.0054200543
"Access to anti-retroviral drugs, male (%)",0.0054200543
"Cost of business start-up procedures, female (% of GNI per capita)",0.0054200543
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.0054200543
"Lower secondary completion rate, male (% of relevant age group)",0.0054200543
"Health expenditure, private (% of GDP)",0.0054200543
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0054200543
"School enrollment, primary (% gross)",0.0054200543
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.0054200543
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.0054200543
Adults (ages 15+) newly infected with HIV,0.0054200543
"People using basic drinking water services, urban (% of urban population)",0.0054200543
"Age population, age 04, female, interpolated",0.0054200543
"Population ages 65-69, female (% of female population)",0.0054200543
"Age population, age 10, female, interpolated",0.0054200543
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.0054200543
Internet users (per 100 people),0.0054200543
"Age population, age 08, female, interpolated",0.0054200543
Forest area (% of land area),0.0054200543
GDP growth (annual %),0.0054200543
Fixed telephone subscriptions (per 100 people),0.0054200543
"Inflation, consumer prices (annual %)",0.0054200543
"Death rate, crude (per 1,000 people)",0.0027100272
GDP per capita (Current US$),0.0027100272
"Health expenditure, private (% of total health expenditure)",0.0027100272
"School enrollment, secondary, male (% gross)",0.0027100272
"Health expenditure, public (% of GDP)",0.0027100272
"Health expenditure, total (current US$)",0.0027100272
"Health expenditure, public (% of government expenditure)",0.0027100272
Malaria cases reported,0.0027100272
"Primary completion rate, female (% of relevant age group)",0.0027100272
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.0027100272
"Employment to population ratio, 15+, female (%) (national estimate)",0.0027100272
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.0027100272
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0027100272
Rural population growth (annual %),0.0027100272
"Incidence of tuberculosis (per 100,000 people)",0.0027100272
"Prevalence of obesity, female (% of female population ages 18+)",0.0027100272
"Labor force, female (% of total labor force)",0.0027100272
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.0027100272
Female population 50-54,0.0027100272
"Government expenditure per student, primary (% of GDP per capita)",0.0027100272
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.0027100272
"Immunization, HepB3 (% of one-year-old children)",0.0027100272
"Population ages 05-09, female (% of female population)",0.0027100272
"Age population, age 16, female, interpolated",0.0027100272
"Age population, age 20, female, interpolated",0.0027100272
"Age population, age 13, female, interpolated",0.0027100272
"Population ages 00-04, male (% of male population)",0.0027100272
"Age population, age 21, female, interpolated",0.0027100272
"Persistence to grade 5, female (% of cohort)",0.0027100272
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.0027100272
"Physicians (per 1,000 people)",0.0027100272
"Age population, age 22, female, interpolated",0.0027100272
Out-of-pocket health expenditure (% of private expenditure on health),0.0027100272
Net ODA received (% of GNI),0.0027100272
"Age population, age 23, female, interpolated",0.0027100272
"Age population, age 02, female, interpolated",0.0027100272
"PPP conversion factor, private consumption (LCU per international $)",0.0027100272
"Age population, age 19, female, interpolated",0.0027100272
"People practicing open defecation, rural (% of rural population)",0.0027100272
Mobile cellular subscriptions (per 100 people),0.0027100272
"Age population, age 24, male, interpolated",0.0027100272
"People practicing open defecation, urban (% of urban population)",0.0027100272
"Age population, age 15, female, interpolated",0.0027100272
