,0
"Birth rate, crude (per 1,000 people)",0.24193548
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.074193545
CO2 emissions (kt),0.074193545
"Age at first marriage, female",0.058064517
Age dependency ratio (% of working-age population),0.05483871
CO2 emissions (kg per PPP $ of GDP),0.045161292
"Death rate, crude (per 1,000 people)",0.038709678
"Fertility rate, total (births per woman)",0.038709678
GDP per capita (Current US$),0.032258064
Fixed telephone subscriptions (per 100 people),0.029032258
"Incidence of tuberculosis (per 100,000 people)",0.025806451
"Age dependency ratio, old",0.022580646
CO2 emissions (metric tons per capita),0.019354839
Mobile cellular subscriptions (per 100 people),0.016129032
GDP (current US$),0.016129032
GDP growth (annual %),0.016129032
Gross capital formation (% of GDP),0.016129032
Internet users (per 100 people),0.012903226
Population growth (annual %),0.012903226
"Age dependency ratio, young",0.009677419
"Public spending on education, total (% of GDP)",0.006451613
"School enrollment, primary (% gross)",0.006451613
"Age at first marriage, male",0.006451613
"Age population, age 0, female, interpolated",0.006451613
Urban population growth (annual %),0.006451613
"Expected years of schooling, female",0.006451613
Forest area (sq. km),0.006451613
Trade (% of GDP),0.006451613
"School enrollment, tertiary (gross), gender parity index (GPI)",0.006451613
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),0.006451613
Rural population growth (annual %),0.006451613
"Primary completion rate, total (% of relevant age group)",0.006451613
Rural population,0.006451613
"PPP conversion factor, GDP (LCU per international $)",0.006451613
Urban population (% of total),0.0032258064
"Population, total",0.0032258064
"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",0.0032258064
"People using basic sanitation services, urban  (% of urban population)",0.0032258064
Country_code,0.0032258064
"Expected years of schooling, male",0.0032258064
"People using basic drinking water services, urban (% of urban population)",0.0032258064
"Secondary education, pupils (% female)",0.0032258064
"Unemployment with advanced education, female (% of female labor force with advanced education)",0.0032258064
"Tuberculosis death rate (per 100,000 people), including HIV",0.0032258064
"Primary education, pupils (% female)",0.0032258064
"Secondary education, teachers (% female)",0.0032258064
"Bilateral, sector-allocable ODA to basic social services (current US$)",0.0032258064
Years,0.0032258064
"Age population, age 20, female, interpolated",0.0032258064
"Age population, age 05, female, interpolated",0.0032258064
"Age population, age 13, female, interpolated",0.0032258064
