,0
GDP growth (annual %),0.01600674
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.01095198
"School enrollment, tertiary (% gross)",0.00926706
"Employers, female (% of female employment)",0.00926706
Female share of employment in senior and middle management (%),0.00926706
Mobile cellular subscriptions (per 100 people),0.0084246
"Time-related underemployment, female (% of employment)",0.0084246
"Primary completion rate, female (% of relevant age group)",0.0084246
CO2 emissions (kg per PPP $ of GDP),0.0084246
"Population ages 35-39, male (% of male population)",0.0084246
Lifetime risk of maternal death (%),0.0084246
"Access to anti-retroviral drugs, female (%)",0.0084246
Gross capital formation (% of GDP),0.0084246
"Gross graduation ratio, tertiary, female (%)",0.0084246
"Adjusted net enrollment rate, primary (% of primary school age children)",0.0084246
"School enrollment, secondary (% net)",0.0075821397
"Expected years of schooling, female",0.0075821397
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.0075821397
"School enrollment, tertiary, female (% gross)",0.0075821397
"Population ages 25-29, female (% of female population)",0.0075821397
"Population ages 25-29, male (% of male population)",0.0075821397
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.0075821397
Proportion of women in ministerial level positions (%),0.0075821397
"Lower secondary completion rate, female (% of relevant age group)",0.0075821397
GDP per capita (Current US$),0.0067396797
"Immunization, Hib3 (% of children ages 12-23 months)",0.0067396797
"Primary completion rate, male (% of relevant age group)",0.0067396797
"Population ages 40-44, female (% of female population)",0.0067396797
"Birth rate, crude (per 1,000 people)",0.0067396797
"Population ages 60-64, female (% of female population)",0.0067396797
"Population ages 45-49, female (% of female population)",0.0067396797
"Government expenditure per student, primary (% of GDP per capita)",0.0067396797
"Employment to population ratio, 15+, female (%) (national estimate)",0.0067396797
"Physicians (per 1,000 people)",0.0067396797
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.0067396797
"Inflation, consumer prices (annual %)",0.0067396797
"Unemployment with advanced education, male (% of male labor force with advanced education)",0.0067396797
Trade (% of GDP),0.0067396797
Income share held by lowest 20%,0.0058972198
"Population ages 30-34, male (% of male population)",0.0058972198
"Population ages 30-34, female (% of female population)",0.0058972198
"School enrollment, primary (% gross)",0.0058972198
Average tariffs imposed by developed countries on agricultural products from developing countries (%),0.0058972198
"Employment in services, female (% of female employment)",0.0058972198
"Educational attainment, completed lower secondary, population 25+ years, female (%)",0.0058972198
"Population ages 45-49, male (% of male population)",0.0058972198
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.0058972198
"Prevalence of obesity, male (% of male population ages 18+)",0.0058972198
Age dependency ratio (% of working-age population),0.0058972198
"Contributing family workers, female (% of female employment)",0.0058972198
"Gross graduation ratio, tertiary, male (%)",0.0058972198
"Unemployment with advanced education, female (% of female labor force with advanced education)",0.0058972198
