,0
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.16360734
Age dependency ratio (% of working-age population),0.16041501
"Age dependency ratio, old",0.08220271
"Adjusted net enrollment rate, primary (% of primary school age children)",0.07102953
"Age population, age 0, female, interpolated",0.04309657
"Age dependency ratio, young",0.030327214
"Age population, age 0, male, interpolated",0.019952115
CO2 emissions (metric tons per capita),0.015163607
Fixed telephone subscriptions (per 100 people),0.011173184
Female population 80+,0.011173184
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.0103751
"Age population, age 12, female, interpolated",0.009577015
"Population ages 65 and above, female (% of total)",0.007980846
"Age population, age 01, female, interpolated",0.007980846
"Age population, age 04, female, interpolated",0.007980846
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.007980846
CO2 emissions (kt),0.0071827616
GDP growth (annual %),0.0071827616
"Age population, age 11, female, interpolated",0.0071827616
"Age population, age 09, female, interpolated",0.0071827616
"Population ages 15-19, female (% of female population)",0.0071827616
Sex ratio at birth (male births per female births),0.0071827616
Tuberculosis treatment success rate (% of new cases),0.0071827616
"Age population, age 08, male, interpolated",0.006384677
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.006384677
"Age population, age 09, male, interpolated",0.005586592
"Birth rate, crude (per 1,000 people)",0.005586592
Urban population growth (annual %),0.005586592
"Age population, age 03, female, interpolated",0.005586592
"Cost of business start-up procedures, female (% of GNI per capita)",0.005586592
"Age population, age 13, female, interpolated",0.005586592
Health expenditure per capita (current US$),0.005586592
"Incidence of tuberculosis (per 100,000 people)",0.005586592
External resources for health (% of total expenditure on health),0.0047885077
"Age population, age 01, male, interpolated",0.0047885077
"Age population, age 02, male, interpolated",0.0047885077
"Age population, age 06, female, interpolated",0.0047885077
"Population ages 25-29, male (% of male population)",0.0047885077
"Age population, age 10, female, interpolated",0.0047885077
People using basic sanitation services (% of population),0.003990423
"Population ages 70-74, female (% of female population)",0.003990423
"Age population, age 04, male, interpolated",0.003990423
"Inflation, consumer prices (annual %)",0.003990423
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.003990423
GDP (current US$),0.003990423
"Age population, age 02, female, interpolated",0.003990423
"Population ages 75-79, male (% of male population)",0.003990423
"Death rate, crude (per 1,000 people)",0.0031923384
Population growth (annual %),0.0031923384
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.0031923384
"Population ages 30-34, male (% of male population)",0.0031923384
Female population 75-79,0.0031923384
GDP per capita (Current US$),0.0031923384
