,0
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.04713231
"Access to anti-retroviral drugs, female (%)",0.045428734
"Access to anti-retroviral drugs, male (%)",0.036342986
AIDS estimated deaths (UNAIDS estimates),0.025553662
"Inflation, consumer prices (annual %)",0.017603634
"Adjusted net enrollment rate, primary (% of primary school age children)",0.013060761
Internet users (per 100 people),0.011357184
"Age dependency ratio, old",0.0107893245
"Age dependency ratio, young",0.0107893245
CO2 emissions (kg per PPP $ of GDP),0.0102214655
"Death rate, crude (per 1,000 people)",0.0096536055
"Health expenditure, public (% of government expenditure)",0.0096536055
"Birth rate, crude (per 1,000 people)",0.0090857465
Net ODA received per capita (current US$),0.0090857465
GDP growth (annual %),0.0090857465
Antiretroviral therapy coverage (% of people living with HIV),0.008517887
"People practicing open defecation, urban (% of urban population)",0.007950028
Children orphaned by HIV/AIDS,0.0073821694
Age dependency ratio (% of working-age population),0.0073821694
External resources for health (% of total expenditure on health),0.0073821694
"Population ages 30-34, female (% of female population)",0.0073821694
Out-of-pocket health expenditure (% of private expenditure on health),0.0073821694
"Cost of business start-up procedures, female (% of GNI per capita)",0.00681431
Tuberculosis treatment success rate (% of new cases),0.00681431
Mobile cellular subscriptions (per 100 people),0.00681431
"Primary education, pupils (% female)",0.006246451
"Improved water source, rural (% of rural population with access)",0.006246451
"Health expenditure, public (% of total health expenditure)",0.006246451
Lifetime risk of maternal death (%),0.005678592
"School enrollment, secondary (% gross)",0.005678592
Adults (ages 15+) and children (0-14 years) living with HIV,0.005678592
"Survival to age 65, male (% of cohort)",0.005678592
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.005678592
"Health expenditure, total (% of GDP)",0.005678592
"Health expenditure, public (% of GDP)",0.005678592
"Immunization, Pol3 (% of one-year-old children)",0.005678592
"Immunization, DPT (% of children ages 12-23 months)",0.005678592
People using safely managed sanitation services (% of population),0.005678592
Forest area (sq. km),0.0051107327
"Population ages 35-39, female (% of female population)",0.0051107327
"Time required to start a business, female (days)",0.0051107327
Gross capital formation (% of GDP),0.0051107327
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.0051107327
Income share held by lowest 20%,0.0051107327
Improved sanitation facilities (% of population with access),0.0051107327
"PPP conversion factor, private consumption (LCU per international $)",0.0051107327
"Improved water source, urban (% of urban population with access)",0.0051107327
CO2 emissions (metric tons per capita),0.0051107327
Net official development assistance and official aid received (current US$),0.0045428732
"School enrollment, secondary, male (% gross)",0.0045428732
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.0045428732
"Improved sanitation facilities, rural (% of rural population with access)",0.0045428732
"School enrollment, primary (gross), gender parity index (GPI)",0.0045428732
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.0045428732
"Immunization, measles (% of children ages 12-23 months)",0.0045428732
Net ODA received (% of GNI),0.0045428732
"Contributing family workers, male (% of male employment)",0.0045428732
"Unemployment, female (% of female labor force)",0.0045428732
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.0045428732
Births attended by skilled health staff (% of total),0.003975014
Proportion of women in ministerial level positions (%),0.003975014
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.003975014
GDP per person employed (constant 2011 PPP $),0.003975014
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.003975014
"Children out of school, primary, male",0.003975014
"Mortality rate, adult, female (per 1,000 female adults)",0.003975014
Forest area (% of land area),0.003975014
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),0.003975014
"Population ages 30-34, male (% of male population)",0.003975014
"People using safely managed sanitation services, urban  (% of urban population)",0.003975014
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.003975014
"Population ages 20-24, female (% of female population)",0.003975014
Trade (% of GDP),0.003975014
"PPP conversion factor, GDP (LCU per international $)",0.003975014
