,0
Age dependency ratio (% of working-age population),0.050847456
"Death rate, crude (per 1,000 people)",0.033898305
"Inflation, consumer prices (annual %)",0.029661017
Internet users (per 100 people),0.029661017
GDP per person employed (constant 2011 PPP $),0.029661017
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.025423728
GDP per capita (Current US$),0.025423728
"Tuberculosis case detection rate (%, all forms)",0.021186441
People using basic drinking water services (% of population),0.021186441
Fixed telephone subscriptions (per 100 people),0.021186441
"Birth rate, crude (per 1,000 people)",0.016949153
"Age dependency ratio, young",0.016949153
Mobile cellular subscriptions (per 100 people),0.016949153
"Population ages 25-29, female (% of female population)",0.016949153
"Health expenditure, private (% of total health expenditure)",0.016949153
"Age dependency ratio, old",0.016949153
Health expenditure per capita (current US$),0.012711864
"Immunization, BCG (% of one-year-old children)",0.012711864
"Immunization, measles (% of children ages 12-23 months)",0.012711864
"GNI per capita, PPP (current international $)",0.012711864
"Improved sanitation facilities, urban (% of urban population with access)",0.012711864
CO2 emissions (kg per PPP $ of GDP),0.012711864
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.012711864
Tuberculosis treatment success rate (% of new cases),0.012711864
Prevalence of anemia among children (% of children under 5),0.012711864
Newborns protected against tetanus (%),0.012711864
"Survival to age 65, female (% of cohort)",0.012711864
People using basic sanitation services (% of population),0.012711864
"People using safely managed drinking water services, urban (% of urban population)",0.012711864
Children (0-14) living with HIV,0.008474576
CO2 emissions (kt),0.008474576
GDP growth (annual %),0.008474576
"Health expenditure, public (% of GDP)",0.008474576
"GNI, Atlas method (current US$)",0.008474576
Forest area (% of land area),0.008474576
Children orphaned by HIV/AIDS,0.008474576
CO2 emissions (metric tons per capita),0.008474576
AIDS estimated deaths (UNAIDS estimates),0.008474576
"Health expenditure, public (% of government expenditure)",0.008474576
"Health expenditure, total (% of GDP)",0.008474576
"Immunization, HepB3 (% of one-year-old children)",0.008474576
Improved sanitation facilities (% of population with access),0.008474576
"Mortality rate, adult, female (per 1,000 female adults)",0.008474576
"PPP conversion factor, GDP (LCU per international $)",0.008474576
"People using basic drinking water services, urban (% of urban population)",0.008474576
"Population ages 30-34, male (% of male population)",0.008474576
"Population ages 60-64, female (% of female population)",0.008474576
"Population ages 70-74, female (% of female population)",0.008474576
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.008474576
"School enrollment, primary (% gross)",0.008474576
"Survival to age 65, male (% of cohort)",0.008474576
"Unemployment, male (% of male labor force)",0.008474576
"Vulnerable employment, total (% of total employment)",0.008474576
"Access to anti-retroviral drugs, female (%)",0.008474576
Years,0.008474576
"Access to anti-retroviral drugs, male (%)",0.008474576
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.004237288
"Primary education, pupils (% female)",0.004237288
Forest area (sq. km),0.004237288
Trade (% of GDP),0.004237288
"Total debt service (% of exports of goods, services and primary income)",0.004237288
Female population 75-79,0.004237288
"Physicians (per 1,000 people)",0.004237288
"Population ages 65-69, male (% of male population)",0.004237288
"Population ages 65-69, female (% of female population)",0.004237288
Adults (ages 15+) and children (0-14 years) living with HIV,0.004237288
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.004237288
"Population ages 00-04, male (% of male population)",0.004237288
"Improved sanitation facilities, rural (% of rural population with access)",0.004237288
Sex ratio at birth (male births per female births),0.004237288
Population ages 65 and above (% of total),0.004237288
"Cost of business start-up procedures, female (% of GNI per capita)",0.004237288
Malaria cases reported,0.004237288
"Incidence of tuberculosis (per 100,000 people)",0.004237288
"Population ages 55-59, female (% of female population)",0.004237288
"School enrollment, secondary (% net)",0.004237288
"Expected years of schooling, male",0.004237288
"Literacy rate, adult female (% of females ages 15 and above)",0.004237288
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.004237288
"Population ages 20-24, male (% of male population)",0.004237288
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.004237288
"Population ages 25-29, male (% of male population)",0.004237288
"Population ages 30-34, female (% of female population)",0.004237288
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.004237288
"Prevalence of obesity, female (% of female population ages 18+)",0.004237288
"Population ages 35-39, male (% of male population)",0.004237288
Out-of-pocket health expenditure (% of total expenditure on health),0.004237288
"Children out of school, primary, male",0.004237288
"Prevalence of HIV, female (% ages 15-24)",0.004237288
"PPP conversion factor, private consumption (LCU per international $)",0.004237288
People practicing open defecation (% of population),0.004237288
Urban population growth (annual %),0.004237288
People using safely managed drinking water services (% of population),0.004237288
"Health expenditure, private (% of GDP)",0.004237288
"GNI per capita, Atlas method (current US$)",0.004237288
Net ODA received (% of GNI),0.004237288
"Unemployment, total (% of total labor force)",0.004237288
"Children out of school, primary, female",0.004237288
Antiretroviral therapy coverage (% of people living with HIV),0.004237288
"Mortality rate, infant (per 1,000 live births)",0.004237288
"Unemployment, female (% of female labor force)",0.004237288
"People using basic sanitation services, urban  (% of urban population)",0.004237288
Gross capital formation (% of GDP),0.004237288
"Age population, age 05, female, interpolated",0.004237288
"Age population, age 03, female, interpolated",0.004237288
Out-of-pocket health expenditure (% of private expenditure on health),0.004237288
"Health expenditure, public (% of total health expenditure)",0.004237288
