,0
AIDS estimated deaths (UNAIDS estimates),0.113597244
"Access to anti-retroviral drugs, female (%)",0.08864027
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.042168673
"Access to anti-retroviral drugs, male (%)",0.032702237
Adults (ages 15+) and children (0-14 years) living with HIV,0.022375215
"Adjusted net enrollment rate, primary (% of primary school age children)",0.020654045
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.018932875
"Age dependency ratio, old",0.018072288
CO2 emissions (kg per PPP $ of GDP),0.017211704
GDP growth (annual %),0.015490534
Age dependency ratio (% of working-age population),0.015490534
External resources for health (% of total expenditure on health),0.012908778
"Age population, age 0, female, interpolated",0.012908778
"Inflation, consumer prices (annual %)",0.011187607
CO2 emissions (kt),0.0103270225
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.0103270225
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.009466438
Children orphaned by HIV/AIDS,0.008605852
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.008605852
"Mortality rate, infant (per 1,000 live births)",0.008605852
Adults (ages 15+) newly infected with HIV,0.008605852
"Death rate, crude (per 1,000 people)",0.008605852
"Health expenditure, public (% of GDP)",0.007745267
"Tuberculosis case detection rate (%, all forms)",0.007745267
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.007745267
"School enrollment, primary (% gross)",0.0068846815
Vitamin A supplementation coverage rate (% of children ages 6-59 months),0.0068846815
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.0068846815
"Health expenditure, private (% of total health expenditure)",0.0068846815
"Birth rate, crude (per 1,000 people)",0.0068846815
Children (ages 0-14) newly infected with HIV,0.006024096
"Health expenditure, public (% of government expenditure)",0.006024096
Fixed telephone subscriptions (per 100 people),0.006024096
"Immunization, Hib3 (% of children ages 12-23 months)",0.006024096
Net ODA received per capita (current US$),0.006024096
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.006024096
Proportion of women in ministerial level positions (%),0.0051635113
Malaria cases reported,0.0051635113
"Immunization, HepB3 (% of one-year-old children)",0.0051635113
Tuberculosis treatment success rate (% of new cases),0.0051635113
Net official development assistance and official aid received (current US$),0.0051635113
CO2 emissions (metric tons per capita),0.0051635113
Improved water source (% of population with access),0.0051635113
"Health expenditure, total (% of GDP)",0.0051635113
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.0051635113
Gross capital formation (% of GDP),0.0051635113
"Age population, age 23, female, interpolated",0.004302926
"Age population, age 20, male, interpolated",0.004302926
Adults (ages 15+) living with HIV,0.004302926
Internet users (per 100 people),0.004302926
"Lower secondary completion rate, female (% of relevant age group)",0.004302926
"Age dependency ratio, young",0.004302926
"Health expenditure per capita, PPP",0.004302926
Proportion of seats held by women in national parliaments (%),0.004302926
Antiretroviral therapy coverage (% of people living with HIV),0.004302926
"Labor force, female (% of total labor force)",0.004302926
"Prevalence of HIV, male (% ages 15-24)",0.004302926
Out-of-pocket health expenditure (% of private expenditure on health),0.004302926
Female population 45-49,0.004302926
"People using basic drinking water services, rural (% of rural population)",0.004302926
"Population ages 20-24, female (% of female population)",0.004302926
"Cost of business start-up procedures, female (% of GNI per capita)",0.0034423408
"Primary education, pupils (% female)",0.0034423408
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.0034423408
"Prevalence of obesity, female (% of female population ages 18+)",0.0034423408
"PPP conversion factor, GDP (LCU per international $)",0.0034423408
"Primary education, teachers (% female)",0.0034423408
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.0034423408
Net ODA received (% of GNI),0.0034423408
"Government expenditure on education, total (% of GDP)",0.0034423408
Trade (% of GDP),0.0034423408
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.0034423408
"Age population, age 0, male, interpolated",0.0034423408
"Unemployment, total (% of total labor force)",0.0034423408
"Age population, age 14, male, interpolated",0.0034423408
"Age population, age 07, female, interpolated",0.0025817556
Forest area (sq. km),0.0025817556
Rural population growth (annual %),0.0025817556
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.0025817556
Newborns protected against tetanus (%),0.0025817556
Female population 65-69,0.0025817556
"Unemployment, female (% of female labor force) (modeled ILO estimate)",0.0025817556
Female population 50-54,0.0025817556
"Net intake rate in grade 1, male (% of official school-age population)",0.0025817556
"Population ages 75-79, female (% of female population)",0.0025817556
"PPP conversion factor, private consumption (LCU per international $)",0.0025817556
Incidence of HIV (% of uninfected population ages 15-49),0.0025817556
"Age population, age 01, female, interpolated",0.0025817556
"Population ages 25-29, male (% of male population)",0.0025817556
"Immunization, BCG (% of one-year-old children)",0.0025817556
"School enrollment, primary (gross), gender parity index (GPI)",0.0025817556
"Children out of school, primary, male",0.0025817556
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.0025817556
"School enrollment, primary, male (% gross)",0.0025817556
Health expenditure per capita (current US$),0.0025817556
"Age population, age 22, female, interpolated",0.0025817556
"Cost of business start-up procedures, male (% of GNI per capita)",0.0025817556
Children (0-14) living with HIV,0.0025817556
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0025817556
"Age population, age 24, female, interpolated",0.0025817556
"Health expenditure, public (% of total health expenditure)",0.0025817556
GDP per person employed (constant 2011 PPP $),0.0025817556
"Time required to start a business, female (days)",0.0025817556
"Population ages 20-24, male (% of male population)",0.0017211704
"Improved water source, urban (% of urban population with access)",0.0017211704
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0017211704
"Population ages 00-04, male (% of male population)",0.0017211704
"Population ages 00-04, female (% of female population)",0.0017211704
"Persistence to last grade of primary, total (% of cohort)",0.0017211704
"Mortality rate, adult, male (per 1,000 male adults)",0.0017211704
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.0017211704
"GNI per capita, PPP (current international $)",0.0017211704
"Improved water source, rural (% of rural population with access)",0.0017211704
Female population 40-44,0.0017211704
GDP (current US$),0.0017211704
"Health expenditure per capita, PPP (constant 2011 international $)",0.0017211704
Mobile cellular subscriptions (per 100 people),0.0017211704
Number of maternal deaths,0.0017211704
"Improved sanitation facilities, urban (% of urban population with access)",0.0017211704
"Improved sanitation facilities, rural (% of rural population with access)",0.0017211704
"Fertility rate, total (births per woman)",0.0017211704
"Immunization, measles (% of children ages 12-23 months)",0.0017211704
Male population 50-54,0.0017211704
Lifetime risk of maternal death (%),0.0017211704
"Population ages 25-29, female (% of female population)",0.0017211704
"Population, male (% of total)",0.0017211704
"Prevalence of overweight, female (% of female adults)",0.0017211704
"Population ages 30-34, female (% of female population)",0.0017211704
"Children out of school, primary, female",0.0017211704
"Age population, age 21, female, interpolated",0.0017211704
"Age population, age 20, female, interpolated",0.0017211704
"School enrollment, primary, male (% net)",0.0017211704
"School enrollment, secondary (% gross)",0.0017211704
"Secondary education, pupils (% female)",0.0017211704
"Total debt service (% of exports of goods, services and primary income)",0.0017211704
Tuberculosis case detection rate (all forms),0.0017211704
"Age population, age 11, female, interpolated",0.0017211704
"Age population, age 10, female, interpolated",0.0017211704
"Age population, age 08, male, interpolated",0.0017211704
"Age population, age 08, female, interpolated",0.0017211704
"Unemployment, female (% of female labor force)",0.0017211704
"Age population, age 06, female, interpolated",0.0017211704
"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.0017211704
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.0017211704
Urban population growth (annual %),0.0017211704
"Age population, age 02, female, interpolated",0.0017211704
Women's share of population ages 15+ living with HIV (%),0.0017211704
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.0017211704
Country_code,0.0017211704
"Population ages 30-34, male (% of male population)",0.0017211704
Population growth (annual %),0.0017211704
"Population ages 65 and above, male (% of total)",0.0017211704
"Population ages 65-69, female (% of female population)",0.0017211704
"Population ages 55-59, female (% of female population)",0.0017211704
"Population ages 70-74, male (% of male population)",0.0017211704
"Population, female (% of total)",0.0008605852
"Tuberculosis death rate (per 100,000 people), including HIV",0.0008605852
"Time required to start a business, male (days)",0.0008605852
"Population ages 60-64, male (% of male population)",0.0008605852
Male population 55-59,0.0008605852
"People using basic sanitation services, urban  (% of urban population)",0.0008605852
"People using safely managed drinking water services, urban (% of urban population)",0.0008605852
"Tuberculosis death rate (per 100,000 people)",0.0008605852
"Population ages 60-64, female (% of female population)",0.0008605852
"Persistence to grade 5, female (% of cohort)",0.0008605852
"Survival to age 65, female (% of cohort)",0.0008605852
"Population ages 55-59, male (% of male population)",0.0008605852
"Physicians (per 1,000 people)",0.0008605852
"Unemployment, male (% of male labor force)",0.0008605852
"Population ages 50-54, female (% of female population)",0.0008605852
"Population ages 10-14, female (% of female population)",0.0008605852
"Population ages 45-49, female (% of female population)",0.0008605852
"Population ages 40-44, female (% of female population)",0.0008605852
Lifetime risk of maternal death (1 in: rate varies by country),0.0008605852
"Survival to age 65, male (% of cohort)",0.0008605852
"People practicing open defecation, urban (% of urban population)",0.0008605852
"Start-up procedures to register a business, male (number)",0.0008605852
"Secondary education, teachers (% female)",0.0008605852
Number of people who are undernourished,0.0008605852
"Prevalence of HIV, female (% ages 15-24)",0.0008605852
"Prevalence of obesity, male (% of male population ages 18+)",0.0008605852
"Population ages 80 and older, male (% of male population)",0.0008605852
Prevalence of undernourishment (% of population),0.0008605852
"Primary completion rate, female (% of relevant age group)",0.0008605852
"Primary completion rate, male (% of relevant age group)",0.0008605852
"Primary completion rate, total (% of relevant age group)",0.0008605852
"Progression to secondary school, female (%)",0.0008605852
"Population ages 80 and older, female (% of female population)",0.0008605852
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.0008605852
Rural population,0.0008605852
"School enrollment, primary (% net)",0.0008605852
"School enrollment, primary, female (% gross)",0.0008605852
Out-of-pocket health expenditure (% of total expenditure on health),0.0008605852
"People practicing open defecation, rural (% of rural population)",0.0008605852
"School enrollment, tertiary (gross), gender parity index (GPI)",0.0008605852
"School enrollment, tertiary, female (% gross)",0.0008605852
Number of neonatal deaths,0.0008605852
"Prevalence of HIV, total (% of population ages 15-49)",0.0008605852
"Lower secondary completion rate, male (% of relevant age group)",0.0008605852
Years,0.0008605852
Forest area (% of land area),0.0008605852
"Immunization, DPT (% of children ages 12-23 months)",0.0008605852
"Age population, age 13, male, interpolated",0.0008605852
"Health expenditure, total (current US$)",0.0008605852
"Age population, age 14, female, interpolated",0.0008605852
"Age population, age 15, female, interpolated",0.0008605852
"Government expenditure per student, primary (% of GDP per capita)",0.0008605852
"Age population, age 15, male, interpolated",0.0008605852
"Age population, age 16, female, interpolated",0.0008605852
"GNI per capita, Atlas method (current US$)",0.0008605852
"Contributing family workers, female (% of female employment)",0.0008605852
Births attended by skilled health staff (% of total),0.0008605852
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",0.0008605852
Female population 80+,0.0008605852
"Age population, age 17, female, interpolated",0.0008605852
Female population 70-74,0.0008605852
Female population 60-64,0.0008605852
"Age population, age 17, male, interpolated",0.0008605852
"Age population, age 18, female, interpolated",0.0008605852
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.0008605852
Agricultural support estimate (% of GDP),0.0008605852
"Age population, age 19, female, interpolated",0.0008605852
"Age population, age 21, male, interpolated",0.0008605852
"Age population, age 11, male, interpolated",0.0008605852
"Age population, age 13, female, interpolated",0.0008605852
"Age population, age 22, male, interpolated",0.0008605852
"Incidence of tuberculosis (per 100,000 people)",0.0008605852
"Age population, age 05, female, interpolated",0.0008605852
"Employment in services, female (% of female employment)",0.0008605852
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.0008605852
