,0
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.06471581
AIDS estimated deaths (UNAIDS estimates),0.06077659
"Access to anti-retroviral drugs, female (%)",0.039392233
Age dependency ratio (% of working-age population),0.036015756
"Age dependency ratio, old",0.021947103
"Adjusted net enrollment rate, primary (% of primary school age children)",0.021384357
"Access to anti-retroviral drugs, male (%)",0.019696116
CO2 emissions (kt),0.016882386
"Birth rate, crude (per 1,000 people)",0.01631964
Newborns protected against tetanus (%),0.015194148
CO2 emissions (kg per PPP $ of GDP),0.014068655
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.0123804165
"Age dependency ratio, young",0.01181767
"Cost of business start-up procedures, female (% of GNI per capita)",0.011254924
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.010692178
"Death rate, crude (per 1,000 people)",0.010129431
"Fertility rate, total (births per woman)",0.010129431
GDP growth (annual %),0.009566685
"Inflation, consumer prices (annual %)",0.009003939
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.009003939
"Immunization, BCG (% of one-year-old children)",0.009003939
External resources for health (% of total expenditure on health),0.009003939
"Health expenditure, public (% of government expenditure)",0.009003939
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.007878447
"Population ages 35-39, female (% of female population)",0.0073157004
Out-of-pocket health expenditure (% of total expenditure on health),0.0073157004
"Age population, age 0, female, interpolated",0.0073157004
Adults (ages 15+) and children (0-14 years) living with HIV,0.0073157004
"Survival to age 65, female (% of cohort)",0.0073157004
"Health expenditure, private (% of total health expenditure)",0.0067529543
Fixed telephone subscriptions (per 100 people),0.0067529543
Gross capital formation (% of GDP),0.0067529543
"Primary education, pupils (% female)",0.0061902083
CO2 emissions (metric tons per capita),0.0061902083
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.005627462
Out-of-pocket health expenditure (% of private expenditure on health),0.005627462
"Population ages 25-29, male (% of male population)",0.005627462
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.005627462
"Government expenditure per student, secondary (% of GDP per capita)",0.005627462
"Expected years of schooling, female",0.005627462
"Gross graduation ratio, primary, female (%)",0.005627462
"Improved sanitation facilities, rural (% of rural population with access)",0.0050647156
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.0050647156
Net ODA received (% of GNI),0.0050647156
"Gross graduation ratio, primary, male (%)",0.0050647156
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.0050647156
"PPP conversion factor, GDP (LCU per international $)",0.0050647156
"Health expenditure, private (% of GDP)",0.0050647156
GDP per capita (Current US$),0.0050647156
Net official development assistance and official aid received (current US$),0.0050647156
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.0050647156
"School enrollment, secondary, male (% gross)",0.0050647156
Prevalence of anemia among children (% of children under 5),0.0050647156
"Age population, age 13, female, interpolated",0.0050647156
"Population ages 30-34, male (% of male population)",0.0050647156
People practicing open defecation (% of population),0.0045019696
"Population ages 65-69, female (% of female population)",0.0045019696
"Lower secondary completion rate, female (% of relevant age group)",0.0045019696
"Mortality rate, adult, female (per 1,000 female adults)",0.0045019696
"School enrollment, secondary (% gross)",0.0045019696
Proportion of women in ministerial level positions (%),0.0045019696
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.0045019696
Trade (% of GDP),0.0045019696
