,0
"Birth rate, crude (per 1,000 people)",0.017
Internet users (per 100 people),0.017
GDP growth (annual %),0.016
Mobile cellular subscriptions (per 100 people),0.013
"Population ages 55-59, female (% of female population)",0.012
Out-of-pocket health expenditure (% of private expenditure on health),0.011
"Age dependency ratio, old",0.011
Proportion of women in ministerial level positions (%),0.011
Rural population growth (annual %),0.01
Urban population growth (annual %),0.009
"Health expenditure, private (% of total health expenditure)",0.009
"Population ages 70-74, female (% of female population)",0.009
"Employment in services, female (% of female employment)",0.009
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.009
"Population ages 00-04, male (% of male population)",0.009
"Age dependency ratio, young",0.009
"Access to anti-retroviral drugs, female (%)",0.008
"Population ages 45-49, female (% of female population)",0.008
"Population ages 50-54, female (% of female population)",0.008
"Population ages 25-29, female (% of female population)",0.008
"Immunization, measles (% of children ages 12-23 months)",0.008
"Health expenditure, public (% of total health expenditure)",0.008
GDP per capita (Current US$),0.008
"Wage and salaried workers, male (% of male employment)",0.008
"Population ages 30-34, female (% of female population)",0.007
Rural population (% of total population),0.007
Proportion of seats held by women in national parliaments (%),0.007
Years,0.007
"Expected years of schooling, female",0.007
"Mortality rate, adult, female (per 1,000 female adults)",0.007
"Prevalence of obesity, male (% of male population ages 18+)",0.007
"Employers, male (% of male employment)",0.007
"Inflation, consumer prices (annual %)",0.007
"Health expenditure, public (% of government expenditure)",0.007
"Unemployment, female (% of female labor force) (national estimate)",0.007
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.007
"Population ages 40-44, female (% of female population)",0.006
"Population ages 60-64, female (% of female population)",0.006
"Population ages 70-74, male (% of male population)",0.006
"Employers, female (% of female employment)",0.006
"Cost of business start-up procedures, female (% of GNI per capita)",0.006
"Population ages 15-19, female (% of female population)",0.006
Out-of-pocket health expenditure (% of total expenditure on health),0.006
"Mortality rate, adult, male (per 1,000 male adults)",0.006
"Health expenditure, private (% of GDP)",0.006
"Health expenditure per capita, PPP",0.006
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.006
Health expenditure per capita (current US$),0.006
Prevalence of anemia among pregnant women (%),0.006
Gross capital formation (% of GDP),0.006
Trade (% of GDP),0.006
Tuberculosis treatment success rate (% of new cases),0.006
Age dependency ratio (% of working-age population),0.006
"School enrollment, primary, female (% gross)",0.006
"Primary education, pupils (% female)",0.006
"Wage and salaried workers, female (% of female employment)",0.006
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.006
"Physicians (per 1,000 people)",0.005
"Immunization, DPT (% of children ages 12-23 months)",0.005
"Population ages 50-54, male (% of male population)",0.005
"Population ages 45-49, male (% of male population)",0.005
"Time required to start a business, female (days)",0.005
"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",0.005
"Immunization, Hib3 (% of children ages 12-23 months)",0.005
"Incidence of tuberculosis (per 100,000 people)",0.005
"Employment in agriculture, male (% of male employment)",0.005
"Population ages 20-24, male (% of male population)",0.005
"Population ages 25-29, male (% of male population)",0.005
"Fertility rate, total (births per woman)",0.005
"Employment in agriculture, female (% of female employment)",0.005
"Adjusted net enrollment rate, primary (% of primary school age children)",0.005
"Vulnerable employment, female (% of female employment)",0.005
"Population ages10-14, male (% of male population)",0.005
"Population ages 65-69, male (% of male population)",0.005
"School enrollment, secondary (% gross)",0.005
"Educational attainment, completed Bachelor's or equivalent, population 25+ years, female (%)",0.004
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.004
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.004
"Population ages 10-14, female (% of female population)",0.004
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",0.004
People using basic drinking water services (% of population),0.004
People using basic sanitation services (% of population),0.004
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.004
"Population ages 05-09, female (% of female population)",0.004
"Employment in industry, male (% of male employment)",0.004
"Tuberculosis death rate (per 100,000 people)",0.004
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.004
CO2 emissions (metric tons per capita),0.004
"Employment in industry, female (% of female employment)",0.004
External resources for health (% of total expenditure on health),0.004
"Immunization, Pol3 (% of one-year-old children)",0.004
"Population ages 35-39, female (% of female population)",0.004
"Own-account workers, male (% of males employed)",0.004
"Own-account workers, female (% of females employed)",0.004
"Hospital beds (per 1,000 people)",0.004
"Health expenditure, public (% of GDP)",0.004
Female share of employment in senior and middle management (%),0.004
"Primary completion rate, female (% of relevant age group)",0.004
Sex ratio at birth (male births per female births),0.004
"Population, female (% of total)",0.004
GINI index (World Bank estimate),0.004
"GNI per capita, PPP (current international $)",0.004
"Population ages 35-39, male (% of male population)",0.004
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.003
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.003
"Employment in services, male (% of male employment)",0.003
"Employment to population ratio, 15+, female (%) (national estimate)",0.003
"Labor force, female (% of total labor force)",0.003
"Labor force with basic education, female (% of female working-age population with basic education)",0.003
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.003
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.003
"Mortality rate, neonatal (per 1,000 live births)",0.003
"Immunization, HepB3 (% of one-year-old children)",0.003
"Immunization, BCG (% of one-year-old children)",0.003
"Health expenditure per capita, PPP (constant 2011 international $)",0.003
GDP (current US$),0.003
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.003
"Gross graduation ratio, tertiary, female (%)",0.003
"Secondary education, pupils (% female)",0.003
"Contributing family workers, male (% of male employment)",0.003
"Population ages 05-09, male (% of male population)",0.003
"School enrollment, primary, male (% gross)",0.003
CO2 emissions (kg per PPP $ of GDP),0.003
Ratio of female to male labor force participation rate (%) (national estimate),0.003
CO2 emissions (kt),0.003
"Population ages 40-44, male (% of male population)",0.003
"School enrollment, primary (% net)",0.003
"Progression to secondary school, female (%)",0.003
"Population ages 20-24, female (% of female population)",0.003
"Population ages 15-64, female (% of total)",0.003
"Government expenditure on education, total (% of GDP)",0.003
"Death rate, crude (per 1,000 people)",0.003
Average tariffs imposed by developed countries on agricultural products from least developed countries (%),0.003
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.003
"Primary education, teachers (% female)",0.003
"Population ages 30-34, male (% of male population)",0.003
"School enrollment, primary (% gross)",0.003
"Population ages 55-59, male (% of male population)",0.003
"Primary completion rate, male (% of relevant age group)",0.003
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.003
Prevalence of anemia among children (% of children under 5),0.003
Poverty gap at $1.90 a day (2011 PPP) (%),0.003
"School enrollment, secondary (% net)",0.003
"Population ages 65-69, female (% of female population)",0.002
"Health expenditure, total (% of GDP)",0.002
"Health expenditure, total (current US$)",0.002
"Population ages 75-79, female (% of female population)",0.002
"Population ages 60-64, male (% of male population)",0.002
"Population ages 75-79, male (% of male population)",0.002
"Population ages 80 and older, female (% of female population)",0.002
Population growth (annual %),0.002
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.002
"Population, male (% of total)",0.002
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",0.002
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.002
"Unemployment, male (% of male labor force) (national estimate)",0.002
"Mortality rate, under-5 (per 1,000 live births)",0.002
"Labor force participation rate for ages 15-24, female (%) (national estimate)",0.002
"Unemployment with basic education, male (% of male labor force with basic education)",0.002
"Persistence to grade 5, female (% of cohort)",0.002
"School enrollment, tertiary (gross), gender parity index (GPI)",0.002
"Net ODA provided, total (% of GNI)",0.002
"Maternal mortality ratio (national estimate, per 100,000 live births)",0.002
Number of maternal deaths,0.002
"Lower secondary completion rate, male (% of relevant age group)",0.002
"Prevalence of overweight, male (% of male adults)",0.002
"Tertiary education, academic staff (% female)",0.002
"PPP conversion factor, GDP (LCU per international $)",0.002
"PPP conversion factor, private consumption (LCU per international $)",0.002
People using safely managed sanitation services (% of population),0.002
"Persistence to last grade of primary, female (% of cohort)",0.002
"Unemployment with basic education, female (% of female labor force with basic education)",0.002
"Time-related underemployment, female (% of employment)",0.002
"Population ages 00-04, female (% of female population)",0.002
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",0.002
"Labor force with advanced education, male (% of male working-age population with advanced education)",0.002
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",0.002
"Population ages 15-19, male (% of male population)",0.002
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",0.002
"School enrollment, primary (gross), gender parity index (GPI)",0.002
"School enrollment, secondary, female (% gross)",0.002
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.002
Number of neonatal deaths,0.002
AIDS estimated deaths (UNAIDS estimates),0.002
"Educational attainment, completed primary, population 25+ years, female (%)",0.002
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",0.002
"Children out of school, primary, male",0.002
"Age population, age 0, female, interpolated",0.002
"Educational attainment, completed primary, population 25+ years, male (%)",0.002
"Age population, age 01, male, interpolated",0.002
"Employment to population ratio, 15+, male (%) (national estimate)",0.002
"Educational attainment, no schooling, population 25+ years, female (%)",0.002
"Educational attainment, completed Bachelor's or equivalent, population 25+ years, male (%)",0.002
"Contributing family workers, female (% of female employment)",0.002
"Age population, age 25, female, interpolated",0.002
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.002
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",0.002
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",0.002
"Age population, age 06, female, interpolated",0.002
Forest area (% of land area),0.002
Fixed telephone subscriptions (per 100 people),0.002
Forest area (sq. km),0.002
"Access to anti-retroviral drugs, male (%)",0.002
Average tariffs imposed by developed countries on agricultural products from developing countries (%),0.002
Bilateral ODA commitments that is untied (current US$),0.002
"GNI per capita, Atlas method (current US$)",0.002
Adults (ages 15+) and children (0-14 years) living with HIV,0.002
"Children out of school, primary, female",0.001
Net ODA provided to the least developed countries (current US$),0.001
"School enrollment, secondary, female (% net)",0.001
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),0.001
Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),0.001
Net ODA received (% of GNI),0.001
Net ODA received per capita (current US$),0.001
Net ODA provided to the least developed countries (% of donor GNI),0.001
"Self-employed, female (% of female employment)",0.001
"Mortality rate, under-5 (per 1,000)",0.001
"Prevalence of overweight, female (% of female adults)",0.001
"Educational attainment, completed upper secondary, population 25+ years, female (%)",0.001
"Mortality rate, infant (per 1,000 live births)",0.001
"School enrollment, tertiary (% gross)",0.001
"Net intake rate in grade 1, male (% of official school-age population)",0.001
"Primary completion rate, total (% of relevant age group)",0.001
"School enrollment, tertiary, male (% gross)",0.001
"Bilateral, sector-allocable ODA to basic social services (current US$)",0.001
"School enrollment, secondary, male (% gross)",0.001
Goods (excluding arms) admitted free of tariffs from least developed countries (% total merchandise imports excluding arms),0.001
Net official development assistance and official aid received (current US$),0.001
"Age population, age 14, female, interpolated",0.001
"Population ages 00-14, female (% of total)",0.001
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",0.001
"Persistence to last grade of primary, total (% of cohort)",0.001
"Persistence to last grade of primary, male (% of cohort)",0.001
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",0.001
"Persistence to grade 5, male (% of cohort)",0.001
Country_code,0.001
"Cost of business start-up procedures, male (% of GNI per capita)",0.001
People using safely managed drinking water services (% of population),0.001
"People using basic sanitation services, urban  (% of urban population)",0.001
Population ages 15-64 (% of total),0.001
"Progression to secondary school, male (%)",0.001
"People practicing open defecation, urban (% of urban population)",0.001
People practicing open defecation (% of population),0.001
"Population ages 15-64, male (% of total)",0.001
"Age population, age 07, male, interpolated",0.001
"Educational attainment, completed lower secondary, population 25+ years, female (%)",0.001
"Educational attainment, completed lower secondary, population 25+ years, male (%)",0.001
"Educational attainment, completed post-secondary, population 25+ years, female (%)",0.001
"Educational attainment, completed post-secondary, population 25+ years, male (%)",0.001
"School enrollment, primary, female (% net)",0.001
"Age population, age 07, female, interpolated",0.001
"Start-up procedures to register a business, male (number)",0.001
Number of infant deaths,0.001
"School enrollment, primary, male (% net)",0.001
Average tariffs imposed by developed countries on textile products from developing countries (%),0.001
"Age population, age 12, female, interpolated",0.001
"Survival to age 65, female (% of cohort)",0.001
"Age at first marriage, female",0.001
"Employment to population ratio, ages 15-24, total (%) (national estimate)",0.001
"Labor force participation rate for ages 15-24, male (%) (national estimate)",0.001
"Unemployment with advanced education, female (% of female labor force with advanced education)",0.001
"Unemployment with advanced education, male (% of male labor force with advanced education)",0.001
"Age population, age 0, male, interpolated",0.001
"Survival to age 65, male (% of cohort)",0.001
"Population ages 65 and above, male (% of total)",0.001
"Population ages 80 and older, male (% of male population)",0.001
Income share held by lowest 20%,0.001
"Unemployment, female (% of female labor force) (modeled ILO estimate)",0.001
"Improved water source, urban (% of urban population with access)",0.001
Poverty headcount ratio at national poverty line (% of population),0.001
"Unemployment, male (% of male labor force)",0.001
Improved water source (% of population with access),0.001
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.001
Female population 65-69,0.001
Urban population (% of total),0.001
Poverty headcount ratio at national poverty lines (% of population),0.001
"Age population, age 22, male, interpolated",0.001
Female population 35-39,0.001
"Age population, age 22, female, interpolated",0.001
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",0.001
"Age population, age 01, female, interpolated",0.001
"Employment to population ratio, ages 15-24, male (%) (national estimate)",0.001
"Employment to population ratio, ages 15-24, female (%) (national estimate)",0.001
