,0
AIDS estimated deaths (UNAIDS estimates),0.07353976
"Access to anti-retroviral drugs, female (%)",0.038001407
Adults (ages 15+) and children (0-14 years) living with HIV,0.027093597
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.025334273
"Death rate, crude (per 1,000 people)",0.022871217
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.022167487
"Access to anti-retroviral drugs, male (%)",0.01724138
"Inflation, consumer prices (annual %)",0.01513019
"Adjusted net enrollment rate, primary (% of primary school age children)",0.014778325
"Cost of business start-up procedures, female (% of GNI per capita)",0.013370866
"Age dependency ratio, old",0.0123152705
"Population ages 60-64, female (% of female population)",0.011963406
GDP growth (annual %),0.011963406
Age dependency ratio (% of working-age population),0.010555946
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.010555946
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.009500352
"Age population, age 0, female, interpolated",0.009500352
"Health expenditure, public (% of government expenditure)",0.008444757
"Population ages 10-14, female (% of female population)",0.008092892
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0077410275
"Population ages 30-34, male (% of male population)",0.0073891627
Mobile cellular subscriptions (per 100 people),0.0073891627
External resources for health (% of total expenditure on health),0.0073891627
"Mortality rate, infant (per 1,000 live births)",0.007037298
"Mortality rate, adult, female (per 1,000 female adults)",0.007037298
"Population ages 60-64, male (% of male population)",0.006685433
Trade (% of GDP),0.006685433
"Population ages 45-49, male (% of male population)",0.006685433
"Health expenditure, private (% of GDP)",0.006685433
"Total debt service (% of exports of goods, services and primary income)",0.006333568
Net ODA received (% of GNI),0.006333568
"PPP conversion factor, private consumption (LCU per international $)",0.006333568
"Population ages 15-19, female (% of female population)",0.006333568
"Mortality rate, adult, male (per 1,000 male adults)",0.006333568
"Population ages 55-59, male (% of male population)",0.005981703
CO2 emissions (kg per PPP $ of GDP),0.005981703
CO2 emissions (kt),0.005981703
Gross capital formation (% of GDP),0.005981703
"Mortality rate, neonatal (per 1,000 live births)",0.005629838
"People practicing open defecation, urban (% of urban population)",0.005629838
"Survival to age 65, female (% of cohort)",0.005629838
GDP per person employed (constant 2011 PPP $),0.005629838
"GNI per capita, PPP (current international $)",0.005629838
"PPP conversion factor, GDP (LCU per international $)",0.005629838
Tuberculosis treatment success rate (% of new cases),0.005277973
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.005277973
"Population ages 65-69, male (% of male population)",0.005277973
Improved water source (% of population with access),0.0049261083
Out-of-pocket health expenditure (% of total expenditure on health),0.0049261083
Out-of-pocket health expenditure (% of private expenditure on health),0.0049261083
Fixed telephone subscriptions (per 100 people),0.0049261083
Adults (ages 15+) living with HIV,0.0049261083
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.0049261083
"Survival to age 65, male (% of cohort)",0.0049261083
Antiretroviral therapy coverage (% of people living with HIV),0.0049261083
Malaria cases reported,0.0049261083
"Immunization, Pol3 (% of one-year-old children)",0.0049261083
"Health expenditure, public (% of GDP)",0.0049261083
Proportion of seats held by women in national parliaments (%),0.0045742434
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.0045742434
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.0045742434
Internet users (per 100 people),0.0045742434
Prevalence of anemia among pregnant women (%),0.0045742434
Forest area (% of land area),0.0045742434
"Cost of business start-up procedures, male (% of GNI per capita)",0.0045742434
"Children out of school, primary, female",0.0045742434
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.0042223786
"Health expenditure, total (% of GDP)",0.0042223786
"Improved water source, rural (% of rural population with access)",0.0042223786
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.0042223786
"Population ages 30-34, female (% of female population)",0.0042223786
Population growth (annual %),0.0042223786
GDP per capita (Current US$),0.0042223786
"Birth rate, crude (per 1,000 people)",0.0042223786
Health expenditure per capita (current US$),0.0042223786
"Tuberculosis case detection rate (%, all forms)",0.0042223786
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.0038705138
Improved sanitation facilities (% of population with access),0.0038705138
"Age population, age 0, male, interpolated",0.0038705138
Vitamin A supplementation coverage rate (% of children ages 6-59 months),0.0038705138
Forest area (sq. km),0.0038705138
CO2 emissions (metric tons per capita),0.0038705138
Lifetime risk of maternal death (1 in: rate varies by country),0.003518649
Net ODA received per capita (current US$),0.003518649
Net official development assistance and official aid received (current US$),0.003518649
Adults (ages 15+) newly infected with HIV,0.003518649
"Government expenditure per student, primary (% of GDP per capita)",0.003518649
"Population ages 80 and older, female (% of female population)",0.003518649
"Population ages 50-54, female (% of female population)",0.003518649
Number of people who are undernourished,0.003518649
Lifetime risk of maternal death (%),0.003518649
"Incidence of tuberculosis (per 100,000 people)",0.003518649
"School enrollment, tertiary (% gross)",0.003518649
"Population ages 25-29, female (% of female population)",0.003518649
"Children out of school, primary, male",0.003518649
"Progression to secondary school, female (%)",0.003166784
"Gross graduation ratio, primary, female (%)",0.003166784
"Immunization, Hib3 (% of children ages 12-23 months)",0.003166784
"Population ages 65-69, female (% of female population)",0.003166784
"Improved sanitation facilities, urban (% of urban population with access)",0.003166784
"Population, female (% of total)",0.003166784
Number of maternal deaths,0.003166784
"Prevalence of HIV, total (% of population ages 15-49)",0.003166784
People practicing open defecation (% of population),0.003166784
Prevalence of anemia among children (% of children under 5),0.003166784
"Unemployment, female (% of female labor force)",0.003166784
Urban population growth (annual %),0.003166784
"Population ages 15-19, male (% of male population)",0.003166784
"People practicing open defecation, rural (% of rural population)",0.003166784
"Tuberculosis death rate (per 100,000 people)",0.003166784
"Prevalence of HIV, female (% ages 15-24)",0.003166784
Prevalence of undernourishment (% of population),0.002814919
Proportion of women in ministerial level positions (%),0.002814919
Children orphaned by HIV/AIDS,0.002814919
"Health expenditure per capita, PPP",0.002814919
"Government expenditure on education, total (% of GDP)",0.002814919
Rural population growth (annual %),0.002814919
"Population ages 45-49, female (% of female population)",0.002814919
"Improved sanitation facilities, rural (% of rural population with access)",0.002814919
GDP (current US$),0.002814919
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0024630541
"Health expenditure, private (% of total health expenditure)",0.0024630541
"Immunization, BCG (% of one-year-old children)",0.0024630541
"Population ages 35-39, female (% of female population)",0.0024630541
"Population ages 75-79, female (% of female population)",0.0024630541
"Population ages 20-24, male (% of male population)",0.0024630541
"Population ages 35-39, male (% of male population)",0.0024630541
"Population ages10-14, male (% of male population)",0.0024630541
"Population ages 40-44, male (% of male population)",0.0024630541
Female population 80+,0.0024630541
People using basic drinking water services (% of population),0.0024630541
Number of infant deaths,0.0024630541
"Improved water source, urban (% of urban population with access)",0.0024630541
"Immunization, measles (% of children ages 12-23 months)",0.0021111893
"Population ages 25-29, male (% of male population)",0.0021111893
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.0021111893
"Mortality rate, under-5 (per 1,000 live births)",0.0021111893
"Adjusted net enrollment rate, primary, male (% of primary school age children)",0.0021111893
"Population ages 75-79, male (% of male population)",0.0021111893
"GNI per capita, Atlas method (current US$)",0.0021111893
"Population ages 50-54, male (% of male population)",0.0021111893
"Population ages 40-44, female (% of female population)",0.0021111893
"People using basic drinking water services, urban (% of urban population)",0.0021111893
"Fertility rate, total (births per woman)",0.0021111893
"Net intake rate in grade 1, female (% of official school-age population)",0.0021111893
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.0017593245
"Immunization, HepB3 (% of one-year-old children)",0.0017593245
"Health expenditure, total (current US$)",0.0017593245
"Prevalence of obesity, female (% of female population ages 18+)",0.0017593245
"Health expenditure, public (% of total health expenditure)",0.0017593245
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0.0017593245
"Unemployment, male (% of male labor force)",0.0017593245
"Persistence to last grade of primary, female (% of cohort)",0.0017593245
"Persistence to grade 5, female (% of cohort)",0.0017593245
"Age dependency ratio, young",0.0017593245
"Start-up procedures to register a business, female (number)",0.0017593245
People using basic sanitation services (% of population),0.0017593245
Children (0-14) living with HIV,0.0017593245
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.0017593245
"Prevalence of overweight, female (% of female adults)",0.0017593245
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.0017593245
"GNI, Atlas method (current US$)",0.0017593245
"Health expenditure per capita, PPP (constant 2011 international $)",0.0017593245
"Primary education, pupils (% female)",0.0017593245
Net official development assistance received (current US$),0.0014074595
"Population ages 80 and older, male (% of male population)",0.0014074595
"Population ages 65 and above, female (% of total)",0.0014074595
"Population ages 65 and above, male (% of total)",0.0014074595
"Population ages 70-74, female (% of female population)",0.0014074595
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.0014074595
"Persistence to grade 5, male (% of cohort)",0.0014074595
"Population ages 20-24, female (% of female population)",0.0014074595
"Population ages 55-59, female (% of female population)",0.0014074595
Years,0.0014074595
"Immunization, DPT (% of children ages 12-23 months)",0.0014074595
"Primary completion rate, male (% of relevant age group)",0.0014074595
"School enrollment, primary, male (% gross)",0.0014074595
"Progression to secondary school, male (%)",0.0014074595
"School enrollment, secondary, female (% net)",0.0014074595
"Primary education, teachers (% female)",0.0014074595
Children (ages 0-14) newly infected with HIV,0.0014074595
"School enrollment, primary, female (% gross)",0.0014074595
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.0014074595
Women's share of population ages 15+ living with HIV (%),0.0014074595
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.0014074595
"Labor force, female (% of total labor force)",0.0014074595
Population ages 0-14 (% of total),0.0010555947
"Expected years of schooling, male",0.0010555947
"Net intake rate in grade 1, male (% of official school-age population)",0.0010555947
Number of neonatal deaths,0.0010555947
"Population ages 15-64, male (% of total)",0.0010555947
Number of under-five deaths,0.0010555947
Country_code,0.0010555947
"Persistence to last grade of primary, male (% of cohort)",0.0010555947
"Age at first marriage, female",0.0010555947
Sex ratio at birth (male births per female births),0.0010555947
"School enrollment, primary (% gross)",0.0010555947
"Tertiary education, academic staff (% female)",0.0010555947
Urban population,0.0010555947
"Time required to start a business, male (days)",0.0010555947
"Prevalence of obesity, male (% of male population ages 18+)",0.0010555947
"Population ages 05-09, female (% of female population)",0.0010555947
"Lower secondary completion rate, female (% of relevant age group)",0.0010555947
"Gross graduation ratio, primary, male (%)",0.0010555947
"Prevalence of HIV, male (% ages 15-24)",0.0010555947
Population ages 65 and above (% of total),0.0010555947
"Primary completion rate, female (% of relevant age group)",0.0010555947
"Government expenditure per student, secondary (% of GDP per capita)",0.0010555947
Female population 75-79,0.0010555947
"Public spending on education, total (% of GDP)",0.0010555947
Female population 30-34,0.00070372975
"Secondary education, pupils (% female)",0.00070372975
Rural population (% of total population),0.00070372975
"People using basic drinking water services, rural (% of rural population)",0.00070372975
"School enrollment, tertiary, female (% gross)",0.00070372975
"People using basic sanitation services, rural (% of rural population)",0.00070372975
Male population 40-44,0.00070372975
"Age population, age 24, female, interpolated",0.00070372975
"Age population, age 01, female, interpolated",0.00070372975
"School enrollment, tertiary (gross), gender parity index (GPI)",0.00070372975
