,0
"Improved water source, urban (% of urban population with access)",0.042079207
Internet users (per 100 people),0.022277229
"Population ages 25-29, male (% of male population)",0.01980198
"Population ages 30-34, female (% of female population)",0.017326733
"Immunization, BCG (% of one-year-old children)",0.017326733
Mobile cellular subscriptions (per 100 people),0.017326733
"Survival to age 65, male (% of cohort)",0.014851485
"Mortality rate, adult, male (per 1,000 male adults)",0.014851485
"Tuberculosis case detection rate (%, all forms)",0.014851485
Country_code,0.014851485
"Mortality rate, under-5 (per 1,000 live births)",0.012376238
"Cost of business start-up procedures, female (% of GNI per capita)",0.012376238
"Mortality rate, infant (per 1,000 live births)",0.012376238
Rural population (% of total population),0.012376238
Improved water source (% of population with access),0.012376238
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.00990099
"Time required to start a business, female (days)",0.00990099
"Incidence of tuberculosis (per 100,000 people)",0.00990099
"Improved water source, rural (% of rural population with access)",0.00990099
People using basic sanitation services (% of population),0.00990099
"GNI per capita, PPP (current international $)",0.00990099
GDP (current US$),0.00990099
"Immunization, DPT (% of children ages 12-23 months)",0.00990099
GDP per capita (Current US$),0.00990099
"Population ages 65-69, male (% of male population)",0.00990099
GDP per person employed (constant 2011 PPP $),0.00990099
"Start-up procedures to register a business, female (number)",0.00990099
"Death rate, crude (per 1,000 people)",0.00990099
"Adolescent fertility rate (births per 1,000 women ages 15-19)",0.00990099
"Population ages 25-29, female (% of female population)",0.00990099
"PPP conversion factor, GDP (LCU per international $)",0.00990099
Adults (ages 15+) and children (0-14 years) living with HIV,0.0074257427
"Population ages 05-09, female (% of female population)",0.0074257427
"Survival to age 65, female (% of cohort)",0.0074257427
"Immunization, HepB3 (% of one-year-old children)",0.0074257427
Number of maternal deaths,0.0074257427
"Lower secondary completion rate, female (% of relevant age group)",0.0074257427
"Population, female (% of total)",0.0074257427
Trade (% of GDP),0.0074257427
"PPP conversion factor, private consumption (LCU per international $)",0.0074257427
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.0074257427
CO2 emissions (kt),0.0074257427
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.0074257427
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.0074257427
"Adjusted net enrollment rate, primary, female (% of primary school age children)",0.0074257427
"People using basic sanitation services, urban  (% of urban population)",0.0074257427
Improved sanitation facilities (% of population with access),0.0074257427
Years,0.0074257427
"Population ages 60-64, male (% of male population)",0.0074257427
Lifetime risk of maternal death (%),0.0074257427
Lifetime risk of maternal death (1 in: rate varies by country),0.0074257427
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.004950495
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.004950495
Female population 55-59,0.004950495
Female population 50-54,0.004950495
"Population ages 35-39, female (% of female population)",0.004950495
