,0
GDP growth (annual %),0.024154589
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),0.02173913
Internet users (per 100 people),0.02173913
"GNI per capita, Atlas method (current US$)",0.014492754
"Lower secondary completion rate, female (% of relevant age group)",0.013285024
Fixed telephone subscriptions (per 100 people),0.013285024
GINI index (World Bank estimate),0.013285024
"School enrollment, primary (gross), gender parity index (GPI)",0.012077294
"Age at first marriage, female",0.010869565
"Primary education, pupils (% female)",0.010869565
"Inflation, consumer prices (annual %)",0.010869565
Population growth (annual %),0.010869565
Mobile cellular subscriptions (per 100 people),0.009661836
CO2 emissions (kg per PPP $ of GDP),0.009661836
"Health expenditure, public (% of government expenditure)",0.008454106
"Population ages 75-79, female (% of female population)",0.008454106
GDP per capita (Current US$),0.008454106
"Educational attainment, completed Bachelor's or equivalent, population 25+ years, female (%)",0.008454106
"Cost of business start-up procedures, female (% of GNI per capita)",0.008454106
"Labor force with advanced education, female (% of female working-age population with advanced education)",0.008454106
"School enrollment, secondary, male (% gross)",0.008454106
Ratio of female to male labor force participation rate (%) (national estimate),0.008454106
Years,0.007246377
"Death rate, crude (per 1,000 people)",0.007246377
Trade (% of GDP),0.007246377
"Time-related underemployment, female (% of employment)",0.007246377
"Secondary education, teachers (% female)",0.007246377
"Educational attainment, completed lower secondary, population 25+ years, female (%)",0.007246377
"Government expenditure per student, primary (% of GDP per capita)",0.007246377
Health expenditure per capita (current US$),0.007246377
"Primary completion rate, female (% of relevant age group)",0.007246377
Proportion of women in ministerial level positions (%),0.007246377
"Educational attainment, completed post-secondary, population 25+ years, female (%)",0.007246377
"Own-account workers, male (% of males employed)",0.007246377
"Population ages 15-19, male (% of male population)",0.007246377
"PPP conversion factor, GDP (LCU per international $)",0.007246377
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",0.006038647
"Employment to population ratio, 15+, male (%) (national estimate)",0.006038647
"Employment to population ratio, ages 15-24, male (%) (national estimate)",0.006038647
"Expected years of schooling, male",0.006038647
"Population ages 25-29, male (% of male population)",0.006038647
"Population ages 25-29, female (% of female population)",0.006038647
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0.006038647
"Educational attainment, completed lower secondary, population 25+ years, male (%)",0.006038647
"Wage and salaried workers, male (% of male employment)",0.006038647
Urban population growth (annual %),0.006038647
Gross capital formation (% of GDP),0.006038647
"Own-account workers, female (% of females employed)",0.006038647
People using safely managed drinking water services (% of population),0.006038647
"Health expenditure, public (% of GDP)",0.006038647
"Health expenditure, public (% of total health expenditure)",0.006038647
"Immunization, HepB3 (% of one-year-old children)",0.006038647
"Employment in agriculture, female (% of female employment)",0.006038647
"Progression to secondary school, female (%)",0.006038647
"Labor force participation rate for ages 15-24, female (%) (national estimate)",0.006038647
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.006038647
Bilateral ODA commitments that is untied (% of bilateral ODA commitments),0.006038647
"Labor force with advanced education, male (% of male working-age population with advanced education)",0.006038647
"Labor force with basic education, female (% of female working-age population with basic education)",0.006038647
"Children out of school, primary, female",0.004830918
CO2 emissions (kt),0.004830918
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",0.004830918
"Population ages 65-69, female (% of female population)",0.004830918
"Employment in services, female (% of female employment)",0.004830918
"School enrollment, primary, male (% gross)",0.004830918
Goods (excluding arms) admitted free of tariffs from least developed countries (% total merchandise imports excluding arms),0.004830918
"Government expenditure per student, secondary (% of GDP per capita)",0.004830918
"Population ages 40-44, female (% of female population)",0.004830918
"Prevalence of overweight, male (% of male adults)",0.004830918
Net ODA provided to the least developed countries (% of donor GNI),0.004830918
Population ages 15-64 (% of total),0.004830918
"Population ages 20-24, male (% of male population)",0.004830918
"Population ages 35-39, female (% of female population)",0.004830918
"Gross graduation ratio, tertiary, female (%)",0.004830918
"Labor force, female (% of total labor force)",0.004830918
Average tariffs imposed by developed countries on agricultural products from least developed countries (%),0.004830918
"Population ages 30-34, male (% of male population)",0.0036231885
"School enrollment, tertiary, male (% gross)",0.0036231885
Proportion of seats held by women in national parliaments (%),0.0036231885
"Physicians (per 1,000 people)",0.0036231885
"Population ages 65 and above, female (% of total)",0.0036231885
"Age dependency ratio, old",0.0036231885
"Primary education, teachers (% female)",0.0036231885
"Age dependency ratio, young",0.0036231885
"Government expenditure on education, total (% of GDP)",0.0036231885
Goods (excluding arms) admitted free of tariffs from developing countries (% total merchandise imports excluding arms),0.0036231885
"Primary completion rate, male (% of relevant age group)",0.0036231885
"GNI per capita, PPP (current international $)",0.0036231885
"Employers, female (% of female employment)",0.0036231885
"Population ages 55-59, male (% of male population)",0.0036231885
"Employers, male (% of male employment)",0.0036231885
"Secondary education, pupils (% female)",0.0036231885
"Employment in industry, female (% of female employment)",0.0036231885
