,0
"GNI per capita, PPP (current international $)",1.4380553927078643
"Population ages 10-14, female (% of female population)",1.4262356648167083
"Population ages10-14, male (% of male population)",1.3928172974697692
"GNI per capita, Atlas method (current US$)",1.338579769125098
"Labor force, female (% of total labor force)",1.1167731881010796
"Population ages 25-29, male (% of male population)",1.1076128194081485
"Population ages 25-29, female (% of female population)",1.0712268380434513
"Mortality rate, under-5 (per 1,000)",1.0113547124357554
"Population ages 80 and older, male (% of male population)",1.0112980230933524
"Mortality rate, under-5 (per 1,000 live births)",1.0101642362452796
"Population ages 80 and older, female (% of female population)",1.0070321500774788
Health expenditure per capita (current US$),0.9831276888941594
"Mortality rate, infant (per 1,000 live births)",0.9791268212792932
"Employment in industry, female (% of female employment)",0.9645585522467381
"Population ages 00-14, female (% of total)",0.959469791800835
Population ages 0-14 (% of total),0.9579391795559367
Population ages 00-14 (% of total),0.9579391795559367
"Population ages 00-14, male (% of total)",0.9462753473563901
"Employment in services, female (% of female employment)",0.9370925658521805
GDP per capita (Current US$),0.9329932921100497
"Population ages 05-09, male (% of male population)",0.9015758008711305
"Population ages 15-19, female (% of female population)",0.8889195087505517
"Age dependency ratio, young",0.8859295423677285
"GNI, Atlas method (current US$)",0.865289369048984
"Population ages 05-09, female (% of female population)",0.8627139682592972
Urban population (% of total),0.8392689608857182
Rural population (% of total population),0.8392689608857182
"Population ages 40-44, female (% of female population)",0.8107852422234281
Ratio of female to male labor force participation rate (%) (national estimate),0.804903326520084
Population ages 65 and above (% of total),0.803076383621713
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.8017145510098798
"Population ages 65 and above, female (% of total)",0.8000164475260623
Female population 65-69,0.7958024075977368
Male population 65-69,0.7898500266453559
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.787412041728655
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.787180954937418
"Population ages 35-39, female (% of female population)",0.7824891189955829
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.7762082121106835
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.7653157315753458
"Health expenditure per capita, PPP",0.765129318217217
"Health expenditure per capita, PPP (constant 2011 international $)",0.765129318217217
GDP (current US$),0.7623544071854507
"Population ages 15-19, male (% of male population)",0.74245511005401
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.7390891803487949
Male population 80+,0.728327917801818
"Population ages 65 and above, male (% of total)",0.7252676843844423
"Population ages 65 and above, male",0.7226718675029105
Prevalence of anemia among pregnant women (%),0.7191353246806536
"Cost of business start-up procedures, male (% of GNI per capita)",0.7159221229173083
"Cost of business start-up procedures, female (% of GNI per capita)",0.7099697419649269
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.704428687363722
"Employment in services, male (% of male employment)",0.6909294036175895
"Population ages 50-54, male (% of male population)",0.6833459156769586
"Population ages 65 and above, total",0.676739327820371
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",0.6720965499633074
GDP per person employed (constant 2011 PPP $),0.6707325369921517
"Population ages 50-54, female (% of female population)",0.6701125220864226
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.6600133454693886
"Mortality rate, neonatal (per 1,000 live births)",0.6515079510714135
"Employment to population ratio, 15+, male (%) (national estimate)",0.6505370928471277
"Employment in agriculture, female (% of female employment)",0.6492331038855752
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.6390174267056126
Female population 60-64,0.6370709604734319
"Population ages 65 and above, female",0.6319272946154804
"Population ages 00-04, male (% of male population)",0.6274077070601787
Male population 70-74,0.6247964294489012
"Population ages 00-04, female (% of female population)",0.6235691844716569
Number of under-five deaths,0.6142389313914032
Number of infant deaths,0.6127057423582138
"Vulnerable employment, total (% of total employment)",0.6116019354508369
Female population 70-74,0.6115333036857751
Children orphaned by HIV/AIDS,0.6103467917849774
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.6095299422178633
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.6048349661413088
"Population ages 75-79, female (% of female population)",0.5988985032621095
"Age dependency ratio, old",0.5923001063275779
Male population 60-64,0.5869881068191494
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.5824977100286097
Male population 25-29,0.5783275213728496
"Immunization, HepB3 (% of one-year-old children)",0.5740402266181186
"Employment to population ratio, ages 15-24, female (%) (national estimate)",0.5722121090074381
"Population ages 45-49, female (% of female population)",0.5653342187579751
"Age population, age 25, male, interpolated",0.5636604424200566
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",0.5544424632703555
"Population ages 60-64, male (% of male population)",0.5414794983641131
"Population ages 65-69, male (% of male population)",0.5389470605638182
"Population ages 55-59, female (% of female population)",0.5385153348432274
"Labor force participation rate for ages 15-24, male (%) (national estimate)",0.533451663104135
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.5331888584668825
"PPP conversion factor, GDP (LCU per international $)",0.5304487982052615
"Population, female (% of total)",0.528531484076812
"Population, male (% of total)",0.528531484076812
"Immunization, Hib3 (% of children ages 12-23 months)",0.5236414540554801
"Vulnerable employment, male (% of male employment)",0.5197018216757228
Female population 25-29,0.5181243317053745
"Population ages 40-44, male (% of male population)",0.5173174996485426
"Age population, age 04, male, interpolated",0.5138297175893318
"Start-up procedures to register a business, male (number)",0.5083910094720523
"Start-up procedures to register a business, female (number)",0.5083910094720523
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.5032320373750552
"Labor force participation rate for ages 15-24, female (%) (national estimate)",0.5020161343471774
"Age population, age 25, female, interpolated",0.4994726460894032
Prevalence of anemia among children (% of children under 5),0.4950273285193625
Male population 75-79,0.4914451577047725
"Age population, age 03, male, interpolated",0.4895383343693771
"Age population, age 05, male, interpolated",0.4884479564932849
"Employment to population ratio, ages 15-24, total (%) (national estimate)",0.48620471362504225
