,0
"Age dependency ratio, young",1.6218075615939278
"Population ages 00-14, female (% of total)",1.5780582805053536
"Population ages 00-14, male (% of total)",1.543330299230643
Urban population (% of total),1.523073229267078
Rural population (% of total population),1.523073229267078
Population ages 0-14 (% of total),1.5095581591528293
Population ages 00-14 (% of total),1.5095581591528293
"Population ages 00-04, female (% of female population)",1.4835385017958962
"Population ages 05-09, female (% of female population)",1.4701217707877503
"Population ages 80 and older, male (% of male population)",1.3740739995192608
"Population ages 75-79, male (% of male population)",1.3671999293708312
"Population, female (% of total)",1.3521094197342518
"Population, male (% of total)",1.3521094197342518
"Population ages 00-04, male (% of male population)",1.3243091633491684
"Population ages 65-69, male (% of male population)",1.3050132162261088
"Population ages 15-19, female (% of female population)",1.3024856006749483
"Population ages 05-09, male (% of male population)",1.274118034384573
"Population ages10-14, male (% of male population)",1.2482970584800603
Urban population growth (annual %),1.2442334303792575
"Population ages 70-74, male (% of male population)",1.239913821705207
"Population ages 15-64, male (% of total)",1.2240236804124502
"Population ages 50-54, male (% of male population)",1.2226607868437087
Population growth (annual %),1.2209640357182
"Population ages 80 and older, female (% of female population)",1.2203086338817801
Rural population growth (annual %),1.219779278746234
Country_code,1.20445027984197
"GNI per capita, PPP (current international $)",1.2033791073753313
"Population ages 15-19, male (% of male population)",1.191617695390157
Population ages 65 and above (% of total),1.1734401968687709
"Population ages 55-59, male (% of male population)",1.1729594551216276
"Population ages 75-79, female (% of female population)",1.172112526639903
"Population ages 65 and above, male (% of total)",1.167824380997609
"Population ages 60-64, female (% of female population)",1.1602934189195904
"Population ages 60-64, male (% of male population)",1.1548265705160667
"Population ages 45-49, female (% of female population)",1.1481424811492338
"Population ages 10-14, female (% of female population)",1.1424931387039496
"Population ages 65-69, female (% of female population)",1.1415310485264079
"Population ages 65 and above, female (% of total)",1.1407787839737291
Male population 45-49,1.138275604779911
Male population 65-69,1.1371025079599482
"Age dependency ratio, old",1.1266832950753467
"Population ages 45-49, male (% of male population)",1.1238644710794392
GDP per person employed (constant 2011 PPP $),1.1169218012943927
Population ages 15-64 (% of total),1.1143294593831206
Female population 45-49,1.1138032571583665
Male population 50-54,1.1113689495513206
"Mortality rate, adult, male (per 1,000 male adults)",1.1025305512785428
Female population 40-44,1.0999123558880572
Female population 50-54,1.0975332124277486
Male population 40-44,1.0960713844757504
Age dependency ratio (% of working-age population),1.0946376540870628
"Population ages 50-54, female (% of female population)",1.0931179540352045
Male population 55-59,1.086631021200862
Female population 55-59,1.0749644380926595
GDP per capita (Current US$),1.0728720962293634
"Population ages 70-74, female (% of female population)",1.0606198655922965
"Population ages 20-24, female (% of female population)",1.0571403665714363
Male population 60-64,1.0553440930066142
"Population ages 15-64, female (% of total)",1.053861952139088
"Population ages 55-59, female (% of female population)",1.0531378689088569
Male population 70-74,1.051926511896548
Female population 65-69,1.0471088747735022
"Population ages 65 and above, male",1.043375929878621
"Population ages 65 and above, total",1.0310048389502056
Female population 75-79,1.0308173045490556
"Population ages 40-44, male (% of male population)",1.0268088868485092
Male population 75-79,1.0258678051536148
"Population ages 15-64, female",1.0173436552403934
Female population 30-34,1.0166932006446463
"Population ages 15-64, total",1.0066271658464074
Male population 15-19,1.0045697385610526
"Population ages 25-29, female (% of female population)",1.0031391045382883
