,0
Urban population (% of total),1.4952266938351062
Rural population (% of total population),1.494110622406535
"Population ages 80 and older, female (% of female population)",1.442756722695639
"Population ages 45-49, female (% of female population)",1.4419141996574063
"Population ages 65 and above, female (% of total)",1.3817106949809168
"Population ages 55-59, male (% of male population)",1.3588740232587817
"Population ages 00-14, male (% of total)",1.3298176168830294
"Mortality rate, neonatal (per 1,000 live births)",1.3144877162577577
Rural population growth (annual %),1.3076558221580832
"GNI per capita, PPP (current international $)",1.3067187226314694
Population ages 65 and above (% of total),1.3039545462729731
"Population ages 15-64, male (% of total)",1.2991359193413605
"Population ages 40-44, female (% of female population)",1.27349230569786
"Population ages 05-09, male (% of male population)",1.2667345147290447
"Population ages10-14, male (% of male population)",1.2653124511777798
Population ages 00-14 (% of total),1.2633994559122583
Population ages 0-14 (% of total),1.2633994559122583
"Population ages 15-19, male (% of male population)",1.263306864397339
"Population ages 70-74, female (% of female population)",1.237251825994329
"Population ages 40-44, male (% of male population)",1.2351194768218892
"Population ages 00-04, male (% of male population)",1.2348589917291495
"Age dependency ratio, young",1.2292832879728746
"Population ages 15-19, female (% of female population)",1.2233663940138078
GDP per person employed (constant 2011 PPP $),1.2218106612657396
Women's share of population ages 15+ living with HIV (%),1.2085618241968115
"Population ages 60-64, male (% of male population)",1.206994217430128
"Population ages 50-54, female (% of female population)",1.205694124468335
"Population ages 50-54, male (% of male population)",1.2020071519263085
"Population ages 45-49, male (% of male population)",1.201397308886822
"Population ages 05-09, female (% of female population)",1.1928938766667145
"Population ages 65-69, female (% of female population)",1.1892207152302507
"Population ages 00-14, female (% of total)",1.1855685364684745
Population growth (annual %),1.1759613850532316
"Population ages 65 and above, male (% of total)",1.162022715400723
"Population ages 55-59, female (% of female population)",1.1598983814152826
"Population ages 35-39, female (% of female population)",1.1487333064458767
Prevalence of anemia among children (% of children under 5),1.1385338868801944
"Population ages 35-39, male (% of male population)",1.1285509186064577
Children (0-14) living with HIV,1.1218372414070925
"Population ages 00-04, female (% of female population)",1.1150188912326024
"Population ages 75-79, female (% of female population)",1.1128826732300192
"Population ages 60-64, female (% of female population)",1.1018673153086835
Age dependency ratio (% of working-age population),1.086927703977624
"Population ages 70-74, male (% of male population)",1.0799506801025331
"Population ages 30-34, male (% of male population)",1.0790688537749125
"Population ages 20-24, male (% of male population)",1.074146455838076
Population ages 15-64 (% of total),1.0723804921934241
"Population ages 10-14, female (% of female population)",1.0659726129219056
"Age dependency ratio, old",1.0638130564026569
Prevalence of anemia among non-pregnant women (% of women ages 15-49),1.0367099888209577
Prevalence of anemia among women of reproductive age (% of women ages 15-49),1.0111348646221314
"Prevalence of HIV, total (% of population ages 15-49)",1.0035430771016247
"Population ages 80 and older, male (% of male population)",1.0030688929883556
"Population ages 65-69, male (% of male population)",0.9985566079627763
"Population ages 75-79, male (% of male population)",0.9966866440165272
"Population, male (% of total)",0.994625115732914
"Population, female (% of total)",0.994625115732914
"Population ages 20-24, female (% of female population)",0.9938873885005326
Country_code,0.9765944096934194
Proportion of seats held by women in national parliaments (%),0.9676864409489312
"Mortality rate, under-5 (per 1,000)",0.9657454642708112
"Health expenditure per capita, PPP (constant 2011 international $)",0.9654348576022929
"Health expenditure per capita, PPP",0.9654348576022929
"Mortality rate, under-5 (per 1,000 live births)",0.9647479005819566
Number of people who are undernourished,0.9636037723395168
"Population ages 15-64, female (% of total)",0.9603769952500847
GDP per capita (Current US$),0.9561635333327558
Fixed telephone subscriptions (per 100 people),0.9540135780759988
"Mortality rate, infant (per 1,000 live births)",0.9447873217509488
"GNI per capita, Atlas method (current US$)",0.9374762541398178
Urban population growth (annual %),0.929697172302796
Lifetime risk of maternal death (1 in: rate varies by country),0.9144729627249082
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.910332809909217
Incidence of HIV (% of uninfected population ages 15-49),0.9009767224570169
Children orphaned by HIV/AIDS,0.8844413273238809
"Population ages 30-34, female (% of female population)",0.8698145723174808
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.8562593827507636
Health expenditure per capita (current US$),0.8364372566918701
Mobile cellular subscriptions (per 100 people),0.83235247650624
"Population ages 25-29, male (% of male population)",0.8308500211224894
AIDS estimated deaths (UNAIDS estimates),0.7846549358056099
"Labor force, female (% of total labor force)",0.775876569363616
"Cost of business start-up procedures, female (% of GNI per capita)",0.7662990765318207
"Cost of business start-up procedures, male (% of GNI per capita)",0.7660961544538984
