,0
"Mortality rate, adult, female (per 1,000 female adults)",1.2342701615390825
"Mortality rate, neonatal (per 1,000 live births)",1.1724904828800873
"Mortality rate, under-5 (per 1,000)",1.1133696747608095
"Mortality rate, under-5 (per 1,000 live births)",1.1112936180519783
"Survival to age 65, female (% of cohort)",1.1010406305490055
"Mortality rate, adult, male (per 1,000 male adults)",1.0081702325904423
"Mortality rate, infant (per 1,000 live births)",0.9607827278892769
"Survival to age 65, male (% of cohort)",0.8585841111985031
Female population 40-44,0.8488112528387037
Female population 80+,0.845706950225658
Prevalence of anemia among children (% of children under 5),0.8349819559549365
Female population 35-39,0.8314469410002654
Male population 40-44,0.8178098728046175
Female population 60-64,0.7967028840729764
Male population 45-49,0.7814814864251942
Female population 75-79,0.777287020194569
"Population ages 65 and above, total",0.775310803481061
Male population 35-39,0.7738550309584937
Male population 65-69,0.7729699484852226
Prevalence of anemia among pregnant women (%),0.7717245433977324
"Population ages 65 and above, female",0.7690848035049753
Female population 45-49,0.7633469644208479
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.7573760485868677
Male population 50-54,0.7569968424580216
Female population 50-54,0.7568072041143532
Urban population,0.7492483659425258
Female population 55-59,0.7452879928642906
"Population ages 15-64, female",0.7289493509020266
Female population 65-69,0.7275196852933439
Male population 80+,0.7250565176384622
Female population 70-74,0.7235804871775895
"Population ages 65 and above, male",0.7187526891847558
"Age population, age 13, male, interpolated",0.7150362150774074
"Age population, age 07, female, interpolated",0.7147070828771946
"Age population, age 12, male, interpolated",0.7146082994704921
"Age population, age 14, male, interpolated",0.7135308115559353
"Age population, age 14, female, interpolated",0.7104796825944848
"Age population, age 08, female, interpolated",0.7098305383234917
Male population 10-14,0.7093371052177884
"Age population, age 16, male, interpolated",0.7086643826260941
"Age population, age 13, female, interpolated",0.7082745768048149
"Age population, age 15, male, interpolated",0.7078071384098772
"Age population, age 12, female, interpolated",0.7072766635515042
Female population 05-09,0.7062082161404164
"Age population, age 06, female, interpolated",0.7056624813031456
"Age population, age 07, male, interpolated",0.7038013371585636
"Age population, age 11, female, interpolated",0.703600795201325
"Age population, age 09, female, interpolated",0.7030527852904238
"Age population, age 10, male, interpolated",0.7029020602364349
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.7028260891150322
"Age population, age 10, female, interpolated",0.7027153698184727
"Age population, age 15, female, interpolated",0.7024130763122143
"Age population, age 06, male, interpolated",0.7019329102196332
"Age population, age 11, male, interpolated",0.7013555704473431
Male population 60-64,0.7008026123591673
Female population 10-14,0.700261372054825
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.7002140089893167
"Population ages 15-64, total",0.6985700103052763
"Age population, age 09, male, interpolated",0.6979882812839762
Male population 05-09,0.6967448640716047
"Age population, age 05, female, interpolated",0.6958891609918774
"Age population, age 16, female, interpolated",0.6956295904338297
"Population, female",0.6945254621708128
"Age population, age 08, male, interpolated",0.6935056472921834
"Age population, age 05, male, interpolated",0.6914287434340896
"Age population, age 17, female, interpolated",0.6906456576507622
"Age population, age 04, female, interpolated",0.689668087278565
"Age population, age 17, male, interpolated",0.6892703381203669
"Age population, age 25, female, interpolated",0.6865884245455183
"Population ages 00-14, total",0.6850886922927968
Female population 00-04,0.6850052945792138
"Age population, age 18, female, interpolated",0.683987848021296
"Population ages 0-14, female",0.6833668592017559
"Age population, age 02, female, interpolated",0.6821933094921162
"Population, total",0.6821313524621919
Male population 15-19,0.6810617674316752
Female population 25-29,0.680725893780628
"Population ages 15-64, male",0.6806767119675179
"Population ages 0-14, male",0.6803281337766114
"Age population, age 02, male, interpolated",0.6800385688664847
