,0
"Mortality rate, adult, male (per 1,000 male adults)",1.196805909417497
Rural population growth (annual %),1.0389891401176392
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.0370447526786073
"Population, female (% of total)",1.030884979077318
"Population, male (% of total)",1.030884979077318
"Labor force, female (% of total labor force)",1.0300731734071666
GDP per person employed (constant 2011 PPP $),1.0241386520171
Male population 80+,1.0089510713304288
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.998261096898855
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.9877449364192361
"Population ages 80 and older, male (% of male population)",0.9798848658024668
Prevalence of anemia among pregnant women (%),0.9530630606787027
Male population 60-64,0.94943508971685
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.9238496151074864
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.9223259295502291
"Age population, age 16, male, interpolated",0.9216904851439478
"Age population, age 16, female, interpolated",0.9213195104206038
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.9129565457230262
Number of neonatal deaths,0.9116297943070186
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.9093656789720703
Male population 15-19,0.9068879474209186
Female population 15-19,0.90465244855279
"Age population, age 15, male, interpolated",0.8994724649462857
"Age population, age 17, male, interpolated",0.8973735015155424
"Age population, age 17, female, interpolated",0.8938350836771303
Number of under-five deaths,0.892485017795039
"Age population, age 15, female, interpolated",0.8848645284501373
Number of infant deaths,0.88169322877455
"Age population, age 18, female, interpolated",0.876239517760901
"Age population, age 19, male, interpolated",0.875372416530688
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.8716180306345329
"Age population, age 18, male, interpolated",0.8713970814408443
"Age population, age 19, female, interpolated",0.8707591535829216
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.8539457878791108
"Age population, age 14, female, interpolated",0.846921833322446
"Age population, age 14, male, interpolated",0.8441414616409204
"Age population, age 20, female, interpolated",0.8429179745004889
"Age population, age 20, male, interpolated",0.8425763001332791
Male population 65-69,0.8389355564412877
"Age population, age 13, male, interpolated",0.8223915965952322
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.8187016897393158
Proportion of seats held by women in national parliaments (%),0.8173275071512962
Female population 60-64,0.8139327759350035
Male population 55-59,0.809906047659722
Female population 30-34,0.8080536659854403
"Age population, age 13, female, interpolated",0.8050466054927323
"GNI per capita, PPP (current international $)",0.8037244691749779
"Population ages 65 and above, male",0.8008381651346861
"Age population, age 21, male, interpolated",0.798614643426224
Female population 35-39,0.7949126801361686
"Age population, age 21, female, interpolated",0.7947663163825334
Health expenditure per capita (current US$),0.7939650016532713
Male population 40-44,0.7917802195612937
"GNI per capita, Atlas method (current US$)",0.79055432539728
Female population 45-49,0.7904580315654637
Female population 80+,0.7887722826377281
Male population 30-34,0.7847693331857453
"Mortality rate, adult, female (per 1,000 female adults)",0.784579450397052
"Age population, age 12, female, interpolated",0.7787374330790353
"Age population, age 12, male, interpolated",0.7753727298111872
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.7748843148630855
Female population 10-14,0.7709038436788034
"Population ages 35-39, female (% of female population)",0.7699216197788781
Male population 10-14,0.7687781001077034
"Time required to start a business, male (days)",0.7678930472256824
"Time required to start a business, female (days)",0.7678395538366933
Female population 40-44,0.7604209223969476
"Age population, age 22, male, interpolated",0.7580630144275202
Male population 20-24,0.756343057831784
Male population 45-49,0.752258570377742
Urban population (% of total),0.752053690613006
Rural population (% of total population),0.752053690613006
"Age population, age 04, male, interpolated",0.7508951637747565
Female population 55-59,0.7475025972416594
Male population 75-79,0.7473492370158186
"Age population, age 22, female, interpolated",0.7468705933980115
"Age population, age 04, female, interpolated",0.7456957937669497
"Population ages 65 and above, male (% of total)",0.7445845777721938
"Health expenditure per capita, PPP (constant 2011 international $)",0.7445098821354055
"Health expenditure per capita, PPP",0.7445098821354055
Female population 20-24,0.7444207190274956
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.7442767306072771
Male population 35-39,0.733809729986842
"Age population, age 03, male, interpolated",0.7333231347911526
"Age population, age 03, female, interpolated",0.733030956787571
Male population 00-04,0.7326725756208843
"Age population, age 02, female, interpolated",0.7324636901499753
Male population 70-74,0.7318897568016653
"Age population, age 02, male, interpolated",0.7290044287463555
Female population 00-04,0.7268808500889539
"Population ages 60-64, male (% of male population)",0.7237805320697484
"Age population, age 01, male, interpolated",0.723029381144451
"Age population, age 01, female, interpolated",0.7188668580375708
"Population ages 15-64, total",0.7186461003142453
"Age population, age 11, female, interpolated",0.7170068857113772
"Population ages 15-64, female",0.7162405899710935
"Population ages 15-64, male",0.7160501777665738
Female population 65-69,0.716042531219012
"Population, total",0.7156186844801935
Population ages 65 and above (% of total),0.7143522144791414
"Population, female",0.7139624543838152
"Age population, age 11, male, interpolated",0.7088776690726635
"Start-up procedures to register a business, male (number)",0.7085475812714699
Female population 50-54,0.7079709351865018
"Population ages 20-24, male (% of male population)",0.704219204442968
GDP per capita (Current US$),0.7018956016219526
Female population 70-74,0.7000703873732201
"Population ages 65 and above, total",0.69326533925202
Female population 75-79,0.6927517783565675
"Start-up procedures to register a business, female (number)",0.6921107504729207
"Population, male",0.6917213626356489
"Age population, age 0, male, interpolated",0.6913996547196828
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.6887546825461182
"Population ages 20-24, female (% of female population)",0.6884948637765969
"Age population, age 0, female, interpolated",0.6882901009456801
"Mortality rate, under-5 (per 1,000 live births)",0.6876410755781968
"Age population, age 05, male, interpolated",0.6862392244870104
"Labor force, total",0.6840258870557911
"Labor force, female",0.6814481908083707
"Age population, age 05, female, interpolated",0.6811511901409093
"Age population, age 23, female, interpolated",0.6804820738442348
"Age dependency ratio, old",0.6754408494646116
"Mortality rate, under-5 (per 1,000)",0.6740031384451681
"Population ages 65 and above, female",0.6736699782095004
"Population ages 35-39, male (% of male population)",0.6643820630259785
"Age population, age 10, female, interpolated",0.6612872968185528
"Age population, age 10, male, interpolated",0.6608902533717687
"Age population, age 23, male, interpolated",0.6540840265166168
Urban population growth (annual %),0.6516397427855245
"Mortality rate, neonatal (per 1,000 live births)",0.6488000535880301
"Population ages 75-79, male (% of male population)",0.6475695437467892
"Age population, age 06, male, interpolated",0.6454580336594249
"Age population, age 06, female, interpolated",0.6389380990689049
"Population ages 65 and above, female (% of total)",0.6246418676083367
"Population ages 45-49, female (% of female population)",0.6215374904272366
"Population ages 0-14, male",0.620881074715075
Country_code,0.620845869772449
Female population 05-09,0.6182588576188095
"Population ages 00-14, total",0.6179316221737461
"Population ages 0-14, female",0.6167819998959321
"Mortality rate, infant (per 1,000 live births)",0.6154418133337405
"Age population, age 09, female, interpolated",0.6145642095145143
Male population 05-09,0.6144569839916787
Male population 50-54,0.613750612326575
"Age population, age 07, male, interpolated",0.6098645375059739
"Age population, age 09, male, interpolated",0.6098269791227355
"Age population, age 07, female, interpolated",0.6098015814176034
"Population ages 15-64, female (% of total)",0.6095913141692679
Male population 25-29,0.6075855594722752
Population growth (annual %),0.594895583592721
"Age population, age 08, female, interpolated",0.5944950861062759
"Population ages 15-19, male (% of male population)",0.593697804521895
"Age population, age 08, male, interpolated",0.5936744205291984
Female population 25-29,0.5914659009738703
"Incidence of tuberculosis (per 100,000 people)",0.5906993861711769
Trade (% of GDP),0.5901453669496064
"GNI, Atlas method (current US$)",0.5895892175121904
Urban population,0.5887773036374067
"Children out of school, primary, male",0.5879117812344425
Rural population,0.5832934973569857
GDP (current US$),0.5831683828689838
"Age population, age 24, female, interpolated",0.5710940403315874
"Population ages 60-64, female (% of female population)",0.5645327496908141
Internet users (per 100 people),0.5628362524708725
"Net ODA provided, total (current US$)",0.5627434461924208
"Age population, age 24, male, interpolated",0.5575001068363115
"Population ages 15-64, male (% of total)",0.5524214906734728
"Age population, age 25, female, interpolated",0.5489768203881875
"Net ODA provided, total (constant 2015 US$)",0.5399279385034148
"Age population, age 25, male, interpolated",0.5393413743806856
"Population ages 75-79, female (% of female population)",0.532945115126366
Age dependency ratio (% of working-age population),0.5201294284050739
Population ages 15-64 (% of total),0.5194881354274741
"Children out of school, primary, female",0.5171655204749954
"Population ages 25-29, female (% of female population)",0.516688771248377
Adults (ages 15+) and children (0-14 years) living with HIV,0.5158038274858525
"Population ages 55-59, male (% of male population)",0.5065442092880721
Lifetime risk of maternal death (1 in: rate varies by country),0.5044400484306513
CO2 emissions (kt),0.49538173144548536
"Population ages 45-49, male (% of male population)",0.49505591986193
Number of maternal deaths,0.48868508237010944
"Population ages 50-54, female (% of female population)",0.48868048056191427
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.48580998750516313
Children orphaned by HIV/AIDS,0.48397812521364014
"Population ages 30-34, female (% of female population)",0.4739211782718815
"Population ages 15-19, female (% of female population)",0.47109097407228706
Adults (ages 15+) living with HIV,0.4681220748334438
"Population ages 25-29, male (% of male population)",0.45973386214770207
"Survival to age 65, male (% of cohort)",0.45666352110308983
"Total debt service (% of exports of goods, services and primary income)",0.45452275984419277
Fixed telephone subscriptions (per 100 people),0.44436218047311193
"Cost of business start-up procedures, female (% of GNI per capita)",0.438307957652889
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.4380897143438127
"Population ages 80 and older, female (% of female population)",0.43369902499667656
"Population ages 00-04, female (% of female population)",0.4335167890576339
"Cost of business start-up procedures, male (% of GNI per capita)",0.43222863158023683
People using safely managed sanitation services (% of population),0.41216241498267214
"Health expenditure, total (current US$)",0.41149432941741404
"Employment to population ratio, ages 15-24, female (%) (national estimate)",0.4053697671681762
"Population ages 00-14, male (% of total)",0.39961009010099424
"PPP conversion factor, private consumption (LCU per international $)",0.39922655004302743
"PPP conversion factor, GDP (LCU per international $)",0.39859413859620374
"Labor force with basic education, male (% of male working-age population with basic education)",0.39397675655036
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",0.39042639186648054
