,0
"Population ages 00-14, female (% of total)",1.4818243331614727
Urban population (% of total),1.4126282456355532
Rural population (% of total population),1.4126282456355532
"Population ages 75-79, male (% of male population)",1.4121774879008153
"Population ages 70-74, male (% of male population)",1.4040219816152992
"Population ages 65 and above, male (% of total)",1.392633586427316
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",1.3872898840845436
Population ages 00-14 (% of total),1.3834606204421707
Population ages 0-14 (% of total),1.3834606204421707
"Age dependency ratio, young",1.382645501955331
"Population ages 00-14, male (% of total)",1.371634823689903
"Population ages 50-54, male (% of male population)",1.3617957549056081
Urban population growth (annual %),1.3529887321407814
"Population ages 65 and above, female (% of total)",1.3439196716635038
"Population ages 15-64, male (% of total)",1.3426202861887389
"Population ages 00-04, female (% of female population)",1.3362162574566465
"Population ages 50-54, female (% of female population)",1.3278667908111879
"Population ages 40-44, male (% of male population)",1.2627433345092702
"Population ages10-14, male (% of male population)",1.261014286593465
"Population ages 10-14, female (% of female population)",1.257474217823963
"Population ages 45-49, female (% of female population)",1.25556522311013
"Population ages 00-04, male (% of male population)",1.2551771717205247
"Population ages 70-74, female (% of female population)",1.2460158292213597
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",1.2367480675904554
"Population ages 45-49, male (% of male population)",1.2292220714249784
Rural population growth (annual %),1.2265999137803887
"Population ages 80 and older, male (% of male population)",1.2212265341693396
"Population ages 05-09, female (% of female population)",1.213177404613072
"Mortality rate, adult, female (per 1,000 female adults)",1.212596324236894
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.208490649625561
"Population ages 15-64, female (% of total)",1.200810089468658
Population ages 15-64 (% of total),1.1945820259821904
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",1.1923758506401851
"Population ages 75-79, female (% of female population)",1.191906937536338
"Population ages 40-44, female (% of female population)",1.191798606780603
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",1.1911299761645946
"Population ages 05-09, male (% of male population)",1.187604219217232
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.1791619280405743
Age dependency ratio (% of working-age population),1.1786314033088785
"Population ages 80 and older, female (% of female population)",1.1763340051013567
Urban population,1.1638667436741654
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",1.1589287806943813
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",1.1563037676624925
"Population ages 65-69, male (% of male population)",1.1442829691859167
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",1.1238515534010978
Population ages 65 and above (% of total),1.1218837353668072
"Population ages 15-19, female (% of female population)",1.1212856293704898
Lifetime risk of maternal death (1 in: rate varies by country),1.1181374891548357
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",1.1169613235483529
"Population ages 60-64, female (% of female population)",1.1138250963348066
"Population, female (% of total)",1.1134005847510124
"Population, male (% of total)",1.1134005847510124
"Population ages 55-59, female (% of female population)",1.1113979996947196
GDP per capita (Current US$),1.1103622043430683
"Unemployment, female (% of female labor force) (modeled ILO estimate)",1.0980237869952703
"Unemployment, female (% of female labor force)",1.0980237869952703
"Population ages 15-19, male (% of male population)",1.093855087976893
"Unemployment, total (% of total labor force)",1.0882518782317654
"Population ages 65-69, female (% of female population)",1.0822284046752344
"Population ages 55-59, male (% of male population)",1.0720334825933773
"Unemployment, male (% of male labor force) (modeled ILO estimate)",1.0696990701621496
"Unemployment, male (% of male labor force)",1.0696990701621496
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.0652757900005336
"Labor force, female (% of total labor force)",1.0558952023697954
"GNI per capita, Atlas method (current US$)",1.0517229949212503
Population growth (annual %),1.0504367005849216
Number of under-five deaths,1.0445876151042863
Number of infant deaths,1.0439985021937992
"Population ages 60-64, male (% of male population)",1.0197104205215657
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",1.0183409205963492
"Age dependency ratio, old",1.007883020428246
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",1.0067699552790368
Number of neonatal deaths,0.9935846243115753
"GNI per capita, PPP (current international $)",0.9731802519239658
"Population ages 35-39, female (% of female population)",0.9239657536633863
Female population 70-74,0.9214187866802119
Net official development assistance and official aid received (current US$),0.9104574743054734
