,0
"Population ages 65-69, male (% of male population)",1.473875800467185
"Population ages 75-79, male (% of male population)",1.456379494387797
"Mortality rate, under-5 (per 1,000 live births)",1.4523881245220438
"Mortality rate, under-5 (per 1,000)",1.4523881245220438
"Population ages 75-79, female (% of female population)",1.4458944482556824
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.4315381459791292
Female population 55-59,1.4073636411216441
Male population 55-59,1.402663768093309
"Mortality rate, neonatal (per 1,000 live births)",1.3709341310941938
"Population ages 70-74, female (% of female population)",1.3538585105722007
"Population ages 15-64, female (% of total)",1.347782798743669
"Age population, age 21, female, interpolated",1.3143639369279008
"Age population, age 22, female, interpolated",1.3095513866711332
"Mortality rate, infant (per 1,000 live births)",1.3056594604137368
Female population 20-24,1.3054207442663874
"Age population, age 19, male, interpolated",1.3040220427327895
"Population ages 15-64, male",1.3038950944866916
Male population 35-39,1.3029367773927536
"Age population, age 18, male, interpolated",1.3012636599450451
Male population 75-79,1.2996574537161898
"Age population, age 23, female, interpolated",1.2965006396124894
"Age population, age 20, female, interpolated",1.2936366945572266
"Age population, age 20, male, interpolated",1.2922919131183985
Male population 30-34,1.2888273044770053
"Age population, age 24, female, interpolated",1.284180855695277
"Age population, age 17, male, interpolated",1.2836696392725992
"Population ages 15-64, total",1.282721701665885
Male population 15-19,1.2806119072992972
"Age population, age 21, male, interpolated",1.2692522935148227
"Population ages 65 and above, female (% of total)",1.2689454336759507
"Population ages 15-64, female",1.2627187139311504
"Population ages 65 and above, male (% of total)",1.255888212301624
"Population, male",1.2553431451184938
"Age population, age 16, male, interpolated",1.2547203916548983
"Age population, age 22, male, interpolated",1.2541035127513278
"Population ages 70-74, male (% of male population)",1.2525453166223253
"Age population, age 23, male, interpolated",1.2525419418913273
"Age population, age 24, male, interpolated",1.251621939320939
"Age population, age 19, female, interpolated",1.2513969024228464
Male population 70-74,1.2507215116924078
Male population 40-44,1.250045813006329
"Age population, age 25, female, interpolated",1.249264225820294
Male population 20-24,1.2457668548530798
"Age population, age 25, male, interpolated",1.2439262382034695
Male population 80+,1.2400744523154088
Male population 25-29,1.2396419955122306
Female population 35-39,1.2388653577341406
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",1.2384900556596121
Male population 45-49,1.2372352321659443
Population ages 65 and above (% of total),1.2361363215897327
"Age dependency ratio, young",1.233462295535543
Age dependency ratio (% of working-age population),1.2332969686556292
Male population 50-54,1.2253015895348467
"Population ages 65 and above, male",1.223270960304906
Female population 25-29,1.2208591671037372
"Age population, age 15, male, interpolated",1.2174136015382275
Female population 30-34,1.2152880520117042
"Age population, age 18, female, interpolated",1.2122036069300814
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.2094459471473746
"Population, total",1.206071268609178
"Population ages 65-69, female (% of female population)",1.2036554786078475
Population ages 15-64 (% of total),1.1947038278747706
Female population 80+,1.1940002309022952
Female population 40-44,1.1922776296860926
Female population 75-79,1.1889305414180875
Female population 70-74,1.1837593689985313
"Population, female",1.18228830973143
"Population ages 65 and above, total",1.1821991893821788
"Population ages 60-64, male (% of male population)",1.1801160847243422
"Age population, age 14, male, interpolated",1.1764262165805741
"Age population, age 09, male, interpolated",1.171376480957997
Population ages 00-14 (% of total),1.1712224437654857
Population ages 0-14 (% of total),1.1712224437654857
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",1.1674806444748613
"Population ages 15-64, male (% of total)",1.1664576404952545
"Age population, age 10, male, interpolated",1.1659756526114116
"Age population, age 17, female, interpolated",1.1635870797518018
Female population 45-49,1.1624880097318495
"Age population, age 08, male, interpolated",1.1619989518816134
Rural population (% of total population),1.161752152639813
Urban population (% of total),1.161752152639813
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1.161674280263797
"Age population, age 07, male, interpolated",1.161399797187399
"Age population, age 13, male, interpolated",1.1570934227861425
Female population 15-19,1.1568379480261588
"Population ages 65 and above, female",1.156412922668789
"Age population, age 06, male, interpolated",1.1534114393326789
Male population 05-09,1.1518538649933832
Adults (ages 15+) and children (0-14 years) living with HIV,1.144834277220022
Prevalence of anemia among children (% of children under 5),1.1431888947845468
"Age population, age 11, male, interpolated",1.1427605418835065
"Age population, age 12, male, interpolated",1.1423036274873093
Male population 10-14,1.1415860677361362
"Population ages 00-14, female (% of total)",1.1400859098779799
"Labor force, total",1.1367802781457554
Male population 60-64,1.1353222114603667
"Age population, age 05, male, interpolated",1.1345324541721808
"Age population, age 16, female, interpolated",1.133710133626322
Male population 65-69,1.1299366261629356
"Age population, age 04, male, interpolated",1.128772638897771
"Age population, age 06, female, interpolated",1.12673323547916
Female population 60-64,1.1260182203344684
"Population ages 0-14, male",1.1259919639390918
"Age population, age 07, female, interpolated",1.124223978948008
Children (0-14) living with HIV,1.123253972856246
"Age dependency ratio, old",1.1218077950753989
Female population 05-09,1.1211910991294143
"Mortality rate, adult, male (per 1,000 male adults)",1.1210194408625453
"Age population, age 09, female, interpolated",1.1209360433349866
"Age population, age 05, female, interpolated",1.1173796980268826
"Age population, age 08, female, interpolated",1.1172145026230238
"Age population, age 15, female, interpolated",1.1168708449535405
"Population ages 00-14, male (% of total)",1.11573016946692
