,0
Rural population (% of total population),1.4317120437604336
Urban population (% of total),1.4317120437604336
Urban population,0.9362353951150251
Country_code,0.8809816894586504
"Population, total",0.8678963928474515
Internet users (per 100 people),0.7993698425103082
"Age population, age 13, female, interpolated",0.75586989934045
Female population 50-54,0.7526386068234436
"GNI per capita, PPP (current international $)",0.7510385828089108
"Age population, age 22, male, interpolated",0.7509379265513347
Female population 20-24,0.7488971102248039
"Labor force, female",0.7479050467327408
Male population 20-24,0.7461193324470261
"Population, male",0.7459492644198149
"Age population, age 13, male, interpolated",0.7435966567100649
Male population 50-54,0.7434832780252578
"Population, female",0.7425479038755975
"Age population, age 22, female, interpolated",0.7395433687282056
"Age population, age 12, male, interpolated",0.7389386824092334
"Age population, age 03, male, interpolated",0.7387780626057565
"Age population, age 12, female, interpolated",0.7365577300282811
"Labor force, total",0.7342145705422642
Female population 80+,0.7330146461280542
"Population ages 65 and above, female",0.7328626156188809
Female population 10-14,0.7324572009277515
"Age population, age 14, female, interpolated",0.7320603755309263
Female population 25-29,0.7257111691817197
"Age population, age 03, female, interpolated",0.7249931041779407
Male population 75-79,0.7239254548960057
Female population 30-34,0.7222814639663004
"Age population, age 21, male, interpolated",0.7214594685014477
Female population 00-04,0.7209492644198152
"Age population, age 14, male, interpolated",0.7183698993404499
"Population ages 65 and above, total",0.7172438428572512
Male population 10-14,0.7155637768914707
"Age population, age 02, female, interpolated",0.7153937088642597
"Age population, age 02, male, interpolated",0.7137780626057557
Male population 25-29,0.7117939356216294
Male population 00-04,0.7100365660071168
Female population 55-59,0.7036298113860768
Population growth (annual %),0.7015986343353497
"Age population, age 04, male, interpolated",0.7007962031953254
"Age population, age 21, female, interpolated",0.6990671782520148
"Population ages 15-64, female",0.6924628698619921
Male population 40-44,0.6906196073044439
Male population 55-59,0.6878323813029321
"Population ages 15-64, total",0.6865104889096112
Male population 30-34,0.6857168381159606
"Age population, age 04, female, interpolated",0.6852916680479331
"Age population, age 23, female, interpolated",0.6848381533087042
"Age population, age 23, male, interpolated",0.6822304435581374
"Age population, age 15, male, interpolated",0.6821076166495961
"Population ages 15-64, male",0.6774874352436999
Female population 40-44,0.6761174428022789
"Age population, age 15, female, interpolated",0.6748608290456657
"Age population, age 25, female, interpolated",0.6659322576170943
"Age population, age 01, female, interpolated",0.661973451872574
"Population ages 65 and above, male",0.6565473303750242
"Age population, age 24, female, interpolated",0.6494640036488404
"Age population, age 24, male, interpolated",0.6485002848279788
"Age population, age 05, male, interpolated",0.6482262863396946
"Age population, age 01, male, interpolated",0.647045258372952
Male population 60-64,0.646879980529103
Female population 60-64,0.646270570098264
