,0
"Population ages 65 and above, female",1.2087398636108988
"Age population, age 04, female, interpolated",1.1487346409664445
Female population 45-49,1.1461614376878657
"Population ages 00-14, female (% of total)",1.1461055278235164
"Population ages 75-79, female (% of female population)",1.1415501084295618
Male population 35-39,1.1346183162096035
"Age population, age 06, male, interpolated",1.1344644268104882
Male population 45-49,1.1319647781746718
Male population 75-79,1.1319047453706
"Age population, age 05, male, interpolated",1.129373080556761
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.121945809660002
"Age population, age 04, male, interpolated",1.1201945387281662
"Age population, age 05, female, interpolated",1.117563161717218
"Age population, age 06, female, interpolated",1.109361242160483
Male population 65-69,1.10411136978821
Male population 55-59,1.1038381573944793
Female population 35-39,1.103534339695151
Female population 40-44,1.1018929247056222
Female population 30-34,1.0976659657858785
"Age dependency ratio, young",1.0953682820053818
"Age population, age 07, male, interpolated",1.0887489182116354
Female population 55-59,1.0843469475914365
"Age population, age 07, female, interpolated",1.0823597580539182
"Mortality rate, adult, male (per 1,000 male adults)",1.080453238159564
Male population 05-09,1.0800673566393368
Female population 05-09,1.0763504518932474
"Age population, age 12, male, interpolated",1.0721094403100468
"Age population, age 03, female, interpolated",1.0674871035308118
"Age population, age 13, male, interpolated",1.0671297380602742
Male population 60-64,1.0663160311126014
"Population ages 15-64, female",1.064012020243431
"Population ages 65 and above, total",1.0623322228491943
Rural population (% of total population),1.0616603495674988
Urban population (% of total),1.061113004192567
"Age population, age 13, female, interpolated",1.0603742767561903
"Age population, age 20, male, interpolated",1.0578285868786308
"Age population, age 20, female, interpolated",1.0573121510871757
"Age population, age 08, male, interpolated",1.057017920532802
"Age population, age 03, male, interpolated",1.0558302205587649
Population ages 0-14 (% of total),1.0532711743475782
Population ages 00-14 (% of total),1.0532711743475782
Male population 40-44,1.052955052525828
"Population ages 65 and above, male",1.0523572174302696
"Age population, age 11, female, interpolated",1.05065873745703
Male population 20-24,1.050606215153727
"Age population, age 08, female, interpolated",1.0501860441674578
"Age population, age 22, male, interpolated",1.0488595821120277
"Age population, age 12, female, interpolated",1.0477389646041555
Female population 20-24,1.0462738736100885
"Age population, age 11, male, interpolated",1.0449774593084906
Male population 10-14,1.043281489224888
"Age population, age 21, male, interpolated",1.0414804666516053
"Population, female",1.0411614417975024
Female population 10-14,1.0401970398023952
"Age population, age 09, male, interpolated",1.0346136405214414
"Age population, age 10, male, interpolated",1.0331390860424188
Male population 50-54,1.0331303803897218
"GNI per capita, Atlas method (current US$)",1.0288096919384166
"Age population, age 0, male, interpolated",1.0271951001748598
Male population 30-34,1.025635871366807
"Age population, age 09, female, interpolated",1.0251639131286052
Female population 50-54,1.0250102722054697
"Age population, age 0, female, interpolated",1.0248650481267934
"Age population, age 10, female, interpolated",1.0242551199030028
