,0
"Population ages 80 and older, female (% of female population)",1.6737299237413161
"Mortality rate, neonatal (per 1,000 live births)",1.638657635472287
"Population ages 80 and older, male (% of male population)",1.6111750373088913
"Mortality rate, infant (per 1,000 live births)",1.5878126452831651
"Mortality rate, under-5 (per 1,000 live births)",1.571158256749965
"Mortality rate, under-5 (per 1,000)",1.569030480814416
"Population ages 65 and above, female (% of total)",1.5493416449137052
"Age dependency ratio, old",1.4787715409446842
Prevalence of anemia among non-pregnant women (% of women ages 15-49),1.4763371702289207
Population ages 65 and above (% of total),1.4736898272211851
Prevalence of anemia among women of reproductive age (% of women ages 15-49),1.43027625700657
"Population ages 65 and above, male (% of total)",1.400476610464438
"Population ages 75-79, male (% of male population)",1.369599022231942
Rural population (% of total population),1.3676691742718217
Urban population (% of total),1.3676691742718217
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",1.3610551571608949
"Population ages 70-74, female (% of female population)",1.3540258047420224
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",1.3272546183247846
"Population ages 75-79, female (% of female population)",1.3218577148199298
Prevalence of anemia among children (% of children under 5),1.3054730343104537
Fixed telephone subscriptions (per 100 people),1.2999173681344605
GDP per person employed (constant 2011 PPP $),1.2936688689234423
Urban population growth (annual %),1.2928838727153207
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",1.2884312914821772
"Population, male (% of total)",1.2848649888792874
"Population, female (% of total)",1.2848649888792874
Women's share of population ages 15+ living with HIV (%),1.2762859501522188
"Population ages 20-24, female (% of female population)",1.258035804183414
"Population ages 70-74, male (% of male population)",1.2385366754783043
"Population ages 65-69, female (% of female population)",1.2312024396739831
"Population ages 20-24, male (% of male population)",1.1829153438985207
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.1803367895078911
"Population ages 00-04, female (% of female population)",1.1658076759100982
"Population ages 15-64, female (% of total)",1.1614391617375337
Prevalence of anemia among pregnant women (%),1.1555398485446604
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",1.1487951613798453
Age dependency ratio (% of working-age population),1.1295368247096702
Population ages 15-64 (% of total),1.1288628281556954
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",1.1238936061220324
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.1191062963272227
"Population ages 25-29, male (% of male population)",1.1042571142335538
"Population ages 40-44, male (% of male population)",1.1019873008361567
"Labor force, female (% of total labor force)",1.0999068679821273
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.0929069459158738
Population growth (annual %),1.0915961545180481
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",1.0837470669792073
Rural population growth (annual %),1.0745803876020292
"Population ages 25-29, female (% of female population)",1.0476110398032668
Male population 80+,1.046736052862348
"Population ages 15-19, male (% of male population)",1.046103011293824
"Population ages 60-64, female (% of female population)",1.0438779865970749
"Population ages 60-64, male (% of male population)",1.0336534153381294
Female population 80+,1.0284149397459146
"Population ages 65-69, male (% of male population)",1.0268091125872454
"Population ages 00-04, male (% of male population)",1.0253130216141058
"Population ages10-14, male (% of male population)",1.0220298856845842
"Age dependency ratio, young",1.0187148440986915
"Population ages 00-14, female (% of total)",1.015604512379142
"Population ages 15-19, female (% of female population)",1.0133240705071254
"Population ages 15-64, male (% of total)",1.0082679794237528
Country_code,1.0059261053412625
Children orphaned by HIV/AIDS,0.994443001845136
Number of under-five deaths,0.9918811716370532
AIDS estimated deaths (UNAIDS estimates),0.9916477167916402
"PPP conversion factor, GDP (LCU per international $)",0.9915898797325007
"Population ages 65 and above, male",0.9855847462799958
"Population ages 05-09, female (% of female population)",0.9705183761675311
"PPP conversion factor, private consumption (LCU per international $)",0.9677306260694831
"Population ages 10-14, female (% of female population)",0.9640007901626011
Population ages 00-14 (% of total),0.9632162054525604
Population ages 0-14 (% of total),0.9632162054525604
Male population 70-74,0.9597381583486919
"Population ages 65 and above, total",0.9591303145804253
"Population ages 45-49, female (% of female population)",0.9552965020313366
"Population ages 45-49, male (% of male population)",0.949272089962867
"Population ages 65 and above, female",0.9445612358766664
"Population ages 00-14, male (% of total)",0.94126188626998
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.9304793691946971
"Population ages 05-09, male (% of male population)",0.923053913614674
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.9117721681028721
Female population 70-74,0.9089865515432651
Male population 75-79,0.9011516048647392
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.8928491214302843
"Population ages 40-44, female (% of female population)",0.8611653150145484
