,0
"Mortality rate, under-5 (per 1,000 live births)",1.9934719394208864
"Mortality rate, under-5 (per 1,000)",1.9923381525728137
"Mortality rate, infant (per 1,000 live births)",1.915551825823478
"Mortality rate, neonatal (per 1,000 live births)",1.8970800118611901
Urban population (% of total),1.633552807497978
Rural population (% of total population),1.633552807497978
"Labor force, female (% of total labor force)",1.6302551076346057
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.5939637685757275
"Population ages 40-44, male (% of male population)",1.5724361325780292
Health expenditure per capita (current US$),1.562703667699276
"Population ages 45-49, male (% of male population)",1.5212920906240903
"Health expenditure per capita, PPP (constant 2011 international $)",1.5209466272838412
"Health expenditure per capita, PPP",1.5209466272838412
"Population ages 35-39, female (% of female population)",1.5180419179829476
GDP per person employed (constant 2011 PPP $),1.5128926506326783
"Population ages 40-44, female (% of female population)",1.5115651909776946
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.4944188299108583
"Population ages 00-04, male (% of male population)",1.4897296619225036
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",1.4856740408750218
"Population, female (% of total)",1.4708077913883444
"Population, male (% of total)",1.4708077913883444
"Mortality rate, adult, female (per 1,000 female adults)",1.4682383593404218
"GNI per capita, PPP (current international $)",1.4656434802131737
"Population ages 00-14, male (% of total)",1.4486141758638422
"Population ages 35-39, male (% of male population)",1.4235865865116208
Lifetime risk of maternal death (1 in: rate varies by country),1.4172021375518553
"Age dependency ratio, young",1.4111345874193386
Population ages 0-14 (% of total),1.4012860015564557
Population ages 00-14 (% of total),1.4012860015564557
"Population ages 65 and above, male",1.390993907229355
"Population ages 65 and above, total",1.3897687849999862
Fixed telephone subscriptions (per 100 people),1.3885490694399978
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.3799302397269204
Male population 70-74,1.3724742240291403
"GNI per capita, Atlas method (current US$)",1.362850088915574
"Population ages 15-64, male (% of total)",1.3619375564202278
"Population ages 65 and above, female",1.3579156064230742
"Population ages 15-64, female (% of total)",1.3566011407169856
"Population ages 45-49, female (% of female population)",1.3511565180309115
"Population ages 15-19, male (% of male population)",1.3496180877568618
Population ages 15-64 (% of total),1.3388969107820676
"Population ages 10-14, female (% of female population)",1.3373571528329267
GDP per capita (Current US$),1.330468118563342
Female population 70-74,1.330309518700057
"Population ages 00-04, female (% of female population)",1.3277394300411132
"Population ages 00-14, female (% of total)",1.3237756620732783
Age dependency ratio (% of working-age population),1.3236927455304746
Male population 30-34,1.3148402922004458
Prevalence of anemia among non-pregnant women (% of women ages 15-49),1.310903311234334
Male population 75-79,1.3108820723802048
"Population, male",1.3033424242048601
"Population, total",1.2986106929951158
Prevalence of anemia among women of reproductive age (% of women ages 15-49),1.2958943549279098
"Unemployment, female (% of female labor force) (modeled ILO estimate)",1.291054347359915
"Unemployment, female (% of female labor force)",1.290372993737385
"Population, female",1.2863846754893802
"Population ages 05-09, female (% of female population)",1.2850494862495347
Male population 65-69,1.2836700885281536
Female population 30-34,1.2793485655505423
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",1.276261089341935
"Population ages 05-09, male (% of male population)",1.275181202966622
Urban population,1.2741782316492427
Prevalence of anemia among children (% of children under 5),1.271801933350714
Female population 75-79,1.2681937039382791
Female population 50-54,1.2646273163407205
Female population 80+,1.26172162968491
CO2 emissions (kt),1.258990591958999
"Population ages 15-64, male",1.2583502316600277
Female population 65-69,1.2579199894955253
"Population ages10-14, male (% of male population)",1.2449967319780706
"Population ages 15-64, total",1.2423476776821218
Male population 25-29,1.2367110835169655
Female population 55-59,1.2367015416193774
Male population 50-54,1.228043629631638
Male population 80+,1.2274783856690097
Female population 45-49,1.2213154480023145
Female population 60-64,1.2192621067883
"Population ages 15-64, female",1.2192147181186028
"Population ages 15-19, female (% of female population)",1.2168125660305145
"Age dependency ratio, old",1.2129198567846502
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",1.2086195889844373
Prevalence of anemia among pregnant women (%),1.2049460977015518
Female population 25-29,1.1910958870936692
"Labor force, total",1.1847231975212882
Male population 55-59,1.1814732014946454
"Population ages 75-79, male (% of male population)",1.1808993140042303
Male population 60-64,1.1802921012334644
"Population ages 70-74, male (% of male population)",1.1766748512339351
"Population ages 50-54, male (% of male population)",1.1766638737006963
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",1.1748161431659914
Trade (% of GDP),1.1703509501411737
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",1.1697373394348656
