,0
"Mortality rate, adult, male (per 1,000 male adults)",1.227988237230271
"Mortality rate, under-5 (per 1,000 live births)",1.1608133265014164
"Mortality rate, under-5 (per 1,000)",1.1608133265014164
"Mortality rate, adult, female (per 1,000 female adults)",1.0531629213357196
"Population ages 30-34, female (% of female population)",1.0011146293314663
"Population ages 30-34, male (% of male population)",0.9347506384672695
Mobile cellular subscriptions (per 100 people),0.9178594044926562
"Access to anti-retroviral drugs, female (%)",0.9156416110342809
Antiretroviral therapy coverage (% of people living with HIV),0.8456844396180299
"Population ages 25-29, female (% of female population)",0.8435701020110811
"Mortality rate, infant (per 1,000 live births)",0.8357136602327069
"Access to anti-retroviral drugs, male (%)",0.8171234819148063
"Population ages 60-64, female (% of female population)",0.7953731185942505
"GNI per capita, PPP (current international $)",0.7939013416944771
"PPP conversion factor, GDP (LCU per international $)",0.7857222134505366
Prevalence of anemia among pregnant women (%),0.7842925385225374
"Population ages 65-69, male (% of male population)",0.7492286752423181
"Population ages 80 and older, female (% of female population)",0.7355993172246076
Population ages 65 and above (% of total),0.714967340579137
"Population ages 05-09, male (% of male population)",0.7077898382046022
"Incidence of tuberculosis (per 100,000 people)",0.7032836646553924
"Population ages 75-79, male (% of male population)",0.7031256323612829
"Population ages 05-09, female (% of female population)",0.7018101373805843
Urban population growth (annual %),0.6985545341172665
"Population ages 70-74, male (% of male population)",0.6677047574509061
Internet users (per 100 people),0.6635714762668714
"Population ages 55-59, female (% of female population)",0.6597159664804111
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.6536751389344504
"Population ages 40-44, female (% of female population)",0.6464913734495017
"Population ages 20-24, female (% of female population)",0.6406078933282711
Incidence of HIV (% of uninfected population ages 15-49),0.6390979532798569
"Population ages 00-14, female (% of total)",0.6345161091907205
"Population ages 45-49, male (% of male population)",0.6338842541753187
"Population ages 35-39, female (% of female population)",0.6261822800111414
Population growth (annual %),0.6254114463098803
"Population ages 65 and above, female (% of total)",0.6120494457331227
"Prevalence of HIV, female (% ages 15-24)",0.6110402015537093
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.609105697757649
"Population ages 65-69, female (% of female population)",0.6034925753133797
"Population ages 35-39, male (% of male population)",0.5963848176877047
