,0
"Mortality rate, infant (per 1,000 live births)",1.5601096175475717
"Mortality rate, under-5 (per 1,000)",1.5313746090847702
"Mortality rate, under-5 (per 1,000 live births)",1.5287704424181037
"Population ages 00-14, female (% of total)",1.509775565454456
"Population ages 00-04, male (% of male population)",1.4976941966267185
"Population ages 00-14, male (% of total)",1.4652034396102174
Age dependency ratio (% of working-age population),1.4651299059433405
"Mortality rate, neonatal (per 1,000 live births)",1.4560940979542385
Population ages 15-64 (% of total),1.4446254085614907
Prevalence of anemia among children (% of children under 5),1.4363236910548556
"Population ages 15-64, male (% of total)",1.4227231111292928
"Population ages 15-64, female (% of total)",1.364641487802404
"Population ages 05-09, male (% of male population)",1.3565713380516664
Population ages 0-14 (% of total),1.3501991590065923
Population ages 00-14 (% of total),1.3501991590065923
"Population ages 70-74, male (% of male population)",1.3443617851563012
"Population ages 45-49, male (% of male population)",1.3313316743404182
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.3164371779097186
"Age dependency ratio, young",1.3158973760842305
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.3071080186641155
"Population ages 45-49, female (% of female population)",1.303794374169723
"Population ages 00-04, female (% of female population)",1.301747490003724
Rural population growth (annual %),1.297550873121178
"Labor force, female (% of total labor force)",1.2824176888132839
"Population ages 40-44, male (% of male population)",1.278579645151111
"Population ages 40-44, female (% of female population)",1.2416925766002045
"Age dependency ratio, old",1.2286755443187647
"Population ages10-14, male (% of male population)",1.217805449674136
Prevalence of anemia among pregnant women (%),1.2162868755475666
"Population ages 05-09, female (% of female population)",1.2147050439894822
"Population ages 65 and above, male (% of total)",1.2051461742968523
Prevalence of anemia among women of reproductive age (% of women ages 15-49),1.2036326520546106
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",1.2001563086187597
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",1.1984258863381885
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",1.1845967582884533
"GNI per capita, PPP (current international $)",1.1842814190402873
GDP per person employed (constant 2011 PPP $),1.177769806383011
"Population ages 80 and older, female (% of female population)",1.1545455009229402
"Immunization, BCG (% of one-year-old children)",1.1543782465277448
Prevalence of anemia among non-pregnant women (% of women ages 15-49),1.149962437372424
"Population ages 30-34, female (% of female population)",1.1437803135956397
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",1.1324910183869918
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",1.115738494328825
Urban population (% of total),1.1088818020038596
Rural population (% of total population),1.1088818020038596
"Population ages 65 and above, female (% of total)",1.104426502484015
"Population ages 75-79, male (% of male population)",1.0933724273258105
Population ages 65 and above (% of total),1.0897553711430068
