,0
"GNI per capita, PPP (current international $)",1.3044850062503164
"GNI per capita, Atlas method (current US$)",1.151712251395253
"Mortality rate, under-5 (per 1,000)",1.0968631564088045
"Mortality rate, under-5 (per 1,000 live births)",1.090277157949667
GDP per person employed (constant 2011 PPP $),1.076655271105654
GDP per capita (Current US$),1.0273813219933738
"Mortality rate, neonatal (per 1,000 live births)",1.0249802066384244
"Mortality rate, infant (per 1,000 live births)",1.0122033724667419
Number of neonatal deaths,0.9926419748849571
"Health expenditure per capita, PPP",0.9704363460830208
"Health expenditure per capita, PPP (constant 2011 international $)",0.9704363460830208
Rural population (% of total population),0.9702227271051709
Urban population (% of total),0.9702227271051709
Number of infant deaths,0.9477507662552123
Number of under-five deaths,0.9463395288908978
Health expenditure per capita (current US$),0.9285491157086252
Female population 25-29,0.8629822076421663
Female population 20-24,0.8338491500212522
"Age population, age 23, female, interpolated",0.79432420031551
Male population 50-54,0.7910296051111496
Female population 50-54,0.7884956907476193
"Age population, age 22, female, interpolated",0.780696970660423
Male population 25-29,0.7784301166336696
"Age population, age 25, female, interpolated",0.7738033729220364
Female population 30-34,0.7683751128204057
"Age population, age 24, female, interpolated",0.76707811360188
"Age population, age 21, female, interpolated",0.7653766483281466
Male population 20-24,0.7618125278883356
Female population 45-49,0.7487300259972645
"Age population, age 20, female, interpolated",0.7338889969824183
Male population 45-49,0.7322465594269278
"Labor force, female",0.7290377804530439
"Population ages 65 and above, male",0.7271658776448842
"Age population, age 21, male, interpolated",0.719689741509888
"Age population, age 25, male, interpolated",0.7160969997752975
Female population 05-09,0.7155631322107112
Male population 30-34,0.7138896941364106
"Age population, age 22, male, interpolated",0.7120263222570835
Male population 60-64,0.7096083375331608
"Age population, age 20, male, interpolated",0.7093455070395347
Female population 55-59,0.7086063310798516
Female population 35-39,0.7064573273783552
"Age population, age 23, male, interpolated",0.7064074409835803
"Age population, age 19, female, interpolated",0.7061821524059102
Female population 80+,0.7050425635000375
Male population 65-69,0.7040001434125402
Female population 60-64,0.6995098201106331
Female population 15-19,0.6991523691190693
Male population 55-59,0.6982930437131927
Female population 10-14,0.6939603097073164
Male population 05-09,0.6926700578451599
Male population 80+,0.6915501918981213
Male population 75-79,0.6906430250770517
"Age population, age 24, male, interpolated",0.6903577947575652
Male population 10-14,0.6879558195676476
"Population ages 65 and above, total",0.6870190047977971
Male population 15-19,0.6856394950852263
"Age population, age 18, female, interpolated",0.6819061965137561
Female population 40-44,0.6816085105836165
"Population, total",0.680464166849355
Male population 35-39,0.6803380978586597
"Age population, age 19, male, interpolated",0.6798920502198809
"Age population, age 18, male, interpolated",0.6578862895017705
"Population, female",0.6574691447895873
Female population 65-69,0.6522868848060757
Lifetime risk of maternal death (1 in: rate varies by country),0.6522295440973713
Country_code,0.6502675555813777
"Age population, age 0, female, interpolated",0.6501241719364153
"Age population, age 0, male, interpolated",0.6497964861653243
Rural population growth (annual %),0.6466168935446399
"Age population, age 06, female, interpolated",0.6462786849414859
"Age population, age 08, female, interpolated",0.6455131183311322
Male population 40-44,0.6444781931240446
"Mortality rate, adult, female (per 1,000 female adults)",0.6431996367238824
"Age population, age 17, male, interpolated",0.6427890758470785
"Age population, age 07, female, interpolated",0.6401442873754934
"Population ages 0-14, female",0.6396426415405942
"Age population, age 08, male, interpolated",0.6381602927882128
"Age population, age 05, female, interpolated",0.6368292221268987
"Population ages 00-14, total",0.6367731692434155
"Age population, age 17, female, interpolated",0.6367320806373558
"Population ages 65 and above, female",0.6366738328601196
"Labor force, total",0.6364040187145235
Male population 70-74,0.6358119342241735
"Age population, age 06, male, interpolated",0.6344093493429592
"Population ages 0-14, male",0.6336191287345989
"Age population, age 07, male, interpolated",0.6317371214657013
Female population 00-04,0.6305104768320069
"Population ages 15-64, female",0.6301710053332239
"Population, male",0.6272267279598993
"Population ages 15-64, total",0.6238264066551804
"Age population, age 05, male, interpolated",0.6236973195037923
Male population 00-04,0.6208374912996959
"Age population, age 09, male, interpolated",0.6177355632761867
"Age population, age 09, female, interpolated",0.6135416332647639
"Age population, age 16, male, interpolated",0.610989676282971
"Age population, age 12, male, interpolated",0.6091902384848886
"Age population, age 16, female, interpolated",0.6090872062659862
"Age population, age 10, female, interpolated",0.60877585402937
"Age population, age 11, female, interpolated",0.6073323245005438
"Age population, age 10, male, interpolated",0.6059658767177876
Mobile cellular subscriptions (per 100 people),0.6056873089050874
"Age population, age 12, female, interpolated",0.6051844866665457
"Age population, age 11, male, interpolated",0.6047463868558673
"Population ages 15-64, male",0.6041529866185646
Female population 75-79,0.6024182747364111
Net official development assistance and official aid received (current US$),0.5939030708183983
Net official development assistance received (current US$),0.5935692924472371
Urban population,0.5930596815726918
"Age population, age 15, male, interpolated",0.5879311058388539
"Mortality rate, adult, male (per 1,000 male adults)",0.5862140301266323
"Age population, age 04, female, interpolated",0.5846054219639849
"Age population, age 04, male, interpolated",0.581120248257665
"Age population, age 13, female, interpolated",0.5800253386743455
"Age population, age 13, male, interpolated",0.579336875588468
"Age population, age 15, female, interpolated",0.5791808368253109
Urban population growth (annual %),0.5761577411996814
"Age population, age 14, male, interpolated",0.5741503742704541
"Age population, age 01, female, interpolated",0.5713028242132512
"Age population, age 14, female, interpolated",0.5711169357263453
"Age population, age 03, female, interpolated",0.565043215291622
"Age population, age 03, male, interpolated",0.5603365608716171
"GNI, Atlas method (current US$)",0.5591368394739886
"Age population, age 01, male, interpolated",0.5580458382344156
GDP (current US$),0.5493769725734043
"Age population, age 02, female, interpolated",0.5457334997410324
Rural population,0.5396175619054198
Female population 70-74,0.5388279908245495
"Age population, age 02, male, interpolated",0.5362893157499471
Net ODA received (% of GNI),0.5275601687255518
Net ODA received per capita (current US$),0.5074924832892369
Forest area (sq. km),0.49007333690883836
Prevalence of anemia among children (% of children under 5),0.4737667673255257
CO2 emissions (kt),0.4710573443884081
Trade (% of GDP),0.4410057948313315
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.42958638507805236
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.42736374310904024
"Health expenditure, total (current US$)",0.4183961451480176
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0.417087318813433
Goods (excluding arms) admitted free of tariffs from developing countries (% total merchandise imports excluding arms),0.40887966973179135
Adults (ages 15+) newly infected with HIV,0.4078451930305056
"Immunization, BCG (% of one-year-old children)",0.4000999625089112
Average tariffs imposed by developed countries on agricultural products from developing countries (%),0.3881194196494848
Average tariffs imposed by developed countries on clothing products from developing countries (%),0.38681638702591337
Goods (excluding arms) admitted free of tariffs from least developed countries (% total merchandise imports excluding arms),0.3857604835749966
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.38530832306946183
"Net ODA provided, total (constant 2015 US$)",0.38506332938877486
Average tariffs imposed by developed countries on agricultural products from least developed countries (%),0.384145226051275
Average tariffs imposed by developed countries on clothing products from least developed countries (%),0.384145226051275
Average tariffs imposed by developed countries on textile products from least developed countries (%),0.384145226051275
Average tariffs imposed by developed countries on textile products from developing countries (%),0.384145226051275
Fixed telephone subscriptions (per 100 people),0.37084182226949536
"Net ODA provided, total (current US$)",0.3652986886957921
Out-of-pocket health expenditure (% of private expenditure on health),0.3651857857968619
People using safely managed sanitation services (% of population),0.35866213731935814
Internet users (per 100 people),0.3568180403911001
Adults (ages 15+) and children (0-14 years) living with HIV,0.3468270986213411
Adults (ages 15+) living with HIV,0.34419901033568623
"People using safely managed sanitation services, urban  (% of urban population)",0.344021672883865
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.3407612362429333
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.335092694573804
"Incidence of tuberculosis (per 100,000 people)",0.31004584205262087
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0.3078883394917611
"Total debt service (% of exports of goods, services and primary income)",0.3057115926190097
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0.2880469592458925
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0.2836455186066149
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",0.27624715816019796
Children orphaned by HIV/AIDS,0.2753774010747394
"Unemployment with basic education, female (% of female labor force with basic education)",0.2753299001746392
"Unemployment with basic education, male (% of male labor force with basic education)",0.2748718229617966
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",0.27324618077435203
"Unemployment with advanced education, male (% of male labor force with advanced education)",0.27277896677797475
"Labor force with advanced education, male (% of male working-age population with advanced education)",0.2686317503044928
External resources for health (% of total expenditure on health),0.26701973728574124
Total bilateral sector allocable ODA commitments (current US$),0.26604761802352095
Proportion of seats held by women in national parliaments (%),0.2652275813874474
"Unemployment with advanced education, female (% of female labor force with advanced education)",0.26469216847745214
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",0.2637274470001696
"Labor force with basic education, female (% of female working-age population with basic education)",0.26305960923619387
Out-of-pocket health expenditure (% of total expenditure on health),0.2592078745608075
"Net ODA provided, total (% of GNI)",0.25807594865589767
"Unemployment, male (% of male labor force)",0.25684386966057704
"Unemployment, male (% of male labor force) (modeled ILO estimate)",0.25684386966057704
"Unemployment, total (% of total labor force)",0.2554758826221615
"PPP conversion factor, private consumption (LCU per international $)",0.2530207987859143
"Labor force with advanced education, female (% of female working-age population with advanced education)",0.2524885008650184
"Labor force with basic education, male (% of male working-age population with basic education)",0.2517813907811661
"Unemployment, female (% of female labor force) (modeled ILO estimate)",0.249860196348356
"Unemployment, female (% of female labor force)",0.249860196348356
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",0.24931971474103087
Net ODA provided to the least developed countries (% of donor GNI),0.24867523306225547
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.2458374620112358
"Health expenditure, private (% of total health expenditure)",0.2453950487445733
"Health expenditure, public (% of total health expenditure)",0.242357509935621
Net ODA provided to the least developed countries (current US$),0.24070809531213544
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",0.24030025929208665
"Age dependency ratio, old",0.23722038643723975
Tuberculosis treatment success rate (% of new cases),0.23500723976233506
"Health expenditure, private (% of GDP)",0.23303660774729362
"Prevalence of overweight, male (% of male adults)",0.23242508431074937
"Employment in services, female (% of female employment)",0.22950005979227295
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.22332965445303987
"PPP conversion factor, GDP (LCU per international $)",0.22211591851399315
Prevalence of anemia among pregnant women (%),0.22192296692663427
"Self-employed, male (% of male employment)",0.2214163247826446
"Population ages 65 and above, male (% of total)",0.21995900269990387
"Self-employed, female (% of female employment)",0.21720833641245085
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",0.2167156254228042
Population ages 65 and above (% of total),0.21639798649953068
"Access to anti-retroviral drugs, female (%)",0.21621884320857299
"Prevalence of overweight, female (% of female adults)",0.21562720900743604
"Self-employed, total (% of total employment)",0.21542080920940365
"Population ages 00-14, male (% of total)",0.21470520013658168
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",0.21433037666889043
"Population ages 65 and above, female (% of total)",0.21330733999197204
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.2128062054175981
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",0.2122735398936515
Population ages 0-14 (% of total),0.20940322010257417
Population ages 00-14 (% of total),0.20940322010257417
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.20874426567261728
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.20810910114592418
Children (ages 0-14) newly infected with HIV,0.20782608197390506
Children (0-14) living with HIV,0.20606032771737604
Antiretroviral therapy coverage (% of people living with HIV),0.2058433231523078
CO2 emissions (metric tons per capita),0.20438269610891013
"Population ages 00-14, female (% of total)",0.20431875544405975
"Access to anti-retroviral drugs, male (%)",0.20400403262315447
"Bilateral, sector-allocable ODA to basic social services (current US$)",0.20394743279635574
Female share of employment in senior and middle management (%),0.20359481305308513
"Employment in services, male (% of male employment)",0.20131502111778254
"Health expenditure, total (% of GDP)",0.20005946570891542
GDP growth (annual %),0.19868717854929763
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.19713876393282703
"Prevalence of obesity, female (% of female population ages 18+)",0.1961246161351453
"Gross graduation ratio, tertiary, male (%)",0.19606171960713636
"Employment to population ratio, ages 15-24, male (%) (national estimate)",0.19578811870013912
"Immunization, Hib3 (% of children ages 12-23 months)",0.1955029853983563
"Children out of school, primary, male",0.1954322971577227
"Bilateral, sector-allocable ODA to basic social services (% of bilateral ODA commitments)",0.19443424518750252
Total bilateral ODA commitments (current US$),0.19382904348183194
"Age dependency ratio, young",0.19344789148349362
"Survival to age 65, male (% of cohort)",0.19207435940795237
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.19174229422417044
"Gross graduation ratio, tertiary, female (%)",0.19153076968070115
CO2 emissions (kg per PPP $ of GDP),0.19121062692876234
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),0.19046321672973354
Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),0.19040247814858757
"Population ages 80 and older, female (% of female population)",0.18901754113036895
"Employment to population ratio, ages 15-24, total (%) (national estimate)",0.1878443824027638
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.1871254522215282
"Employment in agriculture, male (% of male employment)",0.18710110534827984
"Educational attainment, completed post-secondary, population 25+ years, male (%)",0.18699799242117443
"Prevalence of obesity, male (% of male population ages 18+)",0.1858294981568207
"School enrollment, tertiary (% gross)",0.18498469562520103
"School enrollment, tertiary, female (% gross)",0.1845811514985436
"Educational attainment, completed post-secondary, population 25+ years, female (%)",0.18387980706378793
"Labor force, female (% of total labor force)",0.18321908731110548
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",0.18107635614380269
"Government expenditure per student, primary (% of GDP per capita)",0.17971537964173767
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.17960192308906153
"Employment in agriculture, female (% of female employment)",0.17847439592109748
"School enrollment, secondary, male (% gross)",0.17620991129026642
"Employment to population ratio, ages 15-24, female (%) (national estimate)",0.17504446464638068
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",0.1744722262825824
"Employers, female (% of female employment)",0.1744374645445692
"Employers, male (% of male employment)",0.17368469301831047
"Educational attainment, some primary, population 25+ years, female (%)",0.17364504438482586
"Health expenditure, public (% of GDP)",0.1729127463557676
AIDS estimated deaths (UNAIDS estimates),0.17188112760468632
"Improved sanitation facilities, rural (% of rural population with access)",0.17176456792671813
