,0
"Mortality rate, under-5 (per 1,000 live births)",1.2881042721961777
"Mortality rate, under-5 (per 1,000)",1.2876774290009227
"Mortality rate, infant (per 1,000 live births)",1.2376111748556586
"Mortality rate, neonatal (per 1,000 live births)",1.2017226979228095
"Mortality rate, adult, female (per 1,000 female adults)",1.0873287247218244
"Mortality rate, adult, male (per 1,000 male adults)",1.0085654893555525
Urban population (% of total),0.9598574068402077
Rural population (% of total population),0.9598574068402077
Women's share of population ages 15+ living with HIV (%),0.9305201968854391
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0.9212704465811035
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",0.9084820255365362
"Population, female (% of total)",0.8967321780830373
"Population, male (% of total)",0.8967321780830373
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",0.8919674304170511
"Population ages 00-14, female (% of total)",0.888610484741132
"Population ages 05-09, female (% of female population)",0.8768283194319713
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",0.8659727204823962
"Population ages 80 and older, female (% of female population)",0.843260300828589
"Population ages 00-04, male (% of male population)",0.8328959956782658
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0.8251981950179634
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.824016576109686
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",0.8193318674509871
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.8141975261280199
"Prevalence of HIV, total (% of population ages 15-49)",0.8135545436265965
"Population ages 45-49, male (% of male population)",0.8116951513080561
"Population ages 40-44, male (% of male population)",0.808298481061871
"Population ages 00-04, female (% of female population)",0.8073887960603097
"Survival to age 65, female (% of cohort)",0.8038328938110852
Urban population growth (annual %),0.7957948529377625
Population ages 0-14 (% of total),0.7916534916083267
Population ages 00-14 (% of total),0.7916534916083267
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),0.7829969276114266
"Population ages 30-34, female (% of female population)",0.7828825033373761
"Age dependency ratio, old",0.7747193088170978
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.772547019912484
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0.763898321066605
"Age dependency ratio, young",0.7632582740066063
Rural population growth (annual %),0.7548219538782472
"Population ages 20-24, male (% of male population)",0.7494747173029905
"Labor force, female (% of total labor force)",0.7452658774821899
