,0
"Mortality rate, infant (per 1,000 live births)",1.3922718325110717
"Mortality rate, under-5 (per 1,000 live births)",1.3749827332514002
"Mortality rate, under-5 (per 1,000)",1.3733554154047378
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),1.366932782522142
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",1.3510220653855298
Urban population (% of total),1.3455913565127844
Rural population (% of total population),1.3453123386556416
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",1.3339209814158406
"Population ages 15-64, male (% of total)",1.2777633602770448
"Mortality rate, neonatal (per 1,000 live births)",1.2765407546046657
"Population ages 65 and above, male (% of total)",1.2722496348100605
"Population ages 75-79, male (% of male population)",1.2300997002248208
"Population, female (% of total)",1.2127817139666708
"Population, male (% of total)",1.2127817139666708
Age dependency ratio (% of working-age population),1.2073015420691968
"Population ages 80 and older, male (% of male population)",1.1984529285625114
Population ages 65 and above (% of total),1.1893683949285303
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",1.1859006116767095
"Age dependency ratio, old",1.1827770399759872
Population ages 15-64 (% of total),1.181492209184896
"Population ages 05-09, female (% of female population)",1.1811236816810156
"Population ages 65 and above, female (% of total)",1.177745493423347
"Population ages 70-74, male (% of male population)",1.1604976093881474
"Population ages 00-14, male (% of total)",1.1536159302095808
"Labor force, female (% of total labor force)",1.148760988391801
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",1.146347287151396
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",1.1459217976144913
"Population ages 75-79, female (% of female population)",1.1458220782329316
"Population ages 00-04, male (% of male population)",1.1364232543799555
"Population ages 65-69, male (% of male population)",1.1338478844985267
Prevalence of anemia among pregnant women (%),1.130750481698402
"GNI per capita, PPP (current international $)",1.1209492821704052
"Population ages 70-74, female (% of female population)",1.1201745324219243
"Population ages 05-09, male (% of male population)",1.1179461633123808
Prevalence of anemia among children (% of children under 5),1.0953783978643785
"Population ages 00-14, female (% of total)",1.0938955427553823
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",1.0845220269956957
"Population ages10-14, male (% of male population)",1.0769535249570983
Population ages 00-14 (% of total),1.0740170671486844
Population ages 0-14 (% of total),1.0740170671486844
GDP per person employed (constant 2011 PPP $),1.0723505863560785
"Age dependency ratio, young",1.0720504013661203
"Population ages 25-29, female (% of female population)",1.0706282858046254
"Population ages 65-69, female (% of female population)",1.0705753415277108
"Population ages 00-04, female (% of female population)",1.0675154812618173
"Population ages 25-29, male (% of male population)",1.0395991120063774
"Population ages 30-34, male (% of male population)",1.0198675814894078
"Population, female",1.019395384887626
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",1.018105674243189
"Population ages 15-64, female",1.0111957519197396
Female population 20-24,1.0069997148870589
Female population 00-04,1.0068055064474848
"Population ages 30-34, female (% of female population)",0.9989287442061534
"Age population, age 01, male, interpolated",0.9977235863412868
"Labor force, total",0.9966257890775752
"Age population, age 18, female, interpolated",0.9959750746662941
"Age population, age 19, female, interpolated",0.9936291392038195
"Population ages 60-64, female (% of female population)",0.9926834752717304
"Age population, age 17, female, interpolated",0.9925382454382508
"Age population, age 0, male, interpolated",0.9924059139873957
"Age population, age 22, female, interpolated",0.9919292520693488
Male population 20-24,0.988805879782741
Male population 00-04,0.988229272508677
"Population ages 40-44, male (% of male population)",0.9882087512710287
Female population 15-19,0.987466668843417
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",0.9863539989211283
Female population 60-64,0.9862247679047962
"Age population, age 16, female, interpolated",0.9859376324566704
"Age population, age 0, female, interpolated",0.9843195874330117
"Age population, age 21, female, interpolated",0.9839688075866948
"Age population, age 01, female, interpolated",0.9833902869614364
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0.9812564653157549
"Age population, age 15, female, interpolated",0.9810055456811457
"GNI per capita, Atlas method (current US$)",0.9795166617163891
"Age population, age 20, female, interpolated",0.9768927090371236
"Age population, age 02, female, interpolated",0.9742596414244717
"Age population, age 02, male, interpolated",0.9733673045068065
"Age population, age 23, female, interpolated",0.9725805611266716
Female population 40-44,0.9724598348414704
"Age population, age 22, male, interpolated",0.9650460123829143
Male population 15-19,0.9645861656176686
Female population 50-54,0.963970044577529
"Population ages 15-64, female (% of total)",0.9604334214544554
"Age population, age 15, male, interpolated",0.9601743017500306
"Age population, age 03, female, interpolated",0.9591493540394427
Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.9545572040901122
"Age population, age 16, male, interpolated",0.9544664866376844
"Age population, age 04, female, interpolated",0.9541164860821021
"Age population, age 14, female, interpolated",0.9536702484891073
"Age population, age 03, male, interpolated",0.9531703263715099
"Age population, age 17, male, interpolated",0.9527809802874367
"Labor force, female",0.9509564387516187
Prevalence of anemia among women of reproductive age (% of women ages 15-49),0.9476193244613174
"Age population, age 23, male, interpolated",0.936152816293649
"Age population, age 18, male, interpolated",0.9332150167623707
"Age population, age 04, male, interpolated",0.932136246579728
"Age population, age 24, female, interpolated",0.9314482085898574
"Age population, age 14, male, interpolated",0.9301588116656911
"Age population, age 21, male, interpolated",0.927610088825138
"Population ages 15-64, total",0.9268748835498895
"Population ages 15-19, male (% of male population)",0.9262061120986402
"Age population, age 13, female, interpolated",0.9259525584185444
Male population 45-49,0.9216192749737511
"Age population, age 13, male, interpolated",0.9209812608540826
"Age population, age 05, female, interpolated",0.9209586238556078
Female population 45-49,0.9191952913421879
Female population 35-39,0.9188870939145066
"Population ages 0-14, female",0.9176123658309221
"Population, male",0.914966615089853
"Population ages 00-14, total",0.9116891774782627
"Age population, age 05, male, interpolated",0.911329882248145
"Population ages 45-49, female (% of female population)",0.9103750011082217
