,0
Health expenditure per capita (current US$),0.620901097869949
"GNI per capita, Atlas method (current US$)",0.5670834750177698
"GNI per capita, PPP (current international $)",0.5348262344515256
Internet users (per 100 people),0.523346538088111
GDP per capita (Current US$),0.4619990638626459
Fixed telephone subscriptions (per 100 people),0.42750455717799163
Mobile cellular subscriptions (per 100 people),0.42678099382442136
"Health expenditure per capita, PPP (constant 2011 international $)",0.4056858023563219
"Health expenditure per capita, PPP",0.4056858023563219
Years,0.3675088627173162
Proportion of seats held by women in national parliaments (%),0.36274258548053595
Population growth (annual %),0.29480442717987465
Total bilateral ODA commitments (current US$),0.2657380185862077
Bilateral ODA commitments that is untied (current US$),0.2530064761050921
Bilateral ODA commitments that is untied (% of bilateral ODA commitments),0.23077633103719908
Rural population growth (annual %),0.21966773447087862
Urban population growth (annual %),0.19693340064957088
Share of women employed in the nonagricultural sector (% of total nonagricultural employment),0.19365131985436856
Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment),0.19365131985436856
Tuberculosis treatment success rate (% of new cases),0.19282593880561705
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0.15568483788236587
"Educational attainment, completed post-secondary, population 25+ years, male (%)",0.15182027246460472
Children orphaned by HIV/AIDS,0.1458393462012546
Female share of employment in senior and middle management (%),0.14531068929607738
"Mortality rate, adult, male (per 1,000 male adults)",0.14400424537127066
GDP growth (annual %),0.14267924198041815
GDP per person employed (constant 2011 PPP $),0.14171794762286138
Lifetime risk of maternal death (1 in: rate varies by country),0.14056574452092985
"Educational attainment, completed post-secondary, population 25+ years, female (%)",0.13808452281621642
Adults (ages 15+) and children (0-14 years) living with HIV,0.12285616254855292
"Mortality rate, adult, female (per 1,000 female adults)",0.11982487294465494
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0.11879023005472567
Adults (ages 15+) living with HIV,0.11841421393607021
Male population 80+,0.11564428546625871
"Bilateral, sector-allocable ODA to basic social services (current US$)",0.113626473158567
"Persistence to last grade of primary, total (% of cohort)",0.11319112073209192
Female population 35-39,0.1124539610749915
Ratio of female to male youth unemployment rate (%) (national estimate),0.10694165426554059
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",0.1037114253656708
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",0.10281161753314083
"Hospital beds (per 1,000 people)",0.10132268655155907
"Immunization, Pol3 (% of one-year-old children)",0.0977389514817506
GINI index (World Bank estimate),0.0960525015868412
Poverty gap at $1.90 a day (2011 PPP) (%),0.0960525015868412
Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),0.0960525015868412
Income share held by lowest 20%,0.0960525015868412
Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),0.0935851947775701
Male population 35-39,0.0928073711578894
Trade (% of GDP),0.08903025528047204
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0.08598734854285395
"Persistence to last grade of primary, male (% of cohort)",0.0859492661793757
"Persistence to last grade of primary, female (% of cohort)",0.0859492661793757
Agricultural support estimate (% of GDP),0.08505718321114619
"Immunization, Hib3 (% of children ages 12-23 months)",0.0841752851661055
Goods (excluding arms) admitted free of tariffs from developing countries (% total merchandise imports excluding arms),0.0820855919713599
"Government expenditure per student, secondary (% of GDP per capita)",0.081628093539722
Proportion of women in ministerial level positions (%),0.08150682183142988
"Health expenditure, public (% of government expenditure)",0.08111908479205687
"Health expenditure, public (% of total health expenditure)",0.08048903256908924
"Primary education, teachers (% female)",0.08000756435151324
