Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015
Aruba,ABW,"Population, total",SP.POP.TOTL,101597,101936,102393,102921,103441,103889
Afghanistan,AFG,"Population, total",SP.POP.TOTL,27962207,28809167,29726803,30682500,31627506,32526562
Angola,AGO,"Population, total",SP.POP.TOTL,21219954,21942296,22685632,23448202,24227524,25021974
Albania,ALB,"Population, total",SP.POP.TOTL,2913021,2904780,2900247,2896652,2893654,2889167
Andorra,AND,"Population, total",SP.POP.TOTL,84419,82326,79316,75902,72786,70473
Arab World,ARB,"Population, total",SP.POP.TOTL,353204331,361116890,368906561,376623459,384356146,392168030
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,8329453,8734722,8952542,9039978,9086139,9156963
Argentina,ARG,"Population, total",SP.POP.TOTL,41222875,41655616,42095224,42538304,42980026,43416755
Armenia,ARM,"Population, total",SP.POP.TOTL,2963496,2967984,2978339,2992192,3006154,3017712
American Samoa,ASM,"Population, total",SP.POP.TOTL,55636,55316,55227,55302,55434,55538
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,87233,88152,89069,89985,90900,91818
Australia,AUS,"Population, total",SP.POP.TOTL,22031750,22340024,22728254,23117353,23460694,23789752
Austria,AUT,"Population, total",SP.POP.TOTL,8363404,8391643,8429991,8479375,8541575,8638366
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9054332,9173082,9295784,9416801,9535079,9649341
Burundi,BDI,"Population, total",SP.POP.TOTL,9461117,9790151,10124572,10465959,10816860,11178921
Belgium,BEL,"Population, total",SP.POP.TOTL,10895586,11047744,11128246,11182817,11231213,11249420
Benin,BEN,"Population, total",SP.POP.TOTL,9509798,9779391,10049792,10322232,10598482,10879829
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,15632066,16106851,16590813,17084554,17589198,18105570
Bangladesh,BGD,"Population, total",SP.POP.TOTL,151616777,153405612,155257387,157157394,159077513,160995642
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7395599,7348328,7305888,7265115,7223938,7177991
Bahrain,BHR,"Population, total",SP.POP.TOTL,1261319,1306014,1333577,1349427,1361930,1377237
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,360830,366711,372388,377841,383054,388019
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3835258,3832310,3828419,3823533,3817554,3810416
Belarus,BLR,"Population, total",SP.POP.TOTL,9490583,9473172,9464495,9465997,9474511,9489616
Belize,BLZ,"Population, total",SP.POP.TOTL,321609,329193,336707,344193,351706,359287
Bermuda,BMU,"Population, total",SP.POP.TOTL,65124,64564,64798,65001,65139,65235
Bolivia,BOL,"Population, total",SP.POP.TOTL,9918245,10078238,10238762,10399931,10561887,10724705
Brazil,BRA,"Population, total",SP.POP.TOTL,198614208,200517584,202401584,204259377,206077898,207847528
Barbados,BRB,"Population, total",SP.POP.TOTL,279566,280602,281580,282503,283380,284215
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,393302,399443,405512,411499,417394,423188
Bhutan,BTN,"Population, total",SP.POP.TOTL,720246,732246,743711,754637,765008,774830
Botswana,BWA,"Population, total",SP.POP.TOTL,2047831,2089706,2132822,2176510,2219937,2262485
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4444973,4530903,4619500,4710678,4804316,4900274
Canada,CAN,"Population, total",SP.POP.TOTL,34005274,34342780,34750545,35155451,35544564,35848610
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,104543801,104174038,103935318,103713726,103496179,103256779
Switzerland,CHE,"Population, total",SP.POP.TOTL,7824909,7912398,7996861,8089346,8188649,8281430
Channel Islands,CHI,"Population, total",SP.POP.TOTL,159583,160489,161336,162138,162917,163692
Chile,CHL,"Population, total",SP.POP.TOTL,17015048,17201305,17388437,17575833,17762647,17948141
China,CHN,"Population, total",SP.POP.TOTL,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,20131707,20604172,21102641,21622490,22157107,22701556
Cameroon,CMR,"Population, total",SP.POP.TOTL,20590666,21119065,21659488,22211166,22773014,23344179
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,65938712,68087376,70291160,72552861,74877030,77266814
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,4066078,4177435,4286188,4394334,4504962,4620330
Colombia,COL,"Population, total",SP.POP.TOTL,45918101,46406446,46881018,47342363,47791393,48228704
Comoros,COM,"Population, total",SP.POP.TOTL,698695,715972,733661,751697,769991,788474
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,490379,495159,500870,507258,513906,520502
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4545273,4600487,4654148,4706433,4757606,4807850
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,6904998,6949217,6992268,7034300,7075604,7116360
Cuba,CUB,"Population, total",SP.POP.TOTL,11308133,11323570,11342631,11362505,11379111,11389562
Curacao,CUW,"Population, total",SP.POP.TOTL,148703,150831,152088,153822,155909,157979
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,55509,56580,57522,58369,59172,59967
Cyprus,CYP,"Population, total",SP.POP.TOTL,1103685,1116644,1129303,1141652,1153658,1165300
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10474410,10496088,10510785,10514272,10525347,10546059
Germany,DEU,"Population, total",SP.POP.TOTL,81776930,80274983,80425823,80645605,80982500,81679769
Djibouti,DJI,"Population, total",SP.POP.TOTL,830802,841802,853069,864554,876174,887861
Dominica,DMA,"Population, total",SP.POP.TOTL,71167,71402,71685,72005,72341,72680
Denmark,DNK,"Population, total",SP.POP.TOTL,5547683,5570572,5591572,5614932,5643475,5683483
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,9897983,10027140,10155036,10281408,10405943,10528391
Algeria,DZA,"Population, total",SP.POP.TOTL,36036159,36717132,37439427,38186135,38934334,39666519
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,1963833029,1977615463,1991736359,2006072693,2020601290,2035078896
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,2904615834,2948385029,2991874602,3035445564,3079090037,3122757474
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2204604095,2219066628,2233890130,2248870230,2264007889,2279146555
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,399122329,401448360,403831032,406430738,408893930,411290566
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,889078106,891293624,895050782,899381985,903670530,907791157
Ecuador,ECU,"Population, total",SP.POP.TOTL,14934692,15177280,15419493,15661312,15902916,16144363
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,82040994,83787634,85660902,87613909,89579670,91508084
Euro area,EMU,"Population, total",SP.POP.TOTL,336142557,335417640,336161537,337268156,338390166,339373830
Eritrea,ERI,"Population, total",SP.POP.TOTL,4689664,4789568,,,,
Spain,ESP,"Population, total",SP.POP.TOTL,46576897,46742697,46773055,46620045,46480882,46443994
Estonia,EST,"Population, total",SP.POP.TOTL,1331475,1327439,1322696,1317997,1314545,1314608
Ethiopia,ETH,"Population, total",SP.POP.TOTL,87561814,89858696,92191211,94558374,96958732,99390750
European Union,EUU,"Population, total",SP.POP.TOTL,504412209,504003891,505098575,506563740,508117767,509557762
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,432225198,442535318,452946224,463541755,474404409,485613879
Finland,FIN,"Population, total",SP.POP.TOTL,5363352,5388272,5413971,5438972,5461512,5479531
