id,answer
0,1
1,52
2,31
3,58
4,38
5,32
6,31
7,1
8,8
9,13
10,9
11,29
12,16
13,6
14,7
15,6
16,61
17,32
18,31
19,1
20,7
21,58
22,33
23,18
24,21
25,9
26,56
27,2
28,12
29,7
30,7
31,9
32,26
33,7
34,6
35,2
36,9
37,31
38,11
39,1
40,16
41,7
42,38
43,12
44,37
45,27
46,67
47,7
48,28
49,88
50,27
51,11
52,6
53,13
54,6
55,17
56,38
57,11
58,47
59,8
60,8
61,29
62,29
63,6
64,43
65,7
66,13
67,41
68,7
69,16
70,32
71,38
72,32
73,53
74,12
75,19
76,8
77,19
78,6
79,68
80,49
81,62
82,12
83,18
84,7
85,13
86,11
87,96
88,23
89,16
90,87
91,19
92,53
93,33
94,7
95,7
96,13
97,37
98,4
99,66
100,42
101,81
102,11
103,9
104,62
105,63
106,51
107,51
108,17
109,4
110,8
111,6
112,3
113,18
114,6
115,96
116,43
117,29
118,8
119,36
120,42
121,2
122,2
123,13
124,97
125,1
126,72
127,42
128,9
129,18
130,67
131,1
132,11
133,47
134,4
135,32
136,32
137,29
138,5
139,3
140,38
141,43
142,27
143,68
144,8
145,32
146,1
147,9
148,33
149,42
150,49
151,7
152,57
153,26
154,11
155,17
156,23
157,39
158,1
159,12
160,72
161,53
162,11
163,28
164,12
165,41
166,18
167,66
168,7
169,21
170,46
171,29
172,21
173,9
174,2
175,43
176,17
177,6
178,7
179,37
180,8
181,98
182,12
183,7
184,11
185,7
186,12
187,39
188,12
189,13
190,8
191,63
192,9
193,26
194,81
195,12
196,52
197,66
198,28
199,58
200,12
201,13
202,8
203,27
204,6
205,11
206,26
207,26
208,42
209,9
210,12
211,17
212,1
213,8
214,12
215,88
216,11
217,67
218,8
219,71
220,16
221,16
222,59
223,6
224,6
225,96
226,11
227,6
228,49
229,13
230,13
231,67
232,11
233,36
234,22
235,29
236,1
237,86
238,59
239,19
240,46
241,22
242,49
243,31
244,49
245,9
246,9
247,8
248,11
249,37
250,12
251,52
252,31
253,59
254,46
255,9
256,8
257,26
258,23
259,22
260,98
261,12
262,6
263,48
264,32
265,2
266,9
267,19
268,12
269,9
270,8
271,31
272,11
273,1
274,33
275,6
276,22
277,8
278,1
279,7
280,12
281,9
282,43
283,6
284,16
285,48
286,41
287,9
288,18
289,13
290,7
291,32
292,11
293,37
294,1
295,78
296,11
297,6
298,73
299,67
300,29
301,72
302,26
303,9
304,78
305,41
306,7
307,8
308,29
309,16
310,21
311,21
312,23
