"day","sourceCurrencyId","targetCurrencyId","rate"
20151008,1,5,0.02087700
20151008,1,4,0.01047300
20151008,1,7,0.06017500
20151008,1,2,0.01600200
20151008,1,3,0.01421900
20151008,2,5,1.30470000
20151008,2,4,0.65452000
20151008,2,7,3.76050000
20151008,2,1,62.49300000
20151008,2,3,0.88857000
20151008,3,5,1.46830000
20151008,3,4,0.73660000
20151008,3,7,4.23210000
20151008,3,1,70.33000000
20151008,3,2,1.12540000
20151008,4,5,1.99330000
20151008,4,7,5.74550000
20151008,4,1,95.47900000
20151008,4,2,1.52780000
20151008,4,3,1.35760000
20151008,5,4,0.50167000
20151008,5,7,2.88230000
20151008,5,1,47.89900000
20151008,5,2,0.76646000
20151008,5,3,0.68106000
20151008,7,5,0.34694000
20151008,7,4,0.17405000
20151008,7,1,16.61800000
20151008,7,2,0.26592000
20151008,7,3,0.23629000
20140701,1,5,0.03110600
20140701,1,4,0.01701900
20140701,1,7,0.08867000
20140701,1,2,0.02918900
20140701,1,3,0.02132400
20140701,2,5,1.06570000
20140701,2,4,0.58307000
20140701,2,7,3.03780000
20140701,2,1,34.26000000
20140701,2,3,0.73057000
20140701,3,5,1.45870000
20140701,3,4,0.79810000
20140701,3,7,4.15820000
20140701,3,1,46.89500000
20140701,3,2,1.36880000
20140701,4,5,1.82770000
20140701,4,7,5.21010000
20140701,4,1,58.75800000
20140701,4,2,1.71510000
20140701,4,3,1.25300000
20140701,5,4,0.54713000
20140701,5,7,2.85060000
20140701,5,1,32.14800000
20140701,5,2,0.93837000
20140701,5,3,0.68554000
20140701,7,5,0.35080000
20140701,7,4,0.19193000
20140701,7,1,11.27800000
20140701,7,2,0.32918000
20140701,7,3,0.24049000
20140702,1,5,0.03108700
20140702,1,4,0.01702000
20140702,1,7,0.08866500
20140702,1,2,0.02920700
20140702,1,3,0.02138800
20140702,2,5,1.06440000
20140702,2,4,0.58275000
20140702,2,7,3.03570000
20140702,2,1,34.23800000
20140702,2,3,0.73228000
20140702,3,5,1.45350000
20140702,3,4,0.79580000
20140702,3,7,4.14560000
20140702,3,1,46.75600000
20140702,3,2,1.36560000
20140702,4,5,1.82650000
20140702,4,7,5.20930000
20140702,4,1,58.75300000
20140702,4,2,1.71600000
20140702,4,3,1.25660000
20140702,5,4,0.54751000
20140702,5,7,2.85210000
20140702,5,1,32.16800000
20140702,5,2,0.93953000
20140702,5,3,0.68799000
20140702,7,5,0.35061000
20140702,7,4,0.19196000
20140702,7,1,11.27800000
20140702,7,2,0.32941000
20140702,7,3,0.24122000
20140703,1,5,0.03111000
20140703,1,4,0.01705400
20140703,1,7,0.08879300
20140703,1,2,0.02921700
20140703,1,3,0.02141100
20140703,2,5,1.06480000
20140703,2,4,0.58369000
20140703,2,7,3.03910000
20140703,2,1,34.22600000
20140703,2,3,0.73282000
20140703,3,5,1.45300000
20140703,3,4,0.79650000
20140703,3,7,4.14710000
20140703,3,1,46.70500000
20140703,3,2,1.36460000
20140703,4,5,1.82420000
20140703,4,7,5.20670000
20140703,4,1,58.63800000
20140703,4,2,1.71320000
20140703,4,3,1.25550000
20140703,5,4,0.54818000
20140703,5,7,2.85420000
20140703,5,1,32.14400000
20140703,5,2,0.93916000
20140703,5,3,0.68823000
20140703,7,5,0.35037000
20140703,7,4,0.19206000
20140703,7,1,11.26200000
20140703,7,2,0.32905000
20140703,7,3,0.24113000
20140704,1,5,0.03091500
20140704,1,4,0.01695600
20140704,1,7,0.08855300
20140704,1,2,0.02906800
20140704,1,3,0.02139300
20140704,2,5,1.06350000
20140704,2,4,0.58331000
20140704,2,7,3.04640000
20140704,2,1,34.40200000
20140704,2,3,0.73594000
20140704,3,5,1.44510000
20140704,3,4,0.79260000
20140704,3,7,4.13940000
20140704,3,1,46.74500000
20140704,3,2,1.35880000
20140704,4,5,1.82320000
20140704,4,7,5.22260000
20140704,4,1,58.97700000
20140704,4,2,1.71440000
20140704,4,3,1.26170000
20140704,5,4,0.54847000
20140704,5,7,2.86440000
20140704,5,1,32.34700000
20140704,5,2,0.94028000
20140704,5,3,0.69199000
20140704,7,5,0.34911000
20140704,7,4,0.19148000
20140704,7,1,11.29300000
20140704,7,2,0.32826000
20140704,7,3,0.24158000
20140705,1,5,0.03091500
20140705,1,4,0.01695600
20140705,1,7,0.08855300
20140705,1,2,0.02906800
20140705,1,3,0.02139300
20140705,2,5,1.06350000
20140705,2,4,0.58331000
20140705,2,7,3.04640000
20140705,2,1,34.40200000
20140705,2,3,0.73594000
20140705,3,5,1.44510000
20140705,3,4,0.79260000
20140705,3,7,4.13940000
20140705,3,1,46.74500000
20140705,3,2,1.35880000
20140705,4,5,1.82320000
20140705,4,7,5.22260000
20140705,4,1,58.97700000
20140705,4,2,1.71440000
20140705,4,3,1.26170000
20140705,5,4,0.54847000
20140705,5,7,2.86440000
20140705,5,1,32.34700000
20140705,5,2,0.94028000
20140705,5,3,0.69199000
20140705,7,5,0.34911000
20140705,7,4,0.19148000
20140705,7,1,11.29300000
20140705,7,2,0.32826000
20140705,7,3,0.24158000
20140706,1,5,0.03091500
20140706,1,4,0.01695600
20140706,1,7,0.08855300
20140706,1,2,0.02906800
20140706,1,3,0.02139300
20140706,2,5,1.06350000
20140706,2,4,0.58331000
20140706,2,7,3.04640000
20140706,2,1,34.40200000
20140706,2,3,0.73594000
20140706,3,5,1.44510000
20140706,3,4,0.79260000
20140706,3,7,4.13940000
20140706,3,1,46.74500000
20140706,3,2,1.35880000
20140706,4,5,1.82320000
20140706,4,7,5.22260000
20140706,4,1,58.97700000
20140706,4,2,1.71440000
20140706,4,3,1.26170000
20140706,5,4,0.54847000
20140706,5,7,2.86440000
20140706,5,1,32.34700000
20140706,5,2,0.94028000
20140706,5,3,0.69199000
20140706,7,5,0.34911000
20140706,7,4,0.19148000
20140706,7,1,11.29300000
20140706,7,2,0.32826000
20140706,7,3,0.24158000
20140707,1,5,0.03079300
20140707,1,4,0.01689800
20140707,1,7,0.08819400
20140707,1,2,0.02893300
20140707,1,3,0.02128700
20140707,2,5,1.06430000
20140707,2,4,0.58406000
20140707,2,7,3.04830000
20140707,2,1,34.56300000
20140707,2,3,0.73573000
20140707,3,5,1.44660000
20140707,3,4,0.79385000
20140707,3,7,4.14320000
20140707,3,1,46.97800000
20140707,3,2,1.35920000
20140707,4,5,1.82230000
20140707,4,7,5.21910000
20140707,4,1,59.17700000
20140707,4,2,1.71220000
20140707,4,3,1.25970000
20140707,5,4,0.54877000
20140707,5,7,2.86410000
20140707,5,1,32.47500000
20140707,5,2,0.93958000
20140707,5,3,0.69128000
20140707,7,5,0.34915000
20140707,7,4,0.19160000
20140707,7,1,11.33900000
20140707,7,2,0.32806000
20140707,7,3,0.24136000
20140708,1,5,0.03119100
20140708,1,4,0.01706700
20140708,1,7,0.08888700
20140708,1,2,0.02921500
20140708,1,3,0.02149900
20140708,2,5,1.06760000
20140708,2,4,0.58419000
20140708,2,7,3.04250000
20140708,2,1,34.22800000
20140708,2,3,0.73589000
20140708,3,5,1.45080000
20140708,3,4,0.79385000
20140708,3,7,4.13440000
20140708,3,1,46.51300000
20140708,3,2,1.35890000
20140708,4,5,1.82750000
20140708,4,7,5.20800000
20140708,4,1,58.59200000
20140708,4,2,1.71180000
20140708,4,3,1.25970000
20140708,5,4,0.54718000
20140708,5,7,2.84970000
20140708,5,1,32.06000000
20140708,5,2,0.93666000
20140708,5,3,0.68927000
20140708,7,5,0.35091000
20140708,7,4,0.19201000
20140708,7,1,11.25000000
20140708,7,2,0.32868000
20140708,7,3,0.24187000
20140709,1,5,0.03126100
20140709,1,4,0.01714400
20140709,1,7,0.08896800
20140709,1,2,0.02931500
20140709,1,3,0.02155000
20140709,2,5,1.06640000
20140709,2,4,0.58483000
20140709,2,7,3.03490000
20140709,2,1,34.11200000
20140709,2,3,0.73513000
20140709,3,5,1.45060000
20140709,3,4,0.79555000
20140709,3,7,4.12840000
20140709,3,1,46.40300000
20140709,3,2,1.36030000
20140709,4,5,1.82340000
20140709,4,7,5.18940000
20140709,4,1,58.32800000
20140709,4,2,1.70990000
20140709,4,3,1.25700000
20140709,5,4,0.54843000
20140709,5,7,2.84600000
20140709,5,1,31.98900000
20140709,5,2,0.93775000
20140709,5,3,0.68937000
20140709,7,5,0.35137000
20140709,7,4,0.19270000
20140709,7,1,11.24000000
20140709,7,2,0.32950000
20140709,7,3,0.24222000
20140710,1,5,0.03132800
20140710,1,4,0.01716000
20140710,1,7,0.08939800
20140710,1,2,0.02936200
20140710,1,3,0.02158300
20140710,2,5,1.06700000
20140710,2,4,0.58442000
20140710,2,7,3.04470000
20140710,2,1,34.05800000
20140710,2,3,0.73508000
20140710,3,5,1.45150000
20140710,3,4,0.79505000
20140710,3,7,4.14200000
20140710,3,1,46.33200000
20140710,3,2,1.36040000
20140710,4,5,1.82570000
20140710,4,7,5.20970000
20140710,4,1,58.27600000
20140710,4,2,1.71110000
20140710,4,3,1.25780000
20140710,5,4,0.54774000
20140710,5,7,2.85360000
20140710,5,1,31.92000000
20140710,5,2,0.93724000
20140710,5,3,0.68894000
20140710,7,5,0.35043000
20140710,7,4,0.19195000
20140710,7,1,11.18600000
20140710,7,2,0.32844000
